Name,Affiliation,Chapt.,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
Ken Rosenthal,Fox Sports,BAL,Trout,Donaldson,Cain,Machado,Keuchel,Price,Beltre,Bautista,Cruz,C.Davis
Rich Dubroff,CSNmidatlantic.com,BAL,Donaldson,Trout,Cain,Machado,Bautista,Encarnacion,Cruz,Cabrera,C.Davis,Altuve
Michael Silverman,Boston Herald,BOS,Donaldson,Trout,Cain,Machado,Keuchel,Price,Beltre,C.Davis,Martinez,Cruz
Peter Abraham,Boston Globe,BOS,Donaldson,Trout,Cain,Machado,Keuchel,Price,Beltre,Kinsler,Kiermaier,Betts
Scot Gregor,Daily Herald,CHI,Donaldson,Trout,Cain,Beltre,Encarnacion,Altuve,Cabrera,Machado,Bautista,Hosmer
Naoko Sato,Nikkan Sports News,CHI,Donaldson,Trout,Cain,Keuchel,Fielder,Cruz,Bautista,Price,Machado,Ortiz
Chris Assenheimer,The Chronicle-Telegram,CLE,Donaldson,Cruz,Trout,Cain,Fielder,Altuve,Encarnacion,Abreu,Martinez,Brantley
Paul Hoynes,NE Ohio Media Group,CLE,Donaldson,Trout,Bautista,Cain,Fielder,Encarnacion,Davis,Cruz,Machado,Martinez
Anthony Fenech,Detroit Free Press,DET,Donaldson,Trout,Cain,Price,Machado,Keuchel,Martinez,Beltre,Cruz,Martin
Chris McCosky,Detroit News,DET,Donaldson,Trout,Cain,Cruz,Machado,Keuchel,Bautista,Encarnacion,Beltre,Martinez
Evan Drellich,Houston Chronicle,HOU,Donaldson,Trout,Machado,Keuchel,Price,Cain,Cruz,C.Davis,Bautista,Beltre
Jesus Ortiz,Houston Chronicle,HOU,Donaldson,Trout,Machado,Cain,Cabrera,Bautista,Beltre,Keuchel,Cruz,Price
Joe Posnanski,NBCSports.com,KC,Trout,Donaldson,Cain,Machado,Keuchel,Cruz,C.Davis,Cabrera,Fielder,W.Davis
Sam Mellinger,Kansas City Star,KC,Trout,Donaldson,Cain,Machado,Kipnis,Martinez,C.Davis,Betts,Kiermaier,Beltre
Tim Brown,Yahoo Sports,LA,Trout,Donaldson,Machado,Cain,Cruz,Bautista,C.Davis,Keuchel,Cabrera,Beltre
Pedro Moura,Orange County Register,LA,Trout,Donaldson,Machado,Cain,Price,Keuchel,Sale,Kipnis,Beltre,Martin
La Velle E. Neal III,Minneapolis Star Tribune,MIN,Donaldson,Trout,Cain,Kipnis,Machado,Fielder,Cabrera,Altuve,Cruz,Martinez
Mike Berardino,St. Paul Pioneer Press,MIN,Donaldson,Trout,Cain,Machado,Keuchel,Encarnacion,Beltre,Price,Cruz,Hosmer
Wallace Matthews,ESPN.com,NY,Donaldson,Trout,Price,Cain,Keuchel,Machado,Beltre,Altuve,C.Davis,Kiermaier
George A. King III,NY Post,NY,Donaldson,Trout,Bautista,Morales,Fielder,Altuve,Cain,Encarnacion,McCann,Cruz
Susan Slusser,San Francisco Chronicle,OAK,Donaldson,Trout,Cain,Beltre,Keuchel,Kiermaier,Machado,Altuve,Bautista,C.Davis
John Hickey,Oakland Tribune,OAK,Donaldson,Trout,Cain,Beltre,Bautista,Altuve,Keuchel,Cruz,Price,Machado
Ryan Divish,Seattle Times,SEA,Donaldson,Trout,Cain,Machado,Cruz,Cabrera,Beltre,Keuchel,Bautista,Price
John McGrath,Tacoma News Tribune,SEA,Donaldson,Trout,Cabrera,Cain,Cruz,Bautista,Altuve,Encarnacion,Machado,Dozier
Marc Topkin,Tampa Bay Times,TB,Donaldson,Trout,Cain,Beltre,Machado,Keuchel,Price,Bautista,Cruz,Rodriguez
Roger Mooney,Tampa Tribune,TB,Donaldson,Trout,Cain,Machado,Price,Keuchel,Cruz,Bautista,Cabrera,Fielder
Gerry Fraley,Dallas Morning News,TEX,Trout,Donaldson,Cain,Keuchel,Beltre,Altuve,Encarnacion,Moustakas,Bautista,Fielder
Jeff Wilson,Fort Worth Star-Telegram,TEX,Trout,Donaldson,Cruz,Cain,Machado,Bautista,C.Davis,Beltre,Correa,Cabrera
Richard Griffin,Toronto Star,TOR,Donaldson,Trout,Cain,Machado,Cruz,Altuve,Bautista,Beltre,Martinez,Kipnis
Bob Elliott,Toronto Sun,TOR,Donaldson,Trout,Cain,Machado,Keuchel,Beltre,Cruz,Bautista,Cabrera,Teixeira
