Name,Affiliation,Chapter,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
Roch Kubatko,MASNsports.com,BAL,Altuve,Judge,Ramirez,Trout,Lindor,Simmons,Cruz,Schoop,Betts,Correa
Ken Rosenthal,The Athletic,BAL,Altuve,Judge,Ramirez,Trout,Lindor,Dozier,Kluber,Springer,Sale,Simmons
Rob Bradford,WEEI.com,BOS,Altuve,Judge,Ramirez,Lindor,Dozier,Kluber,Sale,Abreu,Hosmer,Trout
Nick Cafardo,Boston Globe,BOS,Altuve,Judge,Kluber,Trout,Simmons,Ramirez,Betts,Sale,Lindor,Gregorius
Daryl Van Schouwen,Chicago Sun-Times,CHI,Altuve,Judge,Ramirez,Betts,Lindor,Simmons,Sale,Kluber,Trout,Correa
Dan Hayes,NBC Sports Chicago,CHI,Altuve,Judge,Ramirez,Trout,Kluber,Lindor,Sale,Betts,Simmons,Abreu
Paul Hoynes,Cleveland.com,CLE,Altuve,Judge,Ramirez,Lindor,Trout,Betts,Upton,Dozier,Simmons,Springer
Jordan Bastian,MLB.com,CLE,Altuve,Judge,Ramirez,Trout,Kluber,Sale,Lindor,Betts,Springer,Simmons
Chris McCosky,Detroit News,DET,Altuve,Judge,Ramirez,Trout,Lindor,Betts,Springer,Simmons,Upton,Kluber
Anthony Fenech,Detroit Free Press,DET,Altuve,Judge,Ramirez,Lindor,Trout,Kluber,Sale,Hosmer,Simmons,Buxton
Brian McTaggart,MLB.com,HOU,Altuve,Judge,Trout,Ramirez,Kluber,Betts,Lindor,Cruz,Simmons,Gonzalez
Kristie Rieken,The Associated Press,HOU,Altuve,Judge,Ramirez,Trout,Betts,Lindor,Kluber,Springer,Simmons,Cruz
Rustin Dodd,Kansas City Star,KC,Ramirez,Altuve,Judge,Trout,Lindor,Kluber,Hosmer,Sale,Simmons,Betts
Sam Mellinger,Kansas City Star,KC,Judge,Altuve,Ramirez,Trout,Lindor,Betts,Buxton,Upton,Simmons,Hosmer
Jeff Miller,Orange County Register,LA,Altuve,Judge,Ramirez,Trout,Betts,Simmons,Kluber,Lindor,Sale,Correa
Tim Brown,Yahoo Sports,LA,Altuve,Judge,Trout,Ramirez,Lindor,Schoop,Simmons,Betts,Cruz,Gonzalez
Dave Campbell,Associated Press,MIN,Altuve,Judge,Trout,Ramirez,Betts,Lindor,Abreu,Dozier,Cruz,Hosmer
Patrick Reusse,Minneapolis Star Tribune,MIN,Altuve,Judge,Ramirez,Trout,Lindor,Sale,Kluber,Dozier,Gonzalez,Sanchez
George A. King III,New York Post,NY,Altuve,Judge,Ramirez,Lindor,Betts,Cruz,Encarnacion,Gregorius,Trout,Hosmer
Erik Boland,Newsday,NY,Altuve,Judge,Ramirez,Trout,Lindor,Betts,Springer,Schoop,Cruz,Abreu
Susan Slusser,San Francisco Chronicle,OAK,Altuve,Judge,Trout,Ramirez,Betts,Kluber,Correa,Simmons,Buxton,Cruz
Joe Stiglich,NBC Sports Bay Area,OAK,Altuve,Judge,Trout,Ramirez,Lindor,Betts,Kluber,Upton,Cruz,Schoop
Greg Johns,MLB.com,SEA,Altuve,Judge,Ramirez,Trout,Lindor,Kluber,Simmons,Betts,Sale,Cruz
Ryan Divish,Seattle Times,SEA,Altuve,Judge,Ramirez,Trout,Betts,Kluber,Lindor,Sale,Simmons,Cruz
Marc Topkin,Tampa Bay Times,TB,Altuve,Judge,Ramirez,Trout,Lindor,Betts,Cruz,Simmons,Kluber,Dozier
Roger Mooney,Tampa Bay Times,TB,Altuve,Judge,Ramirez,Trout,Cruz,Schoop,Simmons,Kluber,Abreu,Hosmer
TR Sullivan,MLB.Com,TEX,Altuve,Judge,Ramirez,Trout,Cruz,Abreu,Sale,Kluber,Gonzalez,Schoop
Jeff Wilson,Fort Worth Star-Telegram,TEX,Altuve,Judge,Trout,Ramirez,Sale,Kluber,Cruz,Betts,Lindor,Schoop
Richard Griffin,Toronto Star,TOR,Judge,Altuve,Ramirez,Betts,Trout,Lindor,Dozier,Hosmer,Kluber,Davis
Gregor Chisholm,MLB.com,TOR,Altuve,Judge,Ramirez,Trout,Kluber,Sale,Lindor,Betts,Correa,Donaldson
