Name,Affiliation,Chapter,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
Tom Verducci,SI.com,ATL*,Posey,Braun,McCutchen,Molina,LaRoche,Bruce,Headley,Holliday,Kimbrel,Wright
Jon Heyman,CBS Sports.com,ATL*,Posey,Braun,Molina,McCutchen,LaRoche,Kimbrel,Medlen,Ramirez,Harper,Chapman
Nick Piecoro,Arizona Republic,AZ,Posey,Braun,McCutchen,Molina,Wright,Headley,Kershaw,Dickey,Cueto,Hill
Bob Nightengale,USA Today,AZ,Posey,Braun,McCutchen,Molina,Headley,LaRoche,Craig,Ramirez,Holliday,Phillips
Doug Padilla,ESPN Chicago.com,CHI,Braun,McCutchen,Posey,Bruce,LaRoche,Holliday,Headley,Molina,Soriano,Pence
Gordon Wittenmyer,Chicago Sun Times,CHI,Posey,McCutchen,Molina,Braun,Gonzalez,Phillips,Medlen,Bruce,Ramirez,Soriano
Hal McCoy,At Large,CIN,Posey,Braun,Molina,McCutchen,La Roche,Soriano,Bruce,Prado,Wright,Headley
C.Trent Rosecrans,CBS Sports.com,CIN,Posey,Molina,Braun,McCutchen,Wright,Headley,Ramirez,Bourn,Desmond,Votto
Troy Renck,Denver Post,COL,Posey,McCutchen,Braun,Molina,Headley,LaRoche,Stanton,Kimbrel,Wright,Hill
Tracy Ringolsby,Fox Sports.com,COL,Posey,Kimbrel,Braun,Holliday,Zimmerman,Phillips,McCutchen,Wright,Gonzalez,Molina
Zachary Levine,Houston Chronicle,HOU,Posey,Braun,McCutchen,Molina,Headley,Wright,Hill,Ramirez,Dickey,Holliday
Joel Sherman,New York Post,HOU*,Posey,Braun,Molina,McCutchen,Kimbrel,LaRoche,Chapman,Ruiz,Headley,Votto
Hirokazu Higuchi,Chunichi Shimbun,LA,Posey,Molina,McCutchen,Braun,LaRoche,Bruce,Kimbrel,Wright,Headley,Kershaw
Mark Saxon,ESPN Los Angeles.com,LA,Posey,Molina,Braun,McCutchen,Bourn,Headley,Kershaw,Dickey,Kimbrel,Votto
Clark Spencer,Miami Herald,MIA,Posey,Molina,McCutchen,Braun,Headley,Wright,Ramirez,LaRoche,Dickey,Heyward
Juan C. Rodriguez,South Florida Sun Sentinel,MIA,Posey,McCutchen,Braun,Molina,Wright,Headley,Holliday,Ramirez,LaRoche,Dickey
Todd Rosiak,Milwaukee Journal Sentinel,MIL,Braun,Posey,McCutchen,Molina,LaRoche,Headley,Bruce,Holliday,Ramirez,Wright
Tom Haudricourt,Milwaukee Journal Sentinel,MIL,Braun,Posey,McCutchen,Molina,Beltran,LaRoche,Kimbrel,Ramirez,Headley,Holliday
Adam Rubin,ESPN New York.com,NY,Molina,Posey,Braun,McCutchen,Headley,Kimbrel,LaRoche,Chapman,Wright,Montero
Andy McCullough,Newark Star Ledger,NY,Molina,Posey,Braun,McCutchen,Headley,Dickey,Kershaw,Stanton,Votto,Wright
Ryan Lawrence,Philadelphia Daily News,PHI,Posey,Braun,McCutchen,Molina,Kimbrel,Wright,Ramirez,LaRoche,Headley,Votto
Jayson Stark,ESPN.com,PHI,Posey,Braun,Molina,McCutchen,Wright,Votto,Headley,Kimbrel,Kershaw,Ruiz
Bill Brink,Pittsburgh Post Gazette,PIT,Posey,Braun,McCutchen,Molina,Wright,Headley,Ramirez,Bourn,Holliday,Votto
Rob Biertempfel,Pittburgh Tribune Review,PIT,Posey,McCutchen,Molina,Braun,Wright,Bruce,Holliday,LaRoche,Desmond,Heyward
Scott Miller,CBS Sports.com,SD,Posey,Molina,Braun,McCutchen,Wright,Headley,Votto,Prado,Holliday,Kimbrel
John Maffei,North County (CA) Times,SD,Posey,McCutchen,Braun,Headley,Bruce,LaRoche,Craig,Ramirez,Prado,Zimmerman
Henry Schulman,San Francisco Chronicle,SF,Posey,Braun,Molina,Bruce,McCutchen,Kimbrel,Desmond,Wright,Headley,Chapman
Andrew Baggarly,At Large,SF,Posey,Braun,McCutchen,Molina,Kimbrel,Chapman,Headley,Desmond,Wright,Pagan
Rick Hummel,St. Louis Post Dispatch,STL,Posey,Molina,Braun,McCutchen,Headley,Kimbrel,LaRoche,Phillips,Chapman,Craig
Joe Strauss,St. Louis Post Dispatch,STL,Posey,Braun,Molina,McCutchen,Headley,Kimbrel,Phillips,Desmond,Chapman,Craig
Ken Rosenthal,Fox Sports.com,WAS,Posey,Braun,McCutchen,Molina,Ramirez,Wright,Headley,LaRoche,Heyward,C Jones
Amanda Comak,Washington Times,WAS,Posey,Braun,McCutchen,Molina,Headley,Ramirez,Wright,LaRoche,Kimbrel,Desmond
