Full Name,Affiliation,Chapt.,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
Jon Heyman,CBSSports.com,ATL*,McCutchen,Molina,Carpenter,Ramirez,Goldschmidt,Kershaw,Freeman,Puig,Kimbrel,Votto
Joel Sherman,New York Post,ATL*,McCutchen,Molina,Goldschmidt,Votto,Ramirez,Carpenter,Freeman,Kershaw,Simmons,Bruce
Bob Nightengale,USA TODAY,AZ,McCutchen,Molina,Goldschmidt,Carpenter,Freeman,Kershaw,Bruce,Kimbrel,Ramirez,Votto
Nick Piecoro,Arizona Republic,AZ,McCutchen,Goldschmidt,Kershaw,Molina,Votto,Carpenter,Gomez,Wainwright,Freeman,Choo
Bruce Miles,Daily Herald (Ill.),CHI,McCutchen,Carpenter,Kershaw,Molina,Votto,Goldschmidt,Freeman,Werth,Holliday,Choo
Mark Gonzales,Chicago Tribune,CHI,McCutchen,Goldschmidt,Carpenter,Freeman,Molina,Kimbrel,Kershaw,Gomez,Choo,Craig
C.Trent Rosecrans,CBSSports.com,CIN,McCutchen,Goldschmidt,Kershaw,Votto,Molina,Carpenter,Freeman,Gomez,Werth,Choo
John Fay,Cincinnati Enquirer,CIN,McCutchen,Goldschmidt,Kershaw,Molina,Votto,Carpenter,Freeman,Ramirez,Gomez,Bruce
Troy E. Renck,The Denver Post,COL,McCutchen,Goldschmidt,Carpenter,Kershaw,Molina,Freeman,Votto,Ramirez,Gomez,Cuddyer
Tracy Ringolsby,At Large,COL,McCutchen,Molina,Ramirez,Goldschmidt,Votto,Freeman,Carpenter,Kershaw,Kimbrel,Bruce
Molly Knight,ESPN.com,LA,McCutchen,Goldschmidt,Kershaw,Carpenter,Molina,Freeman,Votto,Gomez,Tulowitzki,Ramirez
Bill Plunkett,Orange County Register,LA,McCutchen,Goldschmidt,Molina,Votto,Ramirez,Carpenter,Freeman,Puig,Kershaw,Werth
Clark Spencer,The Miami Herald,MIA,McCutchen,Goldschmidt,Votto,Carpenter,Freeman,Ramirez,Puig,Gomez,Simmons,Molina
Juan C. Rodriguez,Sun Sentinel,MIA,McCutchen,Goldschmidt,Carpenter,Votto,Freeman,Choo,Ramirez,Kershaw,Molina,Cuddyer
Todd Rosiak,Milw. Journal Sentinel,MIL,McCutchen,Goldschmidt,Carpenter,Molina,Freeman,Votto,Kershaw,Kimbrel,Bruce,Gomez
Tom Haudricourt,Milw. Journal Sentinel,MIL,McCutchen,Carpenter,Molina,Freeman,Goldschmidt,Bruce,Votto,Gonzalez,Kimbrel,Werth
Mike Puma,New York Post,NY,McCutchen,Goldschmidt,Votto,Kershaw,Molina,Freeman,Gomez,Posey,Carpenter,Werth
Marc Carig,Newsday,NY,McCutchen,Goldschmidt,Kershaw,Votto,Molina,Carpenter,Gomez,Freeman,Choo,Pence
Jim Salisbury,CSN-Philly.com,PHI,McCutchen,Carpenter,Goldschmidt,Molina,Votto,Freeman,Kershaw,Simmons,Bruce,Ramirez
Jayson Stark,ESPN.com,PHI,McCutchen,Molina,Goldschmidt,Votto,Carpenter,Kershaw,Freeman,Ramirez,Simmons,Werth
Rob Biertempfel,Pitt. Tribune-Review,PIT,McCutchen,Goldschmidt,Molina,Carpenter,Freeman,Votto,Bruce,Kershaw,Werth,Cuddyer
Bill Brink,Pittsburgh Post-Gazette,PIT,McCutchen,Goldschmidt,Kershaw,Votto,Gomez,Freeman,Choo,Carpenter,Molina,Pence
Bill Center,U-T San Diego,SD,McCutchen,Carpenter,Goldschmidt,Freeman,Bruce,Kershaw,Molina,Werth,Votto,A.Gonzalez
Scott Miller,CBSSports.com,SD,McCutchen,Carpenter,Molina,Kershaw,Goldschmidt,Freeman,Bruce,Choo,Simmons,Gomez
Alex Pavlovic,San Jose Mercury News,SF,McCutchen,Goldschmidt,Kershaw,Molina,Votto,Carpenter,Freeman,Pence,Ramirez,Tulowitzki
Henry Schulman,San Francisco Chronicle,SF,McCutchen,Molina,Goldschmidt,Freeman,Votto,Carpenter,Ramirez,Kimbrel,Pence,Werth
Rick Hummel,STL Post-Dispatch,STL,Molina,Carpenter,McCutchen,Kimbrel,Freeman,Goldschmidt,Kershaw,Craig,Ramirez,Martin
Derrick Goold,STL Post-Dispatch,STL,Molina,McCutchen,Goldschmidt,Kershaw,Carpenter,Freeman,Votto,Gomez,Tulowitzki,Werth
Mark Zuckerman,CSNWashington.com,WAS,McCutchen,Molina,Goldschmidt,Votto,Freeman,Carpenter,Werth,Gomez,Choo,Ramirez
Tim Kurkjian,ESPN.com,WAS,McCutchen,Molina,Goldschmidt,Freeman,Carpenter,Votto,Kershaw,Simmons,Choo,Gomez
