Name,Affiliation,Chapt.,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
Ryan Fagan,Sporting News,ATL*,Kershaw,Stanton,McCutchen,Lucroy,Rendon,Harrison,Wainwright,Cueto,Posey,Rizzo
Dave Cameron,FanGraphs,ATL*,Kershaw,Lucroy,Stanton,Rendon,Posey,McCutchen,Martin,Mesoraco,Werth,Pence
Nick Piecoro,The Arizona Republic,AZ,Kershaw,McCutchen,Stanton,Cueto,Lucroy,Rendon,Wainwright,Posey,Gomez,Rizzo
Robert Nightengale,USA Today,AZ,Kershaw,McCutchen,Stanton,Harrison,Rendon,Posey,Lucroy,Gonzalez,Peralta,Upton
Mark Gonzales,Chicago Tribune,CHI,Kershaw,McCutchen,Stanton,Lucroy,Posey,Harrison,Rizzo,Pence,Gonzalez,Rendon
Patrick Mooney,CSNCHICAGO.COM,CHI,Kershaw,Stanton,McCutchen,Posey,Rendon,Wainwright,Lucroy,Martin,Gonzalez,Harrison
C. Trent Rosecrans,Cincinnati Enquirer,CIN,Kershaw,Stanton,McCutchen,Lucroy,Rendon,Posey,Rizzo,Martin,Puig,Cueto
Hal McCoy,Dayton Daily News/FoxSportsOhio,CIN,Stanton,Kershaw,McCutchen,Span,Holliday,Posey,Lucroy,Duda,Mesoraco,Gonzalez
Jack Etkin,Honorary,COL,Kershaw,McCutchen,Stanton,Lucroy,Posey,Wainwright,Harrison,Rendon,Rizzo,Cueto
Patrick Saunders,The Denver Post,COL,Kershaw,Stanton,McCutchen,Posey,Gonzalez,Wainwright,Rendon,Lucroy,Pence,Peralta
Molly Knight,At Large,LA,Kershaw,Stanton,McCutchen,Lucroy,Posey,Rizzo,Rendon,Cueto,Harrison,Upton
Bill Plunkett,Orange County Register,LA,Kershaw,McCutchen,Stanton,Posey,Lucroy,Rendon,Wainwright,Gonzalez,Pence,Werth
Craig Davis,South Florida Sun Sentinel,MIA,Stanton,Kershaw,McCutchen,Posey,Wainwright,Rendon,Lucroy,Gonzalez,Cueto,Upton
Jorge Ebro,El Nuevo Herald,MIA,Stanton,McCutchen,Posey,Kershaw,Lucroy,Gonzalez,Harrison,Gomez,Rendon,Wainwright
Tom Haudricourt,Milwaukee Journal Sentinel,MIL,Stanton,Kershaw,McCutchen,Gonzalez,Lucroy,Rendon,Posey,Holliday,Pence,Harrison
Todd Rosiak,Milwaukee Journal Sentinel,MIL,Stanton,Kershaw,McCutchen,Rendon,Lucroy,Gonzalez,Posey,Wainwright,Harrison,Upton
Mike Puma,New York Post,NY,Stanton,Kershaw,McCutchen,Lucroy,Rendon,Posey,Harrison,Puig,Peralta,Rizzo
Adam Rubin,ESPNNewYork.com,NY,Stanton,Kershaw,McCutchen,Lucroy,Rendon,Pence,Upton,Wainwright,Peralta,Tulowitzki
Jayson Stark,ESPN.com,PHI,Kershaw,McCutchen,Stanton,Lucroy,Rendon,Posey,Martin,Wainwright,Cueto,Harrison
Ryan Lawrence,Philadelphia Daily News,PHI,Kershaw,Stanton,McCutchen,Posey,Rendon,Wainwright,Lucroy,Rizzo,Martin,Werth
Bill Brink,Pittsburgh Post-Gazette,PIT,Kershaw,McCutchen,Stanton,Lucroy,Posey,Rendon,Rizzo,Harrison,Gomez,Werth
Rob Biertempfel,Pittsburgh Tribune-Review,PIT,McCutchen,Kershaw,Stanton,Lucroy,Posey,Rendon,Harrison,Martin,Rizzo,Wainwright
Scott Miller,At Large,SD,Kershaw,Stanton,McCutchen,Lucroy,Posey,Rendon,Rizzo,Pence,Harrison,Gomez
John Maffei,U-T San Diego,SD,Kershaw,Stanton,McCutchen,Posey,Gonzalez,Rendon,Lucroy,Holliday,J. Upton,Gordon
Andrew Baggarly,CSN Bay Area,SF,Stanton,McCutchen,Rendon,Kershaw,Pence,Posey,Lucroy,Rizzo,Freeman,Martin
Henry Schulman,San Francisco Chronicle,SF,McCutchen,Kershaw,Stanton,Rendon,Lucroy,Pence,Harrison,Peralta,Gonzalez,Posey
Derrick Goold,St. Louis Post Dispatch,STL,Kershaw,McCutchen,Stanton,Lucroy,Posey,Rendon,Wainwright,Cueto,Rizzo,Martin
Rick Hummel,St. Louis Post Dispatch,STL,Kershaw,Stanton,McCutchen,Rendon,Gonzalez,Holliday,Posey,Peralta,Harrison,Span
Ken Rosenthal,Fox Sports,WAS,McCutchen,Stanton,Kershaw,Lucroy,Posey,Rendon,Peralta,Puig,Gomez,Harrison
Mel Antonen,SI.com,WAS,McCutchen,Kershaw,Stanton,Rendon,Gonzalez,Pence,Werth,Gomez,Morneau,Rizzo
