PlayerA,PlayerB,A>B,B>A
Altuve,Beltre,23,3
Altuve,Betts,2,28
Altuve,Britton,6,0
Altuve,Cabrera,20,0
Altuve,Cano,25,0
Altuve,Cruz,3,0
Altuve,Donaldson,19,11
Altuve,Dozier,6,0
Altuve,Eaton,1,0
Altuve,Encarnacion,4,0
Altuve,Kluber,1,0
Altuve,Lindor,20,0
Altuve,Longoria,1,0
Altuve,Machado,30,0
Altuve,Ortiz,27,3
Altuve,Ramirez,1,0
Altuve,Sale,1,0
Altuve,Seager,4,0
Altuve,Trout,2,28
Altuve,Verlander,1,0
Beltre,Betts,1,25
Beltre,Britton,5,0
Beltre,Cabrera,16,3
Beltre,Cano,16,7
Beltre,Cruz,2,1
Beltre,Donaldson,5,21
Beltre,Dozier,3,1
Beltre,Eaton,1,0
Beltre,Encarnacion,3,0
Beltre,Kluber,1,0
Beltre,Lindor,16,0
Beltre,Longoria,0,0
Beltre,Machado,14,12
Beltre,Ortiz,13,13
Beltre,Ramirez,0,1
Beltre,Sale,0,0
Beltre,Seager,2,0
Beltre,Trout,1,25
Beltre,Verlander,0,0
Betts,Britton,6,0
Betts,Cabrera,20,0
Betts,Cano,25,0
Betts,Cruz,3,0
Betts,Donaldson,29,1
Betts,Dozier,6,0
Betts,Eaton,1,0
Betts,Encarnacion,4,0
Betts,Kluber,1,0
Betts,Lindor,20,0
Betts,Longoria,1,0
Betts,Machado,30,0
Betts,Ortiz,29,1
Betts,Ramirez,1,0
Betts,Sale,1,0
Betts,Seager,4,0
Betts,Trout,10,20
Betts,Verlander,1,0
Britton,Cabrera,1,2
Britton,Cano,1,4
Britton,Cruz,0,0
Britton,Donaldson,0,6
Britton,Dozier,0,0
Britton,Eaton,0,0
Britton,Encarnacion,0,0
Britton,Kluber,0,0
Britton,Lindor,1,2
Britton,Longoria,1,0
Britton,Machado,0,6
Britton,Ortiz,0,6
Britton,Ramirez,0,0
Britton,Sale,0,0
Britton,Seager,1,0
Britton,Trout,0,6
Britton,Verlander,0,0
Cabrera,Cano,9,8
Cabrera,Cruz,2,1
Cabrera,Donaldson,2,18
Cabrera,Dozier,2,0
Cabrera,Eaton,0,0
Cabrera,Encarnacion,2,0
Cabrera,Kluber,1,0
Cabrera,Lindor,5,6
Cabrera,Longoria,1,0
Cabrera,Machado,3,17
Cabrera,Ortiz,2,18
Cabrera,Ramirez,1,0
Cabrera,Sale,0,0
Cabrera,Seager,0,0
Cabrera,Trout,1,19
Cabrera,Verlander,0,0
Cano,Cruz,0,2
Cano,Donaldson,2,23
Cano,Dozier,4,0
Cano,Eaton,1,0
Cano,Encarnacion,3,0
Cano,Kluber,1,0
Cano,Lindor,9,7
Cano,Longoria,0,0
Cano,Machado,4,21
Cano,Ortiz,8,17
Cano,Ramirez,0,0
Cano,Sale,0,0
Cano,Seager,3,0
Cano,Trout,0,25
Cano,Verlander,0,0
Cruz,Donaldson,0,3
Cruz,Dozier,0,0
Cruz,Eaton,0,0
Cruz,Encarnacion,0,0
Cruz,Kluber,0,0
Cruz,Lindor,0,1
Cruz,Longoria,0,0
Cruz,Machado,2,1
Cruz,Ortiz,0,3
Cruz,Ramirez,0,0
Cruz,Sale,0,0
Cruz,Seager,0,0
Cruz,Trout,0,3
Cruz,Verlander,0,0
Donaldson,Dozier,6,0
Donaldson,Eaton,1,0
Donaldson,Encarnacion,4,0
Donaldson,Kluber,1,0
Donaldson,Lindor,17,3
Donaldson,Longoria,1,0
Donaldson,Machado,24,6
Donaldson,Ortiz,24,6
Donaldson,Ramirez,1,0
Donaldson,Sale,1,0
Donaldson,Seager,4,0
Donaldson,Trout,2,28
Donaldson,Verlander,1,0
Dozier,Eaton,0,0
Dozier,Encarnacion,0,2
Dozier,Kluber,0,0
Dozier,Lindor,0,4
Dozier,Longoria,0,0
Dozier,Machado,0,6
Dozier,Ortiz,1,5
Dozier,Ramirez,1,0
Dozier,Sale,0,0
Dozier,Seager,0,1
Dozier,Trout,0,6
Dozier,Verlander,0,0
Eaton,Encarnacion,0,0
Eaton,Kluber,0,0
Eaton,Lindor,0,1
Eaton,Longoria,0,0
Eaton,Machado,0,1
Eaton,Ortiz,0,1
Eaton,Ramirez,0,0
Eaton,Sale,0,0
Eaton,Seager,0,0
Eaton,Trout,0,1
Eaton,Verlander,0,0
Encarnacion,Kluber,0,0
Encarnacion,Lindor,1,1
Encarnacion,Longoria,0,0
Encarnacion,Machado,0,4
Encarnacion,Ortiz,0,4
Encarnacion,Ramirez,0,0
Encarnacion,Sale,0,0
Encarnacion,Seager,0,0
Encarnacion,Trout,0,4
Encarnacion,Verlander,0,0
Kluber,Lindor,0,0
Kluber,Longoria,0,0
Kluber,Machado,0,1
Kluber,Ortiz,0,1
Kluber,Ramirez,0,0
Kluber,Sale,0,0
Kluber,Seager,0,0
Kluber,Trout,0,1
Kluber,Verlander,0,0
Lindor,Longoria,1,0
Lindor,Machado,3,17
Lindor,Ortiz,6,14
Lindor,Ramirez,0,0
Lindor,Sale,0,1
Lindor,Seager,1,2
Lindor,Trout,0,20
Lindor,Verlander,0,1
Longoria,Machado,0,1
Longoria,Ortiz,0,1
Longoria,Ramirez,0,0
Longoria,Sale,0,0
Longoria,Seager,0,0
Longoria,Trout,0,1
Longoria,Verlander,0,0
Machado,Ortiz,18,12
Machado,Ramirez,1,0
Machado,Sale,1,0
Machado,Seager,4,0
Machado,Trout,2,28
Machado,Verlander,1,0
Ortiz,Ramirez,1,0
Ortiz,Sale,1,0
Ortiz,Seager,3,1
Ortiz,Trout,2,28
Ortiz,Verlander,1,0
Ramirez,Sale,0,0
Ramirez,Seager,0,0
Ramirez,Trout,0,1
Ramirez,Verlander,0,0
Sale,Seager,0,1
Sale,Trout,0,1
Sale,Verlander,1,0
