PlayerA,PlayerB,A>B,B>A
Alcantara,Alonso,5,2
Alcantara,Arenado,0,11
Alcantara,Bard,0,0
Alcantara,Betts,3,8
Alcantara,Diaz,0,0
Alcantara,Freeman,2,9
Alcantara,Goldschmidt,0,11
Alcantara,HarrisII,0,0
Alcantara,Lindor,4,5
Alcantara,Machado,0,11
Alcantara,Marte,0,0
Alcantara,McNeil,0,0
Alcantara,Realmuto,5,6
Alcantara,Riley,5,6
Alcantara,Schwarber,0,0
Alcantara,Swanson,3,1
Alcantara,Turner,1,1
Alcantara,Urias,0,0
Alonso,Arenado,2,22
Alonso,Bard,1,0
Alonso,Betts,8,16
Alonso,Diaz,1,0
Alonso,Freeman,1,23
Alonso,Goldschmidt,0,24
Alonso,HarrisII,3,0
Alonso,Lindor,10,9
Alonso,Machado,1,23
Alonso,Marte,1,0
Alonso,McNeil,3,1
Alonso,Realmuto,5,15
Alonso,Riley,5,16
Alonso,Schwarber,1,0
Alonso,Swanson,6,2
Alonso,Turner,7,2
Alonso,Urias,0,1
Arenado,Bard,1,0
Arenado,Betts,28,2
Arenado,Diaz,2,0
Arenado,Freeman,18,12
Arenado,Goldschmidt,1,29
Arenado,HarrisII,3,0
Arenado,Lindor,24,1
Arenado,Machado,5,25
Arenado,Marte,1,0
Arenado,McNeil,4,0
Arenado,Realmuto,26,0
Arenado,Riley,27,0
Arenado,Schwarber,1,0
Arenado,Swanson,14,0
Arenado,Turner,10,0
Arenado,Urias,0,1
Bard,Betts,0,1
Bard,Diaz,0,0
Bard,Freeman,0,1
Bard,Goldschmidt,0,1
Bard,HarrisII,0,0
Bard,Lindor,0,1
Bard,Machado,0,1
Bard,Marte,1,0
Bard,McNeil,0,0
Bard,Realmuto,0,0
Bard,Riley,0,0
Bard,Schwarber,0,0
Bard,Swanson,0,0
Bard,Turner,0,0
Bard,Urias,0,1
Betts,Diaz,2,0
Betts,Freeman,3,27
Betts,Goldschmidt,0,30
Betts,HarrisII,2,1
Betts,Lindor,22,3
Betts,Machado,0,30
Betts,Marte,1,0
Betts,McNeil,4,0
Betts,Realmuto,21,5
Betts,Riley,19,8
Betts,Schwarber,1,0
Betts,Swanson,14,0
Betts,Turner,8,2
Betts,Urias,0,1
Diaz,Freeman,0,2
Diaz,Goldschmidt,0,2
Diaz,HarrisII,0,0
Diaz,Lindor,0,2
Diaz,Machado,0,2
Diaz,Marte,0,0
Diaz,McNeil,0,0
Diaz,Realmuto,0,2
Diaz,Riley,0,2
Diaz,Schwarber,0,0
Diaz,Swanson,0,1
Diaz,Turner,0,0
Diaz,Urias,0,0
Freeman,Goldschmidt,0,30
Freeman,HarrisII,3,0
Freeman,Lindor,25,0
Freeman,Machado,6,24
Freeman,Marte,1,0
Freeman,McNeil,4,0
Freeman,Realmuto,26,0
Freeman,Riley,26,1
Freeman,Schwarber,1,0
Freeman,Swanson,14,0
Freeman,Turner,9,1
Freeman,Urias,1,0
Goldschmidt,HarrisII,3,0
Goldschmidt,Lindor,25,0
Goldschmidt,Machado,23,7
Goldschmidt,Marte,1,0
Goldschmidt,McNeil,4,0
Goldschmidt,Realmuto,26,0
Goldschmidt,Riley,27,0
Goldschmidt,Schwarber,1,0
Goldschmidt,Swanson,14,0
Goldschmidt,Turner,10,0
Goldschmidt,Urias,1,0
HarrisII,Lindor,1,0
HarrisII,Machado,0,3
HarrisII,Marte,0,0
HarrisII,McNeil,0,0
HarrisII,Realmuto,1,2
HarrisII,Riley,1,1
HarrisII,Schwarber,0,0
HarrisII,Swanson,2,0
HarrisII,Turner,0,1
HarrisII,Urias,0,0
Lindor,Machado,0,25
Lindor,Marte,1,0
Lindor,McNeil,3,0
Lindor,Realmuto,8,14
Lindor,Riley,6,16
Lindor,Schwarber,0,0
Lindor,Swanson,10,3
Lindor,Turner,3,3
Lindor,Urias,0,1
Machado,Marte,1,0
Machado,McNeil,4,0
Machado,Realmuto,26,0
Machado,Riley,27,0
Machado,Schwarber,1,0
Machado,Swanson,14,0
Machado,Turner,9,1
Machado,Urias,0,1
Marte,McNeil,0,0
Marte,Realmuto,0,0
Marte,Riley,0,0
Marte,Schwarber,0,0
Marte,Swanson,0,0
Marte,Turner,0,0
Marte,Urias,0,1
McNeil,Realmuto,0,3
McNeil,Riley,0,3
McNeil,Schwarber,0,1
McNeil,Swanson,1,0
McNeil,Turner,0,1
McNeil,Urias,0,0
Realmuto,Riley,9,15
Realmuto,Schwarber,0,0
Realmuto,Swanson,10,2
Realmuto,Turner,6,1
Realmuto,Urias,0,0
Riley,Schwarber,1,0
Riley,Swanson,12,0
Riley,Turner,8,2
Riley,Urias,0,0
Schwarber,Swanson,0,0
Schwarber,Turner,0,1
Schwarber,Urias,0,0
Swanson,Turner,0,3
Swanson,Urias,0,0
Turner,Urias,0,0
