Year,League,Name,Affiliation,Chapter,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
2020,AL,Joseph Trezza,MLB.com,BAL,Abreu,Ramirez,LeMahieu,Trout,Bieber,Anderson,Voit,Cruz,Rendon,Lowe
2020,AL,Dan Connolly,The Athletic Baltimore,BAL,Abreu,Ramirez,LeMahieu,Bieber,Cruz,Trout,Anderson,Lowe,Voit,Hendriks
2020,AL,Julian McWilliams,Boston Globe,BOS,Abreu,LeMahieu,Anderson,Ramirez,Verdugo,Cruz,Voit,Trout,Lowe,Bogaerts
2020,AL,John Tomase,NBC Sports Boston,BOS,Ramirez,Abreu,Cruz,Anderson,Lowe,LeMahieu,Trout,Bieber,Voit,Hernandez
2020,AL,Daryl Van Schouwen,Chicago Sun-Times,CHI,Abreu,Ramirez,LeMahieu,Bieber,Trout,Cruz,Lowe,Anderson,Rendon,Voit
2020,AL,Scott Merkin,MLB.com,CHI,Abreu,Ramirez,LeMahieu,Trout,Anderson,Bieber,Cruz,Lowe,Voit,Hernandez
2020,AL,Paul Hoynes,Cleveland.com,CLE,Ramirez,Abreu,Bieber,Trout,LeMahieu,Anderson,Voit,Cruz,Lowe,Rosario
2020,AL,Zack Meisel,The Athletic,CLE,Ramirez,Abreu,LeMahieu,Bieber,Cruz,Voit,Anderson,Trout,Rendon,Lowe
2020,AL,Jason Beck,MLB.com,DET,Abreu,Ramirez,LeMahieu,Bieber,Lowe,Trout,Cruz,Voit,Anderson,Hernandez
2020,AL,Jon Paul Morosi,MLB.com,DET,Ramirez,Abreu,Bieber,Voit,LeMahieu,Trout,Rendon,Lowe,Cruz,Anderson
2020,AL,Brian McTaggart,MLB.com,HOU,Abreu,LeMahieu,Ramirez,Anderson,Bieber,Trout,Voit,Cruz,Rendon,Ryu
2020,AL,Alyson Footer,MLB.com,HOU,Abreu,Ramirez,LeMahieu,Bieber,Cruz,Anderson,Trout,Voit,Lowe,Fletcher
2020,AL,Lynn Worthy,Kansas City Star,KC,Abreu,Ramirez,Rendon,Trout,Lowe,LeMahieu,Cruz,Anderson,Voit,Bieber
2020,AL,Jeffrey Flanagan,MLB.com,KC,Abreu,Ramirez,Trout,LeMahieu,Anderson,Rendon,Voit,Lowe,Springer,Perez
2020,AL,Jeff Fletcher,Orange County Register,LA,Abreu,LeMahieu,Ramirez,Trout,Lowe,Cruz,Bieber,Rendon,Voit,Anderson
2020,AL,Hideki Okuda,Sports Nippon Newspaper,LA,Ramirez,Abreu,LeMahieu,Trout,Bieber,Anderson,Cruz,Lowe,Voit,Hernandez
2020,AL,Phil Miller,Minneapolis Star Tribune,MIN,Abreu,Ramirez,LeMahieu,Trout,Bieber,Cruz,Anderson,Lowe,Buxton,Keuchel
2020,AL,Betsy Helfand,St. Paul Pioneer Press,MIN,Abreu,Ramirez,LeMahieu,Trout,Bieber,Anderson,Cruz,Lowe,Voit,Rendon
2020,AL,Pete Caldera,Bergen Record,NY,Abreu,LeMahieu,Bieber,Ramirez,Cruz,Anderson,Voit,Trout,Lowe,Hernandez
2020,AL,Bryan Hoch,MLB.com,NY,LeMahieu,Abreu,Ramirez,Bieber,Cruz,Trout,Voit,Lowe,Anderson,Hernandez
2020,AL,Susan Slusser,San Francisco Chronicle,OAK,Abreu,Ramirez,LeMahieu,Bieber,Lowe,Trout,Voit,Cruz,Hendriks,Anderson
2020,AL,Janie McCauley,The Associated Press,OAK,Abreu,Ramirez,Trout,Bieber,Anderson,Voit,Cruz,LeMahieu,Lowe,Lewis
2020,AL,Greg Johns,MLB.com,SEA,Abreu,Ramirez,LeMahieu,Trout,Bieber,Cruz,Lowe,Voit,Anderson,Rendon
2020,AL,Ryan Divish,Seattle Times,SEA,Abreu,Ramirez,Trout,LeMahieu,Bieber,Anderson,Cruz,Voit,Lowe,Rendon
2020,AL,Juan Toribio,MLB.com,TB,Abreu,Ramirez,LeMahieu,Bieber,Cruz,Voit,Trout,Ryu,Lowe,Anderson
2020,AL,Marc Topkin,Tampa Bay Times,TB,Abreu,Ramirez,LeMahieu,Lowe,Bieber,Trout,Anderson,Cruz,Hernandez,Hendriks
2020,AL,Evan Grant,Dallas Morning News,TEX,Ramirez,LeMahieu,Abreu,Anderson,Trout,Cruz,Bieber,Lowe,Voit,Rendon
2020,AL,Jeff Wilson,Fort Worth Star-Telegram,TEX,Abreu,Ramirez,Trout,Bieber,Lowe,LeMahieu,Anderson,Cruz,Springer,Rendon
2020,AL,Ben Nicholson-Smith,sportsnet.ca,TOR,Ramirez,Abreu,LeMahieu,Trout,Bieber,Rendon,Lowe,Cruz,Anderson,Voit
2020,AL,Gregor Chisholm,Toronto Star,TOR,Ramirez,Abreu,Bieber,LeMahieu,Lowe,Anderson,Rendon,Cruz,Trout,Voit
