Year,League,Name,Affiliation,Chapter,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
2020,NL,Charles Odum,The Associated Press,ATL,Freeman,Soto,Betts,Ozuna,Tatis,Machado,Turner,Yastrzemski,Bauer,Fried
2020,NL,David O'Brien,The Athletic,ATL,Freeman,Betts,Machado,Tatis,Ozuna,Soto,Turner,Yastrzemski,AcunaJr,Seager
2020,NL,Robert Nightengale,USA Today,AZ,Betts,Freeman,Machado,Tatis,Ozuna,Seager,Soto,Turner,Yastrzemski,Swanson
2020,NL,Zach Buchanan,The Athletic,AZ,Freeman,Betts,Machado,Soto,Ozuna,Tatis,Yastrzemski,AcunaJr,Belt,Turner
2020,NL,Jesse Rogers,ESPN.com,CHI,Freeman,Betts,Soto,Tatis,Ozuna,Machado,Darvish,Smith,Turner,Bauer
2020,NL,Mark Gonzales,Chicago Tribune,CHI,Freeman,Betts,Machado,Tatis,Soto,Ozuna,Yastrzemski,Turner,Seager,Darvish
2020,NL,John Fay,Cincinnati Enquirer,CIN,Freeman,Betts,Tatis,Yastrzemski,Ozuna,Turner,Machado,AcunaJr,Goldschmidt,Williams
2020,NL,C. Trent Rosecrans,The Athletic,CIN,Freeman,Tatis,Betts,Machado,Soto,Ozuna,Yastrzemski,Bauer,Darvish,Turner
2020,NL,Tracy Ringolsby,InsideTheSeams.com,COL,Betts,Freeman,Machado,Turner,Ozuna,Seager,Goldschmidt,Story,AcunaJr,Tatis
2020,NL,Patrick Saunders,The Denver Post,COL,Freeman,Betts,Machado,Tatis,Soto,Ozuna,Bauer,Story,Turner,Yastrzemski
2020,NL,Greg Beacham,Associated Press,LA,Freeman,Betts,Machado,Soto,Tatis,Ozuna,Seager,Yastrzemski,Story,Turner
2020,NL,Bill Plunkett,Southern California Newspaper Group,LA,Freeman,Betts,Ozuna,Machado,Tatis,Soto,Turner,Smith,Seager,Yastrzemski
2020,NL,Joe Frisaro,MLB.com,MIA,Freeman,Tatis,Betts,Soto,Machado,Ozuna,Story,Goldschmidt,Seager,Happ
2020,NL,Jordan McPherson,Miami Herald,MIA,Freeman,Machado,Betts,Tatis,Soto,Ozuna,Bauer,Seager,Turner,AcunaJr
2020,NL,Adam McCalvy,MLB.com,MIL,Freeman,Betts,Tatis,Machado,Soto,Ozuna,Yastrzemski,Seager,Turner,Smith
2020,NL,Tom Haudricourt,Milwaukee Journal Sentinel,MIL,Freeman,Betts,Machado,Tatis,Soto,Ozuna,Turner,Seager,Yastrzemski,AcunaJr
2020,NL,Tim Healey,Newsday,NY,Freeman,Soto,Machado,Turner,Ozuna,Betts,Tatis,Bauer,Smith,Darvish
2020,NL,Anthony DiComo,MLB.com,NY,Freeman,Betts,Tatis,Machado,Ozuna,Soto,Yastrzemski,Turner,Bauer,Smith
2020,NL,Meghan Montemurro,The Athletic,PHI,Freeman,Betts,Tatis,Machado,Ozuna,Yastrzemski,Soto,Turner,AcunaJr,Bauer
2020,NL,Todd Zolecki,MLB.com,PHI,Freeman,Betts,Machado,Tatis,Soto,Ozuna,Yastrzemski,Turner,Seager,AcunaJr
2020,NL,Jason Mackey,Pittsburgh Post-Gazette,PIT,Freeman,Betts,Tatis,Machado,Soto,Ozuna,Turner,Story,Yastrzemski,Seager
2020,NL,Rob Biertempfel,The Athletic,PIT,Freeman,Betts,Machado,Soto,Tatis,Ozuna,Story,Yastrzemski,AcunaJr,Turner
2020,NL,Scott A Miller,Bleacher Report,SD,Freeman,Betts,Machado,Soto,Tatis,Ozuna,Seager,Turner,Smith,Yastrzemski
2020,NL,Kevin Acee,San Diego Union-Tribune,SD,Freeman,Machado,Betts,Tatis,Soto,Ozuna,Darvish,Yastrzemski,Myers,Seager
2020,NL,Maria Guardado,MLB.com,SF,Freeman,Betts,Machado,Tatis,Soto,Yastrzemski,Ozuna,Turner,AcunaJr,Story
2020,NL,Kerry Crowley,Bay Area News Group,SF,Freeman,Betts,Ozuna,Tatis,Machado,Soto,Yastrzemski,Turner,Smith,AcunaJr
2020,NL,Jenifer Langosch,MLB.com,STL,Freeman,Betts,Machado,Tatis,Bauer,Yastrzemski,Ozuna,Soto,Turner,AcunaJr
2020,NL,Rick Hummel,St. Louis Post-Dispatch,STL,Freeman,Betts,Machado,Tatis,Ozuna,Seager,Bauer,Soto,Darvish,Tepera
2020,NL,Todd Dybas,NBC Sports Washington,WAS,Freeman,Betts,Soto,Machado,Ozuna,Tatis,Yastrzemski,Story,Turner,Bauer
2020,NL,Mark Zuckerman,MASNsports.com,WAS,Freeman,Soto,Machado,Tatis,Betts,Ozuna,Turner,Yastrzemski,Smith,Bauer
