Year,League,Name,Affiliation,Chapter,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
2013,NL,Jon Heyman,CBSSports.com,ATL,McCutchen,Molina,Carpenter,Ramirez,Goldschmidt,Kershaw,Freeman,Puig,Kimbrel,Votto
2013,NL,Joel Sherman,New York Post,ATL,McCutchen,Molina,Goldschmidt,Votto,Ramirez,Carpenter,Freeman,Kershaw,Simmons,Bruce
2013,NL,Bob Nightengale,USA TODAY,AZ,McCutchen,Molina,Goldschmidt,Carpenter,Freeman,Kershaw,Bruce,Kimbrel,Ramirez,Votto
2013,NL,Nick Piecoro,Arizona Republic,AZ,McCutchen,Goldschmidt,Kershaw,Molina,Votto,Carpenter,Gomez,Wainwright,Freeman,Choo
2013,NL,Bruce Miles,Daily Herald Ill.,CHI,McCutchen,Carpenter,Kershaw,Molina,Votto,Goldschmidt,Freeman,Werth,Holliday,Choo
2013,NL,Mark Gonzales,Chicago Tribune,CHI,McCutchen,Goldschmidt,Carpenter,Freeman,Molina,Kimbrel,Kershaw,Gomez,Choo,Craig
2013,NL,C.Trent Rosecrans,CBSSports.com,CIN,McCutchen,Goldschmidt,Kershaw,Votto,Molina,Carpenter,Freeman,Gomez,Werth,Choo
2013,NL,John Fay,Cincinnati Enquirer,CIN,McCutchen,Goldschmidt,Kershaw,Molina,Votto,Carpenter,Freeman,Ramirez,Gomez,Bruce
2013,NL,Troy E. Renck,The Denver Post,COL,McCutchen,Goldschmidt,Carpenter,Kershaw,Molina,Freeman,Votto,Ramirez,Gomez,Cuddyer
2013,NL,Tracy Ringolsby,At Large,COL,McCutchen,Molina,Ramirez,Goldschmidt,Votto,Freeman,Carpenter,Kershaw,Kimbrel,Bruce
2013,NL,Molly Knight,ESPN.com,LA,McCutchen,Goldschmidt,Kershaw,Carpenter,Molina,Freeman,Votto,Gomez,Tulowitzki,Ramirez
2013,NL,Bill Plunkett,Orange County Register,LA,McCutchen,Goldschmidt,Molina,Votto,Ramirez,Carpenter,Freeman,Puig,Kershaw,Werth
2013,NL,Clark Spencer,The Miami Herald,MIA,McCutchen,Goldschmidt,Votto,Carpenter,Freeman,Ramirez,Puig,Gomez,Simmons,Molina
2013,NL,Juan C. Rodriguez,Sun Sentinel,MIA,McCutchen,Goldschmidt,Carpenter,Votto,Freeman,Choo,Ramirez,Kershaw,Molina,Cuddyer
2013,NL,Todd Rosiak,Milw. Journal Sentinel,MIL,McCutchen,Goldschmidt,Carpenter,Molina,Freeman,Votto,Kershaw,Kimbrel,Bruce,Gomez
2013,NL,Tom Haudricourt,Milw. Journal Sentinel,MIL,McCutchen,Carpenter,Molina,Freeman,Goldschmidt,Bruce,Votto,Gonzalez,Kimbrel,Werth
2013,NL,Mike Puma,New York Post,NY,McCutchen,Goldschmidt,Votto,Kershaw,Molina,Freeman,Gomez,Posey,Carpenter,Werth
2013,NL,Marc Carig,Newsday,NY,McCutchen,Goldschmidt,Kershaw,Votto,Molina,Carpenter,Gomez,Freeman,Choo,Pence
2013,NL,Jim Salisbury,CSN-Philly.com,PHI,McCutchen,Carpenter,Goldschmidt,Molina,Votto,Freeman,Kershaw,Simmons,Bruce,Ramirez
2013,NL,Jayson Stark,ESPN.com,PHI,McCutchen,Molina,Goldschmidt,Votto,Carpenter,Kershaw,Freeman,Ramirez,Simmons,Werth
2013,NL,Rob Biertempfel,Pitt. Tribune-Review,PIT,McCutchen,Goldschmidt,Molina,Carpenter,Freeman,Votto,Bruce,Kershaw,Werth,Cuddyer
2013,NL,Bill Brink,Pittsburgh Post-Gazette,PIT,McCutchen,Goldschmidt,Kershaw,Votto,Gomez,Freeman,Choo,Carpenter,Molina,Pence
2013,NL,Bill Center,U-T San Diego,SD,McCutchen,Carpenter,Goldschmidt,Freeman,Bruce,Kershaw,Molina,Werth,Votto,Gonzalez
2013,NL,Scott Miller,CBSSports.com,SD,McCutchen,Carpenter,Molina,Kershaw,Goldschmidt,Freeman,Bruce,Choo,Simmons,Gomez
2013,NL,Alex Pavlovic,San Jose Mercury News,SF,McCutchen,Goldschmidt,Kershaw,Molina,Votto,Carpenter,Freeman,Pence,Ramirez,Tulowitzki
2013,NL,Henry Schulman,San Francisco Chronicle,SF,McCutchen,Molina,Goldschmidt,Freeman,Votto,Carpenter,Ramirez,Kimbrel,Pence,Werth
2013,NL,Rick Hummel,STL Post-Dispatch,STL,Molina,Carpenter,McCutchen,Kimbrel,Freeman,Goldschmidt,Kershaw,Craig,Ramirez,Martin
2013,NL,Derrick Goold,STL Post-Dispatch,STL,Molina,McCutchen,Goldschmidt,Kershaw,Carpenter,Freeman,Votto,Gomez,Tulowitzki,Werth
2013,NL,Mark Zuckerman,CSNWashington.com,WAS,McCutchen,Molina,Goldschmidt,Votto,Freeman,Carpenter,Werth,Gomez,Choo,Ramirez
2013,NL,Tim Kurkjian,ESPN.com,WAS,McCutchen,Molina,Goldschmidt,Freeman,Carpenter,Votto,Kershaw,Simmons,Choo,Gomez
