Year,League,Name,Affiliation,Chapter,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
2016,AL,Dan Connolly,BaltimoreBaseball.com,BAL,Betts,Trout,Altuve,Beltre,Machado,Donaldson,Cano,Ortiz,Britton,Cabrera
2016,AL,Tim Kurkjian,ESPN,BAL,Trout,Betts,Altuve,Donaldson,Machado,Ortiz,Beltre,Cano,Lindor,Cabrera
2016,AL,Sean McAdam,Comcast SportsNet New England,BOS,Betts,Donaldson,Altuve,Machado,Trout,Ortiz,Cano,Beltre,Britton,Seager
2016,AL,Brian MacPherson,Providence Journal,BOS,Trout,Betts,Donaldson,Altuve,Machado,Ortiz,Seager,Sale,Verlander,Lindor
2016,AL,Colleen Kane,Chicago Tribune,CHI,Trout,Betts,Altuve,Donaldson,Machado,Ortiz,Beltre,Lindor,Cabrera,Cano
2016,AL,Daryl Van Schouwen,Chicago Sun-Times,CHI,Trout,Betts,Altuve,Donaldson,Beltre,Machado,Lindor,Cano,Ortiz,Eaton
2016,AL,Paul Hoynes,cleveland.com,CLE,Betts,Trout,Donaldson,Ortiz,Altuve,Machado,Cano,Encarnacion,Lindor,Dozier
2016,AL,Jim Ingraham,Elyria Chronicle,CLE,Trout,Altuve,Betts,Donaldson,Ortiz,Machado,Cabrera,Dozier,Ramirez,Beltre
2016,AL,Jason Beck,MLB.com,DET,Betts,Trout,Donaldson,Altuve,Beltre,Ortiz,Lindor,Machado,Cabrera,Cano
2016,AL,Jon Paul Morosi,MLB.com,DET,Betts,Trout,Altuve,Ortiz,Donaldson,Machado,Beltre,Britton,Lindor,Cano
2016,AL,Brian McTaggart,MLB.com,HOU,Trout,Betts,Altuve,Ortiz,Donaldson,Cabrera,Beltre,Cruz,Cano,Machado
2016,AL,Richard Justice,MLB.com,HOU,Trout,Betts,Beltre,Altuve,Donaldson,Machado,Ortiz,Lindor,Cabrera,Cano
2016,AL,Rustin Dodd,The Kansas City Star,KC,Trout,Betts,Donaldson,Altuve,Cano,Machado,Ortiz,Cabrera,Beltre,Lindor
2016,AL,Jeff Passan,Yahoo Sports,KC,Trout,Betts,Donaldson,Altuve,Ortiz,Beltre,Machado,Cabrera,Cano,Lindor
2016,AL,Jeff Miller,Orange County Register,LA,Trout,Betts,Donaldson,Altuve,Machado,Cano,Beltre,Ortiz,Cabrera,Lindor
2016,AL,Jeff Fletcher,Orange County Register,LA,Trout,Donaldson,Betts,Altuve,Beltre,Ortiz,Machado,Cano,Cabrera,Kluber
2016,AL,Phil Miller,Minneapolis Star Tribune,MIN,Trout,Betts,Altuve,Machado,Donaldson,Cano,Seager,Lindor,Dozier,Ortiz
2016,AL,Rhett Bollinger,MLB.com,MIN,Trout,Betts,Donaldson,Altuve,Machado,Cano,Beltre,Lindor,Ortiz,Dozier
2016,AL,Mark Feinsand,New York Daily News,NY,Ortiz,Trout,Betts,Altuve,Cano,Donaldson,Machado,Beltre,Cabrera,Britton
2016,AL,George A. King III,New York Post,NY,Betts,Ortiz,Trout,Beltre,Altuve,Cabrera,Lindor,Donaldson,Machado,Cano
2016,AL,Susan Slusser,San Francisco Chronicle,OAK,Trout,Betts,Donaldson,Altuve,Ortiz,Cruz,Beltre,Machado,Cabrera,Cano
2016,AL,John Hickey,Oakland Tribune Bay Area News Group,OAK,Beltre,Betts,Altuve,Machado,Donaldson,Cabrera,Trout,Ortiz,Cano,Encarnacion
2016,AL,Larry Stone,Seattle Times,SEA,Trout,Betts,Altuve,Cano,Ortiz,Donaldson,Machado,Beltre,Lindor,Seager
2016,AL,Bob Dutton,Tacoma News Tribune,SEA,Trout,Altuve,Betts,Donaldson,Beltre,Machado,Ortiz,Cano,Cabrera,Dozier
2016,AL,Marc Topkin,Tampa Bay Times,TB,Betts,Trout,Altuve,Donaldson,Beltre,Machado,Lindor,Cano,Ortiz,Britton
2016,AL,Roger Mooney,Tampa Bay Times,TB,Trout,Betts,Altuve,Machado,Lindor,Donaldson,Ortiz,Cabrera,Britton,Longoria
2016,AL,Evan Grant,Dallas Morning News,TEX,Trout,Betts,Donaldson,Altuve,Beltre,Machado,Cabrera,Ortiz,Cano,Lindor
2016,AL,T.R. Sullivan,MLB.Com,TEX,Betts,Trout,Altuve,Beltre,Lindor,Ortiz,Cabrera,Machado,Donaldson,Cruz
2016,AL,Richard Griffin,Toronto Star,TOR,Trout,Betts,Altuve,Machado,Donaldson,Beltre,Ortiz,Lindor,Encarnacion,Dozier
2016,AL,Ken Fidlin,Toronto Sun,TOR,Betts,Trout,Altuve,Donaldson,Machado,Ortiz,Cano,Beltre,Cabrera,Encarnacion
