Name,Affiliation,Chapter,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
Dan Connolly,The Athletic,BAL,Judge,Ohtani,Alvarez,Ramírez,Altuve,Rodríguez,Giménez,Trout,Bichette,Rutschman
Zachary Silver,MLB.com,BAL,Judge,Ohtani,Giménez,Alvarez,Ramírez,Rodríguez,Altuve,Bogaerts,Trout,Rutschman
Ian Browne,MLB.com,BOS,Judge,Ohtani,Alvarez,Ramírez,Trout,Altuve,Rodríguez,Verlander,Giménez,Bogaerts
Sean McAdam,Boston Sports Journal,BOS,Judge,Ohtani,Ramírez,Alvarez,Giménez,Trout,Rodríguez,Rutschman,Bogaerts,Altuve
Daryl Van Schouwen,Chicago Sun-Times,CHI,Judge,Ohtani,Ramírez,Alvarez,Giménez,Bogaerts,Bregman,Trout,Rodríguez,Rutschman
Jesse Rogers,ESPN,CHI,Judge,Ohtani,Alvarez,Ramírez,Verlander,Trout,Altuve,Rodríguez,Arraez,Giménez
Ryan Lewis,Akron Beacon Journal,CLE,Judge,Ohtani,Alvarez,Giménez,Rodríguez,Ramírez,Trout,Altuve,Rutschman,Bogaerts
Mandy Bell,MLB.com,CLE,Judge,Ohtani,Alvarez,Giménez,Ramírez,Trout,Altuve,Rodríguez,Bogaerts,Devers
Jason Beck,MLB.com,DET,Judge,Ohtani,Alvarez,Ramírez,Altuve,Giménez,Rodríguez,Trout,Bogaerts,Manoah
Jon Paul Morosi,MLB.com,DET,Judge,Ohtani,Ramírez,Alvarez,Rodríguez,Giménez,Bichette,Tucker,Altuve,Manoah
Alyson Footer,MLB.com,HOU,Judge,Ohtani,Alvarez,Altuve,Arraez,Abreu,Giménez,Rodríguez,Guerrero Jr.,Tucker
Jesus Ortiz,Our Esquina,HOU,Judge,Ohtani,Alvarez,Giménez,Altuve,Bogaerts,Ramírez,Rodríguez,Trout,Verlander
Anne Rogers,MLB.com,KC,Judge,Ohtani,Alvarez,Altuve,Ramírez,Rodríguez,Verlander,Giménez,Trout,Manoah
Dave Skretta,The Associated Press,KC,Judge,Ohtani,Alvarez,Bogaerts,Trout,Giménez,Rodríguez,Ramírez,Verlander,Cease
Greg Beacham,Associated Press,LA,Ohtani,Judge,Alvarez,Ramírez,Altuve,Giménez,Bogaerts,Verlander,Trout,Devers
Sam Blum,The Athletic,LA,Ohtani,Judge,Alvarez,Ramírez,Trout,Altuve,Giménez,Verlander,Rodríguez,Murphy
Betsy Helfand,St. Paul Pioneer Press,MIN,Judge,Ohtani,Alvarez,Altuve,Ramírez,Verlander,Giménez,Trout,Bogaerts,Rodríguez
Phil Miller,Minneapolis Star Tribune,MIN,Judge,Ohtani,Alvarez,Ramírez,Altuve,Giménez,Rodríguez,Trout,Verlander,Bogaerts
Marly Rivera,ESPN.COM,NY,Judge,Ohtani,Alvarez,Ramírez,Giménez,Altuve,Devers,Rodríguez,Díaz,Trout
Joel Sherman,New York Post,NY,Judge,Ohtani,Ramírez,Alvarez,Rutschman,Rodríguez,Giménez,Altuve,Bogaerts,Tucker
Matt Kawahara,San Francisco Chronicle,OAK,Judge,Ohtani,Ramírez,Alvarez,Altuve,Rodríguez,Giménez,Trout,Bichette,Bogaerts
Manolo Hernández-Douen,Beisbolporgotas.com,OAK,Judge,Ohtani,Ramírez,Alvarez,Verlander,Guerrero Jr.,Arraez,Altuve,Valdez,Tucker
Daniel Kramer,MLB.com,SEA,Judge,Ohtani,Alvarez,Altuve,Giménez,Ramírez,Trout,Rodríguez,Tucker,Bichette
Corey Brock,The Athletic,SEA,Judge,Ohtani,Alvarez,Altuve,Giménez,Ramírez,Trout,Bogaerts,Bichette,Rodríguez
Marc Topkin,Tampa Bay Times,TB,Judge,Ohtani,Alvarez,Rodríguez,Ramírez,Altuve,Bichette,Giménez,Trout,Bogaerts
Adam Berry,MLB.com,TB,Judge,Ohtani,Alvarez,Ramírez,Altuve,Giménez,Rodríguez,Verlander,Manoah,Trout
Kennedi Landry,MLB.com,TEX,Judge,Ohtani,Alvarez,Ramírez,Altuve,Trout,Bogaerts,Giménez,Verlander,Rodríguez
Levi Weaver,The Athletic,TEX,Judge,Ohtani,Giménez,Alvarez,Altuve,Rodríguez,Ramírez,Devers,Bogaerts,Verlander
Arden Zwelling,Sportsnet.ca,TOR,Judge,Ohtani,Alvarez,Altuve,Trout,Ramírez,Rodríguez,Giménez,Bogaerts,Devers
Rob Longley,Toronto Sun,TOR,Judge,Ohtani,Alvarez,Ramírez,Rodríguez,Giménez,Trout,Verlander,Altuve,Bichette
