Name,Affiliation,Chapter,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
Steve Melewski,MASNSports.com,BAL,Ohtani,Guerrero Jr.,Judge,Correa,Semien,Devers,Ramirez,Olson,Mullins,Zunino
Noah Trister,The Associated Press,BAL,Ohtani,Guerrero Jr.,Semien,Ramirez,Correa,Judge,Olson,Lowe,Mullins,Cole
Rob Bradford,WEEI.com,BOS,Ohtani,Guerrero Jr.,Semien,Judge,Correa,Perez,Olson,Mullins,Ramirez,Devers
Peter Abraham,Boston Globe,BOS,Ohtani,Guerrero Jr.,Judge,Semien,Devers,Correa,Olson,Ramirez,Mullins,Perez
LaMond Pope,Chicago Tribune,CHI,Ohtani,Guerrero Jr.,Semien,Judge,Correa,Mullins,Perez,Ramirez,Olson,Devers
James Fegan,The Athletic,CHI,Ohtani,Guerrero Jr.,Semien,Correa,Judge,Ramirez,Ray,Mullins,Lowe,Bogaerts
Paul Hoynes,Cleveland.com,CLE,Ohtani,Guerrero Jr.,Perez,Semien,Ramirez,Devers,Judge,Mullins,Abreu,Meadows
Zack Meisel,The Athletic,CLE,Ohtani,Guerrero Jr.,Semien,Ramirez,Judge,Mullins,Correa,Perez,Olson,Devers
Evan Woodbery,MLive Media Group,DET,Ohtani,Guerrero Jr.,Semien,Judge,Ramirez,Correa,Olson,Mullins,Lowe,Altuve
Chris McCosky,Detroit News,DET,Ohtani,Guerrero Jr.,Semien,Correa,Olson,Judge,Ramirez,Mullins,Perez,Bichette
Kristie Rieken,The Associated Press,HOU,Ohtani,Guerrero Jr.,Semien,Perez,Mullins,Correa,Judge,Olson,Ramirez,Devers
Richard Justice,Texas Monthly,HOU,Ohtani,Guerrero Jr.,Semien,Correa,Judge,Perez,Olson,Ramirez,Mullins,Haniger
Jeff Passan,ESPN,KC,Ohtani,Guerrero Jr.,Semien,Perez,Ramirez,Judge,Olson,Mullins,Correa,Tucker
Lynn Worthy,Kansas City Star,KC,Ohtani,Perez,Guerrero Jr.,Semien,Correa,Olson,Mullins,Judge,Lowe,Bogaerts
Yuichi Matsushita,Kyodo News,LA,Ohtani,Guerrero Jr.,Perez,Semien,Ramirez,Judge,Olson,Correa,Mullins,Lowe
Rhett Bollinger,MLB.com,LA,Ohtani,Guerrero Jr.,Semien,Perez,Ramirez,Correa,Judge,Mullins,Bichette,Lowe
Do-Hyoung Park,MLB.com,MIN,Ohtani,Guerrero Jr.,Semien,Mullins,Ramirez,Correa,Judge,Perez,Lowe,Olson
Dan Hayes,The Athletic,MIN,Ohtani,Guerrero Jr.,Semien,Correa,Judge,Lowe,Ramirez,Mullins,Bogaerts,Perez
Brendan Kuty,NJ Advance Media,NY,Ohtani,Guerrero Jr.,Semien,Ramirez,Judge,Correa,Mullins,Lowe,Altuve,Olson
Erik Boland,NY Newsday,NY,Ohtani,Guerrero Jr.,Judge,Correa,Semien,Perez,Devers,Abreu,Ramirez,Mullins
Janie McCauley,The Associated Press,OAK,Ohtani,Guerrero Jr.,Semien,Correa,Judge,Perez,Ramirez,Olson,Mullins,Devers
Martín Gallegos,MLB.com,OAK,Ohtani,Guerrero Jr.,Semien,Olson,Ramirez,Judge,Perez,Correa,Bogaerts,Devers
Ryan Divish,Seattle Times,SEA,Ohtani,Guerrero Jr.,Semien,Olson,Correa,Judge,Mullins,Perez,Lowe,Bichette
Larry Stone,Seattle Times,SEA,Ohtani,Guerrero Jr.,Semien,Correa,Judge,Lowe,Ramirez,Bichette,Olson,Perez
Marc Topkin,Tampa Bay Times,TB,Ohtani,Guerrero Jr.,Semien,Correa,Judge,Ramirez,Lowe,Olson,Mullins,Perez
Adam Berry,MLB.com,TB,Ohtani,Guerrero Jr.,Semien,Correa,Judge,Ramirez,Olson,Mullins,Perez,Lowe
Levi Weaver,The Athletic,TEX,Ohtani,Guerrero Jr.,Semien,Ramirez,Correa,Judge,Eovaldi,Cole,Mullins,Lowe
Evan Grant,Dallas Morning News,TEX,Ohtani,Guerrero Jr.,Semien,Judge,Mullins,Correa,Olson,Ramirez,Perez,Devers
Gregor Chisholm,Toronto Star,TOR,Ohtani,Guerrero Jr.,Semien,Correa,Ramirez,Perez,Judge,Olson,Mullins,Devers
Scott Mitchell,TSN,TOR,Ohtani,Guerrero Jr.,Semien,Judge,Olson,Perez,Ramirez,Correa,Hernandez,Bogaerts
