Name,Affiliation,Chapt.,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
Ken Rosenthal,FOX Sports.com,BAL,Trout,Cabrera,Donaldson,Davis,Cano,Beltre,Longoria,Pedroia,Machado,Ortiz
Mel Antonen,SI.com,BAL,Cabrera,Davis,Donaldson,Oritz,Trout,Beltre,Cano,Jones,Hunter,Longoria
Bill Ballou,Worcester Tele. & Gazette,BOS,Davis,Cabrera,Donaldson,Cano,Beltre,Pedroia,Trout,Ortiz,Encarnacion,Longoria
Rob Bradford,WEEI.com,BOS,Cabrera,Trout,Davis,Cano,Beltre,Donaldson,Ortiz,Encarnacion,Scherzer,Uehara
Daryl Van Schouwen,Chicago Sun-Times,CHI,Cabrera,Davis,Trout,Donaldson,Pedroia,Cano,Longoria,Machado,Beltre,Kipnis
Phil Rogers,Chicago Tribune,CHI,Cabrera,Trout,Donaldson,Pedroia,Kipnis,Longoria,Davis,Cano,Machado,Victorino
Sheldon Ocker,Akron Beacon Journal,CLE,Cabrera,Trout,Cano,Davis,Donaldson,Beltre,Ortiz,Holland,Longoria,Kipnis
Paul Hoynes,Cleveland Plain Dealer,CLE,Cabrera,Trout,Davis,Cano,Longoria,Donaldson,Beltre,Pedroia,Machado,Kipnis
Lynn Henning,Detroit News,DET,Cabrera,Trout,Davis,Donaldson,Machado,Beltre,Longoria,Cano,Ortiz,Crisp
Jon Paul Morosi,FOX Sports,DET,Cabrera,Trout,Davis,Donaldson,Pedroia,Beltre,Cano,Scherzer,Longoria,Uehara
Jesus Ortiz,Houston Chronicle,HOU,Cabrera,Trout,Donaldson,Davis,Machado,Scherzer,Longoria,Cano,Pedroia,Darvish
Tom Verducci,SI.com,HOU*,Cabrera,Trout,Davis,Donaldson,Cano,Beltre,Pedroia,Longoria,Kipnis,Machado
Joe Posnanski,NBC Sports,KC,Trout,Cabrera,Donaldson,Cano,Davis,Longoria,Pedroia,Beltre,Kipnis,Machado
Bob Dutton,Kansas City Star,KC,Trout,Cabrera,Donaldson,Davis,Pedroia,Scherzer,Cano,Machado,Iwakuma,Perez
Tim Brown,Yahoo Sports,LA,Trout,Cabrera,Donaldson,Davis,Pedroia,Longoria,Cano,Beltre,Ortiz,Machado
Jeff Fletcher,Orange County Register,LA,Cabrera,Trout,Davis,Cano,Donaldson,Ortiz,Beltre,Santana,Longoria,Scherzer
La Velle Neal III,Minneapolis Star Tribune,MIN,Cabrera,Trout,Donaldson,Davis,Cano,Pedroia,Beltre,Kipnis,Machado,Longoria
Patrick Borzi,Honorary,MIN,Cabrera,Davis,Trout,Donaldson,Pedroia,Cano,Beltre,Machado,Longoria,Ellsbury
Wallace Matthews,ESPNNewYork.com,NY,Cabrera,Trout,Scherzer,Davis,Longoria,Donaldson,Pedroia,Machado,Cano,Hernandez
Chad Jennings,Journal News (NY),NY,Cabrera,Trout,Davis,Donaldson,Cano,Longoria,Beltre,Pedroia,Ellsbury,Machado
John Hickey,Oakland Tribune,OAK,Donaldson,Cabrera,Davis,Trout,Jones,Kipnis,Cano,Longoria,Crisp,Beltre
Susan Slusser,San Francisco Chronicle,OAK,Cabrera,Trout,Donaldson,Davis,Cano,Ortiz,Machado,Longoria,Beltre,Pedroia
Larry Stone,Seattle Times,SEA,Cabrera,Trout,Donaldson,Davis,Cano,Pedroia,Beltre,Longoria,Machado,Kipnis
Ryan Divish,The News Tribune,SEA,Cabrera,Trout,Donaldson,Davis,Cano,Beltre,Longoria,Kipnis,Pedroia,Machado
Marc Topkin,Tampa Bay Times,TB,Cabrera,Trout,Donaldson,Davis,Longoria,Pedroia,Beltre,Kipnis,Cano,Machado
Roger Mooney,Tampa Tribune,TB,Cabrera,Trout,Davis,Donaldson,Ortiz,Longoria,Cano,Machado,Beltre,Scherzer
Jeff Wilson,Fort Worth Star-Telegram,TEX,Cabrera,Davis,Trout,Oritz,Donaldson,Beltre,Pedroia,Cano,Longoria,Kipnis
Evan Grant,Dallas Morning News,TEX,Cabrera,Trout,Donaldson,Davis,Cano,Longoria,Machado,Pedroia,Beltre,Ortiz
Brendan Kennedy,Toronto Star,TOR,Trout,Cabrera,Davis,Donaldson,Longoria,Machado,Pedroia,Cano,Encarnacion,Beltre
Bob Elliott,Toronto Sun,TOR,Cabrera,Trout,Davis,Donaldson,Cano,Pedroia,Longoria,Beltre,Kipnis,Machado
