Name,Affiliation,Chapter,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
Dan Connolly,BaltimoreBaseball.com,BAL,Betts,Trout,Altuve,Beltre,Machado,Donaldson,Cano,Ortiz,Britton,Cabrera
Tim Kurkjian,ESPN,BAL,Trout,Betts,Altuve,Donaldson,Machado,Ortiz,Beltre,Cano,Lindor,Cabrera
Sean McAdam,Comcast SportsNet New England,BOS,Betts,Donaldson,Altuve,Machado,Trout,Ortiz,Cano,Beltre,Britton,Seager
Brian MacPherson,Providence Journal,BOS,Trout,Betts,Donaldson,Altuve,Machado,Ortiz,Seager,Sale,Verlander,Lindor
Colleen Kane,Chicago Tribune,CHI,Trout,Betts,Altuve,Donaldson,Machado,Ortiz,Beltre,Lindor,Cabrera,Cano
Daryl Van Schouwen,Chicago Sun-Times,CHI,Trout,Betts,Altuve,Donaldson,Beltre,Machado,Lindor,Cano,Ortiz,Eaton
Paul Hoynes,cleveland.com,CLE,Betts,Trout,Donaldson,Ortiz,Altuve,Machado,Cano,Encarnacion,Lindor,Dozier
Jim Ingraham,Elyria Chronicle,CLE,Trout,Altuve,Betts,Donaldson,Ortiz,Machado,Cabrera,Dozier,Ramirez,Beltre
Jason Beck,MLB.com,DET,Betts,Trout,Donaldson,Altuve,Beltre,Ortiz,Lindor,Machado,Cabrera,Cano
Jon Paul Morosi,MLB.com,DET,Betts,Trout,Altuve,Ortiz,Donaldson,Machado,Beltre,Britton,Lindor,Cano
Brian McTaggart,MLB.com,HOU,Trout,Betts,Altuve,Ortiz,Donaldson,Cabrera,Beltre,Cruz,Cano,Machado
Richard Justice,MLB.com,HOU,Trout,Betts,Beltre,Altuve,Donaldson,Machado,Ortiz,Lindor,Cabrera,Cano
Rustin Dodd,The Kansas City Star,KC,Trout,Betts,Donaldson,Altuve,Cano,Machado,Ortiz,Cabrera,Beltre,Lindor
Jeff Passan,Yahoo Sports,KC,Trout,Betts,Donaldson,Altuve,Ortiz,Beltre,Machado,Cabrera,Cano,Lindor
Jeff Miller,Orange County Register,LA,Trout,Betts,Donaldson,Altuve,Machado,Cano,Beltre,Ortiz,Cabrera,Lindor
Jeff Fletcher,Orange County Register,LA,Trout,Donaldson,Betts,Altuve,Beltre,Ortiz,Machado,Cano,Cabrera,Kluber
Phil Miller,Minneapolis Star Tribune,MIN,Trout,Betts,Altuve,Machado,Donaldson,Cano,Seager,Lindor,Dozier,Ortiz
Rhett Bollinger,MLB.com,MIN,Trout,Betts,Donaldson,Altuve,Machado,Cano,Beltre,Lindor,Ortiz,Dozier
Mark Feinsand,New York Daily News,NY,Ortiz,Trout,Betts,Altuve,Cano,Donaldson,Machado,Beltre,Cabrera,Britton
George A. King III,New York Post,NY,Betts,Ortiz,Trout,Beltre,Altuve,Cabrera,Lindor,Donaldson,Machado,Cano
Susan Slusser,San Francisco Chronicle,OAK,Trout,Betts,Donaldson,Altuve,Ortiz,Cruz,Beltre,Machado,Cabrera,Cano
John Hickey,Oakland Tribune/Bay Area News Group,OAK,Beltre,Betts,Altuve,Machado,Donaldson,Cabrera,Trout,Ortiz,Cano,Encarnacion
Larry Stone,Seattle Times,SEA,Trout,Betts,Altuve,Cano,Ortiz,Donaldson,Machado,Beltre,Lindor,Seager
Bob Dutton,Tacoma News Tribune,SEA,Trout,Altuve,Betts,Donaldson,Beltre,Machado,Ortiz,Cano,Cabrera,Dozier
Marc Topkin,Tampa Bay Times,TB,Betts,Trout,Altuve,Donaldson,Beltre,Machado,Lindor,Cano,Ortiz,Britton
Roger Mooney,Tampa Bay Times,TB,Trout,Betts,Altuve,Machado,Lindor,Donaldson,Ortiz,Cabrera,Britton,Longoria
Evan Grant,Dallas Morning News,TEX,Trout,Betts,Donaldson,Altuve,Beltre,Machado,Cabrera,Ortiz,Cano,Lindor
T.R. Sullivan,MLB.Com,TEX,Betts,Trout,Altuve,Beltre,Lindor,Ortiz,Cabrera,Machado,Donaldson,Cruz
Richard Griffin,Toronto Star,TOR,Trout,Betts,Altuve,Machado,Donaldson,Beltre,Ortiz,Lindor,Encarnacion,Dozier
Ken Fidlin,Toronto Sun,TOR,Betts,Trout,Altuve,Donaldson,Machado,Ortiz,Cano,Beltre,Cabrera,Encarnacion
