Name,Affiliation,Chapter,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
Charles Odum,The Associated Press,ATL,Yelich,Baez,Arenado,Freeman,Story,Carpenter,Acuña,Cain,DeGrom,Markakis
David O'Brien,The Athletic,ATL,Yelich,Baez,Freeman,Carpenter,Arenado,Goldschmidt,DeGrom,Cain,Acuña,Story
Nick Piecoro,The Arizona Republic,AZ,DeGrom,Yelich,Scherzer,Arenado,Baez,Story,Nola,Goldschmidt,Cain,Freeman
Robert Nightengale,USA TODAY,AZ,Yelich,Baez,Story,Arenado,Freeman,Cain,Carpenter,Goldschmidt,Muncy,Rizzo
Gordon Wittenmyer,Chicago Sun-Times,CHI,Yelich,Baez,Arenado,Freeman,Cain,Goldschmidt,Story,Carpenter,Acuña,Turner
Bruce Miles,"Daily Herald, Arlington Heights, IL",CHI,Yelich,Baez,Arenado,Cain,Freeman,Story,DeGrom,Goldschmidt,Rendon,Carpenter
C. Trent Rosecrans,The Athletic,CIN,Yelich,DeGrom,Scherzer,Baez,Arenado,Cain,Goldschmidt,Nola,Story,Freeman
John Fay,Cincinnati Enquirer,CIN,Yelich,Baez,Freeman,Arenado,Goldschmidt,Carpenter,Turner,Cain,Rendon,Suarez
Tracy Ringolsby,InsideTheSeams.com,COL,Yelich,Arenado,Freeman,Baez,Story,Cain,Goldschmidt,Rizzo,Rendon,Carpenter
Patrick Saunders,Denver Post,COL,Yelich,Baez,Arenado,Cain,Carpenter,Goldschmidt,Freeman,DeGrom,Muncy,Story
Bill Plunkett,Southern California News Group,LA,Yelich,Baez,Arenado,Freeman,Story,Goldschmidt,Cain,Carpenter,DeGrom,Turner
Mark Whicker,Southern California News Group,LA,Yelich,Baez,Freeman,Arenado,Acuña,Story,Carpenter,Cain,DeGrom,Turner
Jon Heyman,Fancred,MIA,Yelich,Baez,Story,Arenado,DeGrom,Cain,Acuña,Freeman,Turner,Nola
Clark Spencer,Miami Herald,MIA,Yelich,DeGrom,Baez,Freeman,Arenado,Goldschmidt,Carpenter,Story,Cain,Scherzer
Adam McCalvy,MLB.com,MIL,Yelich,DeGrom,Baez,Goldschmidt,Freeman,Scherzer,Cain,Carpenter,Arenado,Rendon
Tom Haudricourt,Milwaukee Journal Sentinel,MIL,Yelich,Baez,Story,Freeman,Cain,Arenado,Carpenter,Goldschmidt,Aguilar,Turner
David Lennon,New York Newsday,NY,Yelich,Baez,Arenado,Carpenter,DeGrom,Story,Goldschmidt,Freeman,Rendon,Cain
Mike Puma,New York Post,NY,Yelich,DeGrom,Arenado,Baez,Cain,Scherzer,Freeman,Nola,Carpenter,Goldschmidt
Jayson Stark,The Athletic,PHI,Yelich,Baez,Freeman,Arenado,DeGrom,Story,Cain,Scherzer,Goldschmidt,Carpenter
Matt Breen,The Philadelphia Inquirer,PHI,Yelich,Arenado,Carpenter,DeGrom,Baez,Freeman,Muncy,Story,Aguilar,Rendon
Bill Brink,Pittsburgh Post-Gazette,PIT,Yelich,DeGrom,Goldschmidt,Baez,Cain,Arenado,Carpenter,Scherzer,Freeman,Story
Rob Biertempfel,The Athletic,PIT,Yelich,Baez,Carpenter,Arenado,Goldschmidt,Freeman,Story,DeGrom,Cain,Acuña
Dennis Lin,The Athletic,SD,Yelich,DeGrom,Baez,Freeman,Scherzer,Story,Nola,Arenado,Cain,Carpenter
Kevin Acee,San Diego UnionTribune,SD,Yelich,Baez,Freeman,Arenado,Carpenter,DeGrom,Goldschmidt,Cain,Story,Scherzer
Chris Haft,MLB.com,SF,Yelich,Baez,Freeman,Arenado,Goldschmidt,Rendon,Carpenter,Story,Cain,Suarez
Andrew Baggarly,The Athletic,SF,Yelich,Baez,Cain,Freeman,Arenado,Goldschmidt,Carpenter,Story,Rendon,Markakis
Derrick Goold,St. Louis Post-Dispatch,STL,Yelich,Arenado,DeGrom,Baez,Scherzer,Goldschmidt,Freeman,Story,Carpenter,Cain
Rick Hummel,St. Louis Post-Dispatch,STL,Yelich,Baez,Arenado,Freeman,Story,Carpenter,Goldschmidt,Aguilar,Rizzo,Scherzer
Jamal Collier,MLB.com,WAS,Yelich,DeGrom,Baez,Scherzer,Arenado,Goldschmidt,Freeman,Carpenter,Cain,Rendon
Mark Zuckerman,MASNsports.com,WAS,Yelich,Baez,Freeman,Goldschmidt,DeGrom,Scherzer,Arenado,Rendon,Cain,Nola
