Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
Adam JudeThe Seattle Times,2014,1,Florida State,Oregon,Alabama,Oklahoma,Ohio State,Auburn,UCLA,Michigan State,Baylor,Georgia,South Carolina,Wisconsin,LSU,Stanford,Clemson,Ole Miss,UCF,USC,Notre Dame,Arizona State,Texas A&M,Missouri,Texas Tech,Washington,Iowa
Adam SparksDaily News Journal,2014,1,Florida State,Auburn,Oklahoma,Alabama,Oregon,Ohio State,South Carolina,Clemson,Michigan State,Stanford,UCLA,Baylor,LSU,Nebraska,Georgia,Ole Miss,USC,Wisconsin,Notre Dame,Missouri,Arizona State,Washington,Louisville,Oklahoma State,Texas
Adam ZuckerCBS Sports Network,2014,1,Florida State,Oregon,Auburn,Oklahoma,Alabama,Michigan State,UCLA,Ohio State,South Carolina,Georgia,Baylor,LSU,Stanford,Wisconsin,USC,Arizona State,Texas A&M,North Carolina,Notre Dame,Ole Miss,Florida,Clemson,Iowa,Kansas State,Utah State
Bill RabinowitzThe Columbus Dispatch,2014,1,Florida State,Alabama,Oklahoma,Oregon,Auburn,Michigan State,Ohio State,UCLA,Georgia,Baylor,South Carolina,Stanford,LSU,Wisconsin,USC,Clemson,Ole Miss,Notre Dame,Arizona State,Missouri,Washington,Kansas State,North Carolina,Texas A&M,Mississippi State
Bob AsmussenChampaign News-Gazette,2014,1,Florida State,Oregon,Ohio State,Alabama,Oklahoma,Michigan State,Auburn,UCLA,Baylor,Georgia,Stanford,LSU,South Carolina,Texas A&M,Wisconsin,Notre Dame,North Carolina,Florida,Clemson,Texas Tech,USC,Ole Miss,Nebraska,Texas,Michigan
Brent AxeThe Post-Standard,2014,1,Florida State,Ohio State,Alabama,UCLA,Oregon,Baylor,Oklahoma,Michigan State,Auburn,Georgia,LSU,South Carolina,Stanford,Wisconsin,Ole Miss,Notre Dame,North Carolina,USC,Clemson,Northwestern,UCF,Florida,Missouri,Washington,TCU
Brett McMurphyAction Network,2014,1,Florida State,Alabama,Oregon,Oklahoma,UCLA,South Carolina,Ohio State,Auburn,Michigan State,Baylor,Georgia,Stanford,USC,Clemson,LSU,Notre Dame,Wisconsin,Washington,Mississippi State,Ole Miss,North Carolina,Iowa,Florida,Nebraska,Texas A&M
Chadd CripeThe Idaho Statesman,2014,1,Florida State,Auburn,Oklahoma,Alabama,Michigan State,South Carolina,Stanford,Oregon,Clemson,UCLA,Ohio State,LSU,UCF,Missouri,Baylor,Oklahoma State,Louisville,Notre Dame,Texas A&M,Duke,Arizona State,USC,Nebraska,Texas Tech,Washington
Charles DavisFOX Sports,2014,1,Florida State,UCLA,Oregon,Auburn,Oklahoma,Alabama,Michigan State,Stanford,Ohio State,Baylor,South Carolina,Arizona State,LSU,Georgia,Nebraska,Wisconsin,Notre Dame,Washington,UCF,Ole Miss,Florida,Texas,Clemson,Duke,Texas A&M
Chris MurrayNevada Sports Net,2014,1,Florida State,Alabama,Oklahoma,Oregon,Michigan State,Ohio State,UCLA,Baylor,Auburn,South Carolina,Georgia,Stanford,Wisconsin,USC,Arizona State,LSU,North Carolina,Clemson,Notre Dame,UCF,Ole Miss,Texas,Marshall,Washington,Louisville
Chuck McGillCharleston Daily,2014,1,Florida State,Stanford,Ohio State,Auburn,Oregon,Alabama,South Carolina,Georgia,Michigan State,Oklahoma,UCLA,Ole Miss,Baylor,LSU,Notre Dame,USC,Clemson,Texas A&M,North Carolina,Missouri,Michigan,Florida,Marshall,TCU,Duke
Daniel BerkArizona Daily Star,2014,1,Florida State,Oklahoma,Oregon,Alabama,Ohio State,UCLA,Michigan State,Georgia,Baylor,USC,South Carolina,Auburn,Wisconsin,LSU,Stanford,Ole Miss,Clemson,Notre Dame,Duke,Kansas State,Iowa,Arizona State,Texas A&M,Florida,Marshall
Donald HeathSavannah News,2014,1,Florida State,Oklahoma,Alabama,Oregon,Ohio State,UCLA,South Carolina,Michigan State,Baylor,Auburn,Georgia,USC,Wisconsin,LSU,Stanford,Notre Dame,Arizona State,Clemson,Marshall,Ole Miss,Texas,Iowa,Duke,Navy,Louisiana
Doug DoughtyThe Roanoke Times,2014,1,Florida State,Alabama,Oklahoma,Ohio State,Oregon,UCLA,Auburn,Wisconsin,South Carolina,USC,Baylor,Michigan State,Stanford,Iowa,Clemson,Kansas State,Arizona State,Duke,Georgia,Miami (FL),Texas,LSU,Ole Miss,Notre Dame,Nebraska
Doug LesmerisesThe Cleveland Plain Dealer,2014,1,Florida State,Alabama,Oregon,Auburn,Oklahoma,Michigan State,Ohio State,UCLA,South Carolina,LSU,Stanford,Baylor,Georgia,Clemson,Florida,Missouri,USC,Kansas State,Louisville,Duke,Iowa,TCU,Wisconsin,Arizona State,Notre Dame
Drew SharpDetroit Free Press,2014,1,Alabama,Oklahoma,Florida State,South Carolina,Oregon,Auburn,Georgia,UCLA,Stanford,Clemson,Ohio State,Baylor,Arizona State,LSU,Ole Miss,Michigan State,Kansas State,USC,North Carolina,TCU,Washington,Texas A&M,UCF,Florida,Marshall
Ed JohnsonAlbuquerque Journal,2014,1,Florida State,Oregon,Oklahoma,UCLA,Auburn,Alabama,Ohio State,Michigan State,South Carolina,Baylor,Stanford,LSU,Arizona State,USC,Texas A&M,Nebraska,Georgia,Clemson,UCF,Ole Miss,Notre Dame,Washington,North Carolina,Marshall,Nevada
Eric AvidonThe MetroWest Daily News,2014,1,Florida State,Oklahoma,Auburn,UCLA,Oregon,South Carolina,Alabama,Michigan State,Baylor,Ohio State,USC,Wisconsin,Ole Miss,Stanford,Georgia,Nebraska,LSU,Kansas State,Duke,Clemson,Washington,North Carolina,Iowa,Notre Dame,Texas Tech
Eric HansenThe South Bend Tribune,2014,1,Florida State,Oregon,Alabama,Baylor,Michigan State,Stanford,Auburn,South Carolina,USC,Ohio State,Oklahoma,Ole Miss,Wisconsin,LSU,UCLA,Clemson,Notre Dame,North Carolina,Arizona State,Georgia,Louisville,UCF,Missouri,Washington,Texas Tech
Ferd LewisThe Honolulu Star-Advertiser,2014,1,Florida State,Oregon,Alabama,Oklahoma,Auburn,Ohio State,Michigan State,South Carolina,UCLA,Stanford,Baylor,LSU,Georgia,Wisconsin,USC,Arizona State,Clemson,Ole Miss,Notre Dame,Kansas State,Nebraska,North Carolina,Texas A&M,Missouri,Texas
Garland GillenWVUE-TV FOX 8,2014,1,Florida State,Alabama,Oregon,Auburn,Ohio State,Oklahoma,South Carolina,Michigan State,Baylor,UCLA,Georgia,LSU,Stanford,Wisconsin,Ole Miss,USC,Clemson,Texas A&M,Arizona State,Kansas State,Notre Dame,Florida,Nebraska,Mississippi State,Missouri
Garry SmitsFlorida Times-Union,2014,1,Florida State,Alabama,Oregon,Oklahoma,UCLA,South Carolina,Ohio State,Baylor,Michigan State,Auburn,Stanford,USC,Wisconsin,Notre Dame,Georgia,Arizona State,Ole Miss,Virginia Tech,LSU,Clemson,Iowa,North Carolina,Washington,Nebraska,Florida
Gary HorowitzKBZY radio,2014,1,Florida State,Oklahoma,Alabama,Oregon,Ohio State,Auburn,Michigan State,South Carolina,UCLA,Georgia,Baylor,Stanford,Notre Dame,LSU,USC,Wisconsin,Texas A&M,Clemson,Ole Miss,North Carolina,Missouri,Nebraska,Arizona State,UCF,Boise State
Grant RameyDaily Times,2014,1,Florida State,Alabama,Oregon,Auburn,Oklahoma,Ohio State,UCLA,South Carolina,Baylor,Michigan State,Stanford,LSU,Georgia,USC,Notre Dame,Arizona State,Wisconsin,Texas A&M,Ole Miss,Nebraska,Clemson,Washington,North Carolina,Texas,Florida
Harold GutmannThe Herald-Sun of Durham,2014,1,Florida State,Alabama,Ohio State,Oregon,Auburn,Oklahoma,South Carolina,UCLA,Georgia,Michigan State,Stanford,LSU,Baylor,Wisconsin,Nebraska,USC,Kansas State,Clemson,Arizona State,Ole Miss,Duke,Notre Dame,Missouri,Washington,Cincinnati
Iliana Limon RomeroOrlando Sentinel,2014,1,Florida State,Alabama,Oregon,Oklahoma,Ohio State,Auburn,UCLA,Michigan State,South Carolina,Baylor,Georgia,Stanford,LSU,Clemson,Wisconsin,USC,Notre Dame,Arizona State,Kansas State,Nebraska,North Carolina,Washington,Texas A&M,UCF,Ole Miss
Jay Binkley610 Sports KCSP,2014,1,Florida State,Alabama,Oklahoma,Ohio State,Auburn,Michigan State,Oregon,Georgia,UCLA,South Carolina,Baylor,Wisconsin,LSU,Stanford,North Carolina,Notre Dame,USC,Clemson,Nebraska,Missouri,Kansas State,Texas A&M,Ole Miss,Arizona State,Washington
Jimmy BurchFort Worth Star-Telegram,2014,1,Florida State,Oregon,Alabama,Oklahoma,Auburn,Michigan State,UCLA,Ohio State,Stanford,Baylor,LSU,Notre Dame,South Carolina,Wisconsin,Georgia,Kansas State,North Carolina,Nebraska,USC,Clemson,Texas A&M,Duke,Texas Tech,Marshall,BYU
Joey KnightTampa Bay Times,2014,1,Florida State,Oklahoma,Alabama,UCLA,Oregon,Ohio State,Auburn,Michigan State,South Carolina,Baylor,Stanford,Georgia,USC,Nebraska,Wisconsin,Notre Dame,Ole Miss,LSU,Arizona State,Clemson,Cincinnati,Texas,Kansas State,Texas A&M,Duke
John ShinnThe Norman Transcript,2014,1,Florida State,Alabama,Oregon,Oklahoma,Ohio State,Auburn,Michigan State,UCLA,South Carolina,Stanford,Baylor,Georgia,LSU,Wisconsin,Clemson,USC,Notre Dame,Ole Miss,Arizona State,UCF,Kansas State,Nebraska,North Carolina,Texas A&M,Texas
John SilverThe Journal Inquirer,2014,1,Florida State,Oklahoma,Oregon,Alabama,Auburn,UCLA,Ohio State,South Carolina,Stanford,LSU,Michigan State,Baylor,Georgia,Wisconsin,Clemson,USC,Notre Dame,Arizona State,Texas A&M,BYU,Marshall,Cincinnati,UCF,Boise State,Washington
Jon WilnerSan Jose Mercury News,2014,1,Florida State,Ohio State,Alabama,Oklahoma,Wisconsin,Oregon,Michigan State,UCLA,Georgia,Baylor,USC,Stanford,Auburn,Ole Miss,Marshall,LSU,Virginia Tech,South Carolina,Oregon State,Iowa,Boise State,Notre Dame,Texas Tech,Northwestern,Duke
Josh KendallThe State,2014,1,Florida State,Oklahoma,Ohio State,Michigan State,Alabama,Oregon,Baylor,UCLA,Auburn,South Carolina,Stanford,LSU,Georgia,Texas A&M,Oklahoma State,Missouri,Clemson,Arizona State,Wisconsin,USC,Ole Miss,Louisville,Nebraska,Michigan,Duke
Keith SargeantNJ Advanced Media,2014,1,Florida State,Oregon,Oklahoma,Alabama,Auburn,Ohio State,UCLA,South Carolina,Baylor,Stanford,Michigan State,LSU,Notre Dame,Georgia,Nebraska,Texas A&M,Clemson,USC,Wisconsin,Arizona State,Washington,Kansas State,Ole Miss,Florida,Iowa
Kellis RobinettWichita Eagle,2014,1,Florida State,Oklahoma,Alabama,Ohio State,Oregon,Auburn,Michigan State,UCLA,Baylor,Georgia,Stanford,South Carolina,LSU,USC,Clemson,Kansas State,Wisconsin,Arizona State,Texas A&M,Ole Miss,Washington,Nebraska,Missouri,Florida,Texas
Ken MedlinWRAL-TV,2014,1,Florida State,Oregon,Oklahoma,Alabama,Auburn,Ohio State,Stanford,UCLA,Michigan State,LSU,South Carolina,Georgia,Baylor,Wisconsin,Clemson,USC,Arizona State,Ole Miss,Texas A&M,Nebraska,Texas,Notre Dame,Washington,Duke,North Carolina
Kirk BohlsAustin American-Statesman,2014,1,Oregon,Florida State,Ohio State,Baylor,Oklahoma,Alabama,UCLA,Auburn,South Carolina,Stanford,Georgia,North Carolina,USC,LSU,Michigan State,Arizona State,Florida,Notre Dame,Ole Miss,Kansas State,Clemson,Mississippi State,Nebraska,Wisconsin,Duke
Kyle RingoDaily Camera,2014,1,Florida State,Alabama,Oregon,Auburn,Oklahoma,South Carolina,Michigan State,Ohio State,UCLA,Baylor,LSU,USC,Kansas State,Clemson,Wisconsin,Stanford,Georgia,Washington,Ole Miss,Notre Dame,Texas,Missouri,Texas A&M,Miami (FL),Duke
Larry VaughtAdvocate Msgr,2014,1,Florida State,Alabama,Oklahoma,Oregon,Ohio State,Auburn,UCLA,Michigan State,Baylor,Georgia,South Carolina,Stanford,LSU,Wisconsin,USC,Notre Dame,Kansas State,Nebraska,Texas A&M,Arizona State,Ole Miss,Texas,North Carolina,Clemson,Washington
Logan LoweryNE Miss. Daily Journal,2014,1,Florida State,Auburn,Michigan State,South Carolina,Missouri,Oklahoma,Alabama,Clemson,Oregon,UCF,Stanford,Ohio State,Baylor,LSU,Louisville,UCLA,Oklahoma State,Texas A&M,USC,Arizona State,Notre Dame,Wisconsin,Duke,Vanderbilt,Washington
Matt McCoy610 WTVN-AM,2014,1,Florida State,Alabama,Oklahoma,Oregon,Ohio State,Auburn,UCLA,Michigan State,Baylor,Georgia,South Carolina,Stanford,LSU,Wisconsin,USC,Notre Dame,Ole Miss,Kansas State,Arizona State,Florida,Texas,Clemson,Washington,Nebraska,Texas A&M
Michael LevArizona Daily Star,2014,1,Florida State,Oklahoma,Ohio State,Alabama,UCLA,Oregon,Michigan State,Georgia,Auburn,Baylor,LSU,Wisconsin,South Carolina,USC,Kansas State,Stanford,Ole Miss,Texas A&M,Arizona State,Notre Dame,Clemson,Texas,Iowa,Washington,Duke
Mike HerndonAlabama Media Group,2014,1,Florida State,Auburn,Oregon,Oklahoma,Alabama,Ohio State,UCLA,Michigan State,Baylor,Georgia,Stanford,South Carolina,USC,LSU,Wisconsin,Clemson,Notre Dame,Kansas State,Arizona State,Texas,Mississippi State,Ole Miss,Louisville,Missouri,Iowa
Mike SorensenDeseret News,2014,1,Florida State,Oklahoma,Oregon,Alabama,Ohio State,UCLA,Michigan State,Auburn,Stanford,South Carolina,Baylor,USC,Wisconsin,LSU,Ole Miss,Clemson,Nebraska,Georgia,Notre Dame,Arizona State,Texas A&M,North Carolina,Texas,Michigan,BYU
Nate Sandell1500 ESPN Twin Cities/KSTP-AM,2014,1,Florida State,Alabama,Oklahoma,Ohio State,Oregon,Auburn,UCLA,South Carolina,Michigan State,Baylor,Georgia,Stanford,LSU,USC,Wisconsin,Arizona State,Clemson,Ole Miss,Notre Dame,Kansas State,Texas,Washington,Nebraska,Texas A&M,Missouri
Nick Baumgardnermlive.com,2014,1,Florida State,Oregon,Auburn,Alabama,Oklahoma,Ohio State,Michigan State,Georgia,South Carolina,UCLA,Baylor,Stanford,LSU,USC,Wisconsin,Arizona State,Ole Miss,Missouri,Notre Dame,Clemson,Kansas State,Texas A&M,North Carolina,Washington,UCF
Pete DiPrimioThe Fort Wayne News-Sentinel,2014,1,Florida State,Alabama,UCLA,Oregon,Ohio State,Auburn,Michigan State,Oklahoma,Georgia,South Carolina,Baylor,LSU,Stanford,Ole Miss,USC,North Carolina,TCU,Notre Dame,Wisconsin,Texas A&M,Clemson,Texas,Louisville,Mississippi State,Florida
Rob LongWJFK - 105.7 TheFan,2014,1,Florida State,Oregon,Ohio State,Auburn,Oklahoma,Alabama,UCLA,Michigan State,Stanford,South Carolina,Baylor,Wisconsin,LSU,Georgia,Notre Dame,Ole Miss,USC,Miami (FL),Arizona State,Nebraska,Clemson,Washington,Kansas State,North Carolina,Oklahoma State
Robert CessnaBryan-College Station Eagle,2014,1,Florida State,Oregon,Alabama,Ohio State,UCLA,South Carolina,Baylor,Oklahoma,Auburn,Georgia,Michigan State,Stanford,LSU,Wisconsin,USC,Clemson,Notre Dame,Arizona State,Texas A&M,North Carolina,Ole Miss,Penn State,Missouri,Kansas State,Oklahoma State
Ross DellengerThe Advocate,2014,1,Florida State,Oklahoma,Ohio State,Oregon,Alabama,UCLA,Auburn,Stanford,Baylor,Georgia,South Carolina,Michigan State,Ole Miss,LSU,Notre Dame,Missouri,Nebraska,Wisconsin,USC,Kansas State,Arizona State,Clemson,North Carolina,Washington,Duke
Sam WernerPittsburgh Post-Gazette,2014,1,Florida State,Ohio State,Alabama,Oregon,South Carolina,Oklahoma,Auburn,UCLA,Baylor,Wisconsin,Michigan State,Stanford,LSU,Georgia,Notre Dame,USC,Ole Miss,Clemson,Washington,Kansas State,Arizona State,North Carolina,Nebraska,Duke,Mississippi State
Scott NulphLaramie Boomerang,2014,1,Florida State,Oklahoma,Oregon,Alabama,UCLA,South Carolina,Auburn,Baylor,Ohio State,LSU,Georgia,Michigan State,Stanford,USC,Clemson,Notre Dame,Wisconsin,Texas A&M,North Carolina,Arizona State,Washington,Kansas State,Ole Miss,Oklahoma State,TCU
