Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
adam-jude,2015,6,ohio-state-buckeyes,michigan-state-spartans,tcu-horned-frogs,baylor-bears,lsu-tigers,utah-utes,texas-am-aggies,florida-gators,clemson-tigers,ole-miss-rebels,ucla-bruins,alabama-crimson-tide,florida-state-seminoles,notre-dame-fighting-irish,northwestern-wildcats,oklahoma-sooners,stanford-cardinal,usc-trojans,georgia-bulldogs,michigan-wolverines,oklahoma-state-cowboys,california-golden-bears,iowa-hawkeyes,toledo-rockets,temple-owls
adam-zucker,2015,6,baylor-bears,utah-utes,tcu-horned-frogs,ohio-state-buckeyes,texas-am-aggies,lsu-tigers,michigan-state-spartans,clemson-tigers,alabama-crimson-tide,florida-state-seminoles,oklahoma-sooners,notre-dame-fighting-irish,michigan-wolverines,florida-gators,ole-miss-rebels,northwestern-wildcats,georgia-bulldogs,stanford-cardinal,ucla-bruins,usc-trojans,oklahoma-state-cowboys,california-golden-bears,iowa-hawkeyes,toledo-rockets,navy-midshipmen
bob-asmussen,2015,6,ohio-state-buckeyes,michigan-state-spartans,tcu-horned-frogs,baylor-bears,lsu-tigers,alabama-crimson-tide,florida-state-seminoles,texas-am-aggies,clemson-tigers,oklahoma-sooners,utah-utes,florida-gators,ole-miss-rebels,stanford-cardinal,usc-trojans,georgia-bulldogs,notre-dame-fighting-irish,ucla-bruins,michigan-wolverines,northwestern-wildcats,oklahoma-state-cowboys,iowa-hawkeyes,memphis-tigers,california-golden-bears,toledo-rockets
brent-axe,2015,6,ohio-state-buckeyes,michigan-state-spartans,utah-utes,texas-am-aggies,clemson-tigers,baylor-bears,tcu-horned-frogs,florida-gators,lsu-tigers,ole-miss-rebels,alabama-crimson-tide,oklahoma-sooners,florida-state-seminoles,northwestern-wildcats,california-golden-bears,notre-dame-fighting-irish,stanford-cardinal,georgia-bulldogs,ucla-bruins,oklahoma-state-cowboys,iowa-hawkeyes,usc-trojans,michigan-wolverines,temple-owls,toledo-rockets
brett-mcmurphy,2015,6,utah-utes,clemson-tigers,florida-gators,michigan-state-spartans,lsu-tigers,baylor-bears,tcu-horned-frogs,northwestern-wildcats,oklahoma-sooners,texas-am-aggies,ohio-state-buckeyes,stanford-cardinal,ole-miss-rebels,alabama-crimson-tide,notre-dame-fighting-irish,california-golden-bears,florida-state-seminoles,usc-trojans,ucla-bruins,iowa-hawkeyes,toledo-rockets,houston-cougars,michigan-wolverines,oklahoma-state-cowboys,georgia-bulldogs
brian-howell,2015,6,ohio-state-buckeyes,michigan-state-spartans,lsu-tigers,tcu-horned-frogs,utah-utes,baylor-bears,alabama-crimson-tide,florida-state-seminoles,clemson-tigers,usc-trojans,oklahoma-sooners,texas-am-aggies,notre-dame-fighting-irish,florida-gators,ole-miss-rebels,stanford-cardinal,ucla-bruins,georgia-bulldogs,boise-state-broncos,northwestern-wildcats,oklahoma-state-cowboys,oregon-ducks,michigan-wolverines,california-golden-bears,iowa-hawkeyes
chadd-cripe,2015,6,utah-utes,lsu-tigers,florida-gators,clemson-tigers,ohio-state-buckeyes,michigan-state-spartans,tcu-horned-frogs,texas-am-aggies,ole-miss-rebels,alabama-crimson-tide,northwestern-wildcats,baylor-bears,stanford-cardinal,michigan-wolverines,oklahoma-sooners,ucla-bruins,notre-dame-fighting-irish,georgia-bulldogs,florida-state-seminoles,usc-trojans,california-golden-bears,oklahoma-state-cowboys,iowa-hawkeyes,temple-owls,memphis-tigers
chris-murray,2015,6,ohio-state-buckeyes,utah-utes,michigan-state-spartans,tcu-horned-frogs,clemson-tigers,lsu-tigers,texas-am-aggies,baylor-bears,oklahoma-sooners,florida-gators,florida-state-seminoles,northwestern-wildcats,stanford-cardinal,ole-miss-rebels,alabama-crimson-tide,ucla-bruins,notre-dame-fighting-irish,usc-trojans,georgia-bulldogs,oklahoma-state-cowboys,california-golden-bears,michigan-wolverines,iowa-hawkeyes,toledo-rockets,kansas-state-wildcats
dave-reardon,2015,6,baylor-bears,tcu-horned-frogs,clemson-tigers,florida-gators,lsu-tigers,ohio-state-buckeyes,utah-utes,oklahoma-sooners,alabama-crimson-tide,texas-am-aggies,northwestern-wildcats,ole-miss-rebels,michigan-state-spartans,stanford-cardinal,michigan-wolverines,florida-state-seminoles,oklahoma-state-cowboys,usc-trojans,boise-state-broncos,iowa-hawkeyes,navy-midshipmen,notre-dame-fighting-irish,duke-blue-devils,georgia-bulldogs,temple-owls
david-briggs,2015,6,ohio-state-buckeyes,baylor-bears,utah-utes,michigan-state-spartans,tcu-horned-frogs,florida-gators,clemson-tigers,alabama-crimson-tide,lsu-tigers,oklahoma-sooners,northwestern-wildcats,texas-am-aggies,ole-miss-rebels,florida-state-seminoles,notre-dame-fighting-irish,stanford-cardinal,michigan-wolverines,ucla-bruins,georgia-bulldogs,usc-trojans,toledo-rockets,oklahoma-state-cowboys,iowa-hawkeyes,california-golden-bears,houston-cougars
