Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
adam-jude,2016,10,alabama-crimson-tide,clemson-tigers,michigan-wolverines,washington-huskies,louisville-cardinals,texas-am-aggies,ohio-state-buckeyes,wisconsin-badgers,florida-gators,nebraska-cornhuskers,baylor-bears,west-virginia-mountaineers,auburn-tigers,oklahoma-sooners,lsu-tigers,colorado-buffaloes,utah-utes,western-michigan-broncos,florida-state-seminoles,boise-state-broncos,north-carolina-tar-heels,virginia-tech-hokies,usc-trojans,penn-state-nittany-lions,oklahoma-state-cowboys
adam-zucker,2016,10,alabama-crimson-tide,michigan-wolverines,washington-huskies,clemson-tigers,louisville-cardinals,ohio-state-buckeyes,texas-am-aggies,wisconsin-badgers,auburn-tigers,nebraska-cornhuskers,florida-gators,west-virginia-mountaineers,utah-utes,florida-state-seminoles,lsu-tigers,colorado-buffaloes,oklahoma-sooners,baylor-bears,virginia-tech-hokies,western-michigan-broncos,penn-state-nittany-lions,boise-state-broncos,north-carolina-tar-heels,washington-state-cougars,troy-trojans
andy-greder,2016,10,alabama-crimson-tide,michigan-wolverines,clemson-tigers,washington-huskies,louisville-cardinals,ohio-state-buckeyes,wisconsin-badgers,oklahoma-sooners,texas-am-aggies,florida-gators,nebraska-cornhuskers,auburn-tigers,oklahoma-state-cowboys,florida-state-seminoles,utah-utes,western-michigan-broncos,north-carolina-tar-heels,colorado-buffaloes,lsu-tigers,baylor-bears,west-virginia-mountaineers,virginia-tech-hokies,washington-state-cougars,tennessee-volunteers,boise-state-broncos
bill-landis,2016,10,alabama-crimson-tide,clemson-tigers,michigan-wolverines,washington-huskies,louisville-cardinals,ohio-state-buckeyes,texas-am-aggies,wisconsin-badgers,nebraska-cornhuskers,florida-gators,auburn-tigers,utah-utes,west-virginia-mountaineers,baylor-bears,lsu-tigers,western-michigan-broncos,oklahoma-sooners,penn-state-nittany-lions,virginia-tech-hokies,colorado-buffaloes,oklahoma-state-cowboys,boise-state-broncos,north-carolina-tar-heels,san-diego-state-aztecs,troy-trojans
bob-asmussen,2016,10,alabama-crimson-tide,michigan-wolverines,clemson-tigers,washington-huskies,louisville-cardinals,ohio-state-buckeyes,wisconsin-badgers,nebraska-cornhuskers,texas-am-aggies,florida-gators,oklahoma-sooners,baylor-bears,oklahoma-state-cowboys,western-michigan-broncos,west-virginia-mountaineers,auburn-tigers,colorado-buffaloes,north-carolina-tar-heels,virginia-tech-hokies,lsu-tigers,houston-cougars,penn-state-nittany-lions,utah-utes,washington-state-cougars,boise-state-broncos
brent-axe,2016,10,alabama-crimson-tide,michigan-wolverines,clemson-tigers,washington-huskies,louisville-cardinals,texas-am-aggies,ohio-state-buckeyes,wisconsin-badgers,auburn-tigers,florida-gators,nebraska-cornhuskers,oklahoma-sooners,baylor-bears,oklahoma-state-cowboys,west-virginia-mountaineers,western-michigan-broncos,boise-state-broncos,washington-state-cougars,utah-utes,virginia-tech-hokies,colorado-buffaloes,penn-state-nittany-lions,lsu-tigers,south-florida-bulls,north-carolina-tar-heels
brett-mcmurphy,2016,10,alabama-crimson-tide,clemson-tigers,michigan-wolverines,washington-huskies,louisville-cardinals,ohio-state-buckeyes,wisconsin-badgers,texas-am-aggies,nebraska-cornhuskers,auburn-tigers,oklahoma-sooners,florida-gators,west-virginia-mountaineers,colorado-buffaloes,utah-utes,lsu-tigers,western-michigan-broncos,washington-state-cougars,penn-state-nittany-lions,virginia-tech-hokies,north-carolina-tar-heels,baylor-bears,boise-state-broncos,oklahoma-state-cowboys,florida-state-seminoles
brian-howell,2016,10,alabama-crimson-tide,michigan-wolverines,washington-huskies,clemson-tigers,louisville-cardinals,ohio-state-buckeyes,texas-am-aggies,wisconsin-badgers,oklahoma-sooners,auburn-tigers,florida-gators,baylor-bears,nebraska-cornhuskers,north-carolina-tar-heels,penn-state-nittany-lions,florida-state-seminoles,oklahoma-state-cowboys,west-virginia-mountaineers,utah-utes,colorado-buffaloes,lsu-tigers,western-michigan-broncos,washington-state-cougars,usc-trojans,virginia-tech-hokies
chris-murray,2016,10,alabama-crimson-tide,clemson-tigers,michigan-wolverines,washington-huskies,louisville-cardinals,texas-am-aggies,ohio-state-buckeyes,wisconsin-badgers,nebraska-cornhuskers,florida-gators,auburn-tigers,oklahoma-sooners,baylor-bears,west-virginia-mountaineers,utah-utes,western-michigan-broncos,lsu-tigers,florida-state-seminoles,colorado-buffaloes,boise-state-broncos,virginia-tech-hokies,north-carolina-tar-heels,penn-state-nittany-lions,oklahoma-state-cowboys,houston-cougars
chuck-carlton,2016,10,alabama-crimson-tide,michigan-wolverines,clemson-tigers,washington-huskies,louisville-cardinals,ohio-state-buckeyes,texas-am-aggies,wisconsin-badgers,auburn-tigers,nebraska-cornhuskers,oklahoma-sooners,florida-gators,baylor-bears,oklahoma-state-cowboys,west-virginia-mountaineers,colorado-buffaloes,utah-utes,western-michigan-broncos,north-carolina-tar-heels,lsu-tigers,penn-state-nittany-lions,boise-state-broncos,virginia-tech-hokies,washington-state-cougars,san-diego-state-aztecs
dana-sulonen,2016,10,alabama-crimson-tide,michigan-wolverines,clemson-tigers,washington-huskies,louisville-cardinals,ohio-state-buckeyes,texas-am-aggies,wisconsin-badgers,auburn-tigers,florida-gators,oklahoma-sooners,nebraska-cornhuskers,florida-state-seminoles,baylor-bears,west-virginia-mountaineers,lsu-tigers,utah-utes,western-michigan-broncos,colorado-buffaloes,boise-state-broncos,north-carolina-tar-heels,virginia-tech-hokies,penn-state-nittany-lions,washington-state-cougars,oklahoma-state-cowboys
dave-southorn,2016,10,alabama-crimson-tide,clemson-tigers,michigan-wolverines,washington-huskies,louisville-cardinals,ohio-state-buckeyes,wisconsin-badgers,texas-am-aggies,florida-gators,nebraska-cornhuskers,oklahoma-sooners,auburn-tigers,baylor-bears,lsu-tigers,western-michigan-broncos,west-virginia-mountaineers,penn-state-nittany-lions,florida-state-seminoles,colorado-buffaloes,utah-utes,virginia-tech-hokies,boise-state-broncos,washington-state-cougars,oklahoma-state-cowboys,san-diego-state-aztecs
david-briggs,2016,10,alabama-crimson-tide,michigan-wolverines,washington-huskies,clemson-tigers,louisville-cardinals,texas-am-aggies,ohio-state-buckeyes,wisconsin-badgers,auburn-tigers,nebraska-cornhuskers,oklahoma-sooners,lsu-tigers,florida-gators,utah-utes,florida-state-seminoles,western-michigan-broncos,oklahoma-state-cowboys,west-virginia-mountaineers,baylor-bears,colorado-buffaloes,penn-state-nittany-lions,washington-state-cougars,boise-state-broncos,virginia-tech-hokies,north-carolina-tar-heels
ed-daigneault,2016,10,alabama-crimson-tide,clemson-tigers,michigan-wolverines,washington-huskies,louisville-cardinals,ohio-state-buckeyes,wisconsin-badgers,texas-am-aggies,florida-gators,nebraska-cornhuskers,oklahoma-sooners,auburn-tigers,north-carolina-tar-heels,baylor-bears,lsu-tigers,penn-state-nittany-lions,oklahoma-state-cowboys,west-virginia-mountaineers,virginia-tech-hokies,western-michigan-broncos,boise-state-broncos,colorado-buffaloes,utah-utes,washington-state-cougars,florida-state-seminoles
ed-johnson,2016,10,alabama-crimson-tide,clemson-tigers,louisville-cardinals,michigan-wolverines,washington-huskies,ohio-state-buckeyes,texas-am-aggies,wisconsin-badgers,auburn-tigers,lsu-tigers,florida-gators,nebraska-cornhuskers,florida-state-seminoles,oklahoma-sooners,oklahoma-state-cowboys,west-virginia-mountaineers,baylor-bears,utah-utes,virginia-tech-hokies,north-carolina-tar-heels,western-michigan-broncos,arkansas-razorbacks,tennessee-volunteers,houston-cougars,boise-state-broncos
eric-hansen,2016,10,alabama-crimson-tide,washington-huskies,michigan-wolverines,clemson-tigers,louisville-cardinals,ohio-state-buckeyes,wisconsin-badgers,texas-am-aggies,auburn-tigers,nebraska-cornhuskers,florida-gators,oklahoma-sooners,florida-state-seminoles,virginia-tech-hokies,western-michigan-broncos,penn-state-nittany-lions,houston-cougars,north-carolina-tar-heels,west-virginia-mountaineers,utah-utes,lsu-tigers,colorado-buffaloes,usc-trojans,oklahoma-state-cowboys,south-florida-bulls
ferd-lewis,2016,10,alabama-crimson-tide,michigan-wolverines,clemson-tigers,washington-huskies,texas-am-aggies,louisville-cardinals,ohio-state-buckeyes,wisconsin-badgers,florida-gators,nebraska-cornhuskers,auburn-tigers,oklahoma-sooners,baylor-bears,lsu-tigers,west-virginia-mountaineers,western-michigan-broncos,north-carolina-tar-heels,florida-state-seminoles,colorado-buffaloes,utah-utes,penn-state-nittany-lions,virginia-tech-hokies,oklahoma-state-cowboys,boise-state-broncos,washington-state-cougars
garland-gillen,2016,10,alabama-crimson-tide,michigan-wolverines,clemson-tigers,washington-huskies,texas-am-aggies,louisville-cardinals,ohio-state-buckeyes,wisconsin-badgers,nebraska-cornhuskers,florida-gators,oklahoma-sooners,auburn-tigers,lsu-tigers,baylor-bears,western-michigan-broncos,oklahoma-state-cowboys,west-virginia-mountaineers,colorado-buffaloes,utah-utes,penn-state-nittany-lions,virginia-tech-hokies,north-carolina-tar-heels,florida-state-seminoles,san-diego-state-aztecs,wyoming-cowboys
garry-smits,2016,10,alabama-crimson-tide,washington-huskies,michigan-wolverines,clemson-tigers,louisville-cardinals,ohio-state-buckeyes,wisconsin-badgers,oklahoma-sooners,auburn-tigers,florida-gators,nebraska-cornhuskers,texas-am-aggies,baylor-bears,penn-state-nittany-lions,west-virginia-mountaineers,virginia-tech-hokies,north-carolina-tar-heels,western-michigan-broncos,boise-state-broncos,houston-cougars,san-diego-state-aztecs,lsu-tigers,utah-utes,florida-state-seminoles,south-florida-bulls
gary-horowitz,2016,10,alabama-crimson-tide,michigan-wolverines,clemson-tigers,washington-huskies,louisville-cardinals,ohio-state-buckeyes,wisconsin-badgers,florida-gators,texas-am-aggies,nebraska-cornhuskers,auburn-tigers,lsu-tigers,baylor-bears,west-virginia-mountaineers,oklahoma-sooners,florida-state-seminoles,colorado-buffaloes,penn-state-nittany-lions,utah-utes,western-michigan-broncos,oklahoma-state-cowboys,boise-state-broncos,north-carolina-tar-heels,virginia-tech-hokies,washington-state-cougars
graham-watson,2016,10,alabama-crimson-tide,michigan-wolverines,washington-huskies,clemson-tigers,louisville-cardinals,ohio-state-buckeyes,texas-am-aggies,wisconsin-badgers,nebraska-cornhuskers,florida-gators,auburn-tigers,west-virginia-mountaineers,baylor-bears,oklahoma-sooners,utah-utes,lsu-tigers,western-michigan-broncos,north-carolina-tar-heels,colorado-buffaloes,penn-state-nittany-lions,florida-state-seminoles,boise-state-broncos,virginia-tech-hokies,oklahoma-state-cowboys,tennessee-volunteers
jason-galloway,2016,10,alabama-crimson-tide,michigan-wolverines,washington-huskies,clemson-tigers,texas-am-aggies,louisville-cardinals,ohio-state-buckeyes,wisconsin-badgers,auburn-tigers,nebraska-cornhuskers,lsu-tigers,florida-gators,western-michigan-broncos,baylor-bears,oklahoma-state-cowboys,west-virginia-mountaineers,oklahoma-sooners,virginia-tech-hokies,colorado-buffaloes,utah-utes,florida-state-seminoles,penn-state-nittany-lions,tennessee-volunteers,north-carolina-tar-heels,washington-state-cougars
jeff-miller,2016,10,alabama-crimson-tide,michigan-wolverines,clemson-tigers,washington-huskies,louisville-cardinals,texas-am-aggies,ohio-state-buckeyes,wisconsin-badgers,nebraska-cornhuskers,auburn-tigers,oklahoma-sooners,north-carolina-tar-heels,florida-gators,florida-state-seminoles,baylor-bears,western-michigan-broncos,utah-utes,lsu-tigers,usc-trojans,colorado-buffaloes,penn-state-nittany-lions,west-virginia-mountaineers,houston-cougars,boise-state-broncos,san-diego-state-aztecs
jerry-dipaola,2016,10,alabama-crimson-tide,clemson-tigers,michigan-wolverines,washington-huskies,ohio-state-buckeyes,texas-am-aggies,louisville-cardinals,wisconsin-badgers,baylor-bears,nebraska-cornhuskers,florida-gators,auburn-tigers,utah-utes,oklahoma-state-cowboys,oklahoma-sooners,florida-state-seminoles,west-virginia-mountaineers,lsu-tigers,north-carolina-tar-heels,penn-state-nittany-lions,virginia-tech-hokies,western-michigan-broncos,colorado-buffaloes,wyoming-cowboys,boise-state-broncos
jimmy-burch,2016,10,alabama-crimson-tide,michigan-wolverines,clemson-tigers,washington-huskies,louisville-cardinals,ohio-state-buckeyes,texas-am-aggies,florida-gators,wisconsin-badgers,nebraska-cornhuskers,auburn-tigers,oklahoma-sooners,north-carolina-tar-heels,west-virginia-mountaineers,baylor-bears,utah-utes,western-michigan-broncos,colorado-buffaloes,lsu-tigers,oklahoma-state-cowboys,penn-state-nittany-lions,virginia-tech-hokies,florida-state-seminoles,washington-state-cougars,south-florida-bulls
joe-dubin,2016,10,alabama-crimson-tide,michigan-wolverines,clemson-tigers,washington-huskies,louisville-cardinals,ohio-state-buckeyes,texas-am-aggies,wisconsin-badgers,florida-gators,nebraska-cornhuskers,auburn-tigers,baylor-bears,oklahoma-sooners,lsu-tigers,north-carolina-tar-heels,penn-state-nittany-lions,colorado-buffaloes,western-michigan-broncos,virginia-tech-hokies,oklahoma-state-cowboys,utah-utes,florida-state-seminoles,washington-state-cougars,west-virginia-mountaineers,boise-state-broncos
joe-walljasper,2016,10,alabama-crimson-tide,washington-huskies,michigan-wolverines,clemson-tigers,louisville-cardinals,ohio-state-buckeyes,wisconsin-badgers,texas-am-aggies,nebraska-cornhuskers,lsu-tigers,auburn-tigers,florida-gators,west-virginia-mountaineers,oklahoma-sooners,florida-state-seminoles,baylor-bears,utah-utes,north-carolina-tar-heels,virginia-tech-hokies,oklahoma-state-cowboys,western-michigan-broncos,penn-state-nittany-lions,washington-state-cougars,boise-state-broncos,south-florida-bulls
joey-knight,2016,10,alabama-crimson-tide,michigan-wolverines,clemson-tigers,washington-huskies,louisville-cardinals,ohio-state-buckeyes,wisconsin-badgers,texas-am-aggies,auburn-tigers,oklahoma-sooners,nebraska-cornhuskers,baylor-bears,florida-gators,west-virginia-mountaineers,utah-utes,virginia-tech-hokies,lsu-tigers,colorado-buffaloes,penn-state-nittany-lions,oklahoma-state-cowboys,north-carolina-tar-heels,florida-state-seminoles,western-michigan-broncos,washington-state-cougars,boise-state-broncos
john-clay,2016,10,alabama-crimson-tide,michigan-wolverines,washington-huskies,clemson-tigers,louisville-cardinals,ohio-state-buckeyes,wisconsin-badgers,texas-am-aggies,florida-gators,auburn-tigers,nebraska-cornhuskers,oklahoma-sooners,florida-state-seminoles,west-virginia-mountaineers,baylor-bears,utah-utes,lsu-tigers,washington-state-cougars,boise-state-broncos,north-carolina-tar-heels,western-michigan-broncos,penn-state-nittany-lions,oklahoma-state-cowboys,virginia-tech-hokies,colorado-buffaloes
john-shinn,2016,10,alabama-crimson-tide,michigan-wolverines,clemson-tigers,washington-huskies,louisville-cardinals,ohio-state-buckeyes,texas-am-aggies,wisconsin-badgers,florida-gators,nebraska-cornhuskers,auburn-tigers,lsu-tigers,oklahoma-sooners,penn-state-nittany-lions,utah-utes,oklahoma-state-cowboys,west-virginia-mountaineers,baylor-bears,virginia-tech-hokies,north-carolina-tar-heels,washington-state-cougars,colorado-buffaloes,western-michigan-broncos,boise-state-broncos,houston-cougars
jon-wilner,2016,10,alabama-crimson-tide,clemson-tigers,michigan-wolverines,ohio-state-buckeyes,wisconsin-badgers,washington-huskies,louisville-cardinals,auburn-tigers,texas-am-aggies,oklahoma-sooners,florida-gators,nebraska-cornhuskers,florida-state-seminoles,colorado-buffaloes,houston-cougars,penn-state-nittany-lions,virginia-tech-hokies,utah-utes,north-carolina-tar-heels,oklahoma-state-cowboys,lsu-tigers,western-michigan-broncos,arkansas-razorbacks,west-virginia-mountaineers,washington-state-cougars
jonny-miller,2016,10,alabama-crimson-tide,michigan-wolverines,washington-huskies,clemson-tigers,louisville-cardinals,ohio-state-buckeyes,wisconsin-badgers,texas-am-aggies,florida-gators,oklahoma-sooners,auburn-tigers,north-carolina-tar-heels,colorado-buffaloes,houston-cougars,nebraska-cornhuskers,oklahoma-state-cowboys,utah-utes,florida-state-seminoles,west-virginia-mountaineers,baylor-bears,washington-state-cougars,western-michigan-broncos,lsu-tigers,boise-state-broncos,virginia-tech-hokies
josh-kendall,2016,10,alabama-crimson-tide,clemson-tigers,washington-huskies,michigan-wolverines,wisconsin-badgers,louisville-cardinals,texas-am-aggies,nebraska-cornhuskers,penn-state-nittany-lions,ohio-state-buckeyes,florida-state-seminoles,auburn-tigers,lsu-tigers,oklahoma-sooners,utah-utes,florida-gators,virginia-tech-hokies,north-carolina-tar-heels,western-michigan-broncos,colorado-buffaloes,usc-trojans,troy-trojans,tulsa-golden-hurricane,san-diego-state-aztecs,oklahoma-state-cowboys
keith-sargeant,2016,10,alabama-crimson-tide,michigan-wolverines,clemson-tigers,washington-huskies,louisville-cardinals,ohio-state-buckeyes,wisconsin-badgers,texas-am-aggies,nebraska-cornhuskers,florida-gators,auburn-tigers,western-michigan-broncos,oklahoma-sooners,baylor-bears,oklahoma-state-cowboys,west-virginia-mountaineers,penn-state-nittany-lions,lsu-tigers,virginia-tech-hokies,north-carolina-tar-heels,colorado-buffaloes,utah-utes,florida-state-seminoles,washington-state-cougars,south-florida-bulls
kirk-bohls,2016,10,alabama-crimson-tide,michigan-wolverines,clemson-tigers,washington-huskies,ohio-state-buckeyes,texas-am-aggies,louisville-cardinals,wisconsin-badgers,oklahoma-sooners,auburn-tigers,north-carolina-tar-heels,penn-state-nittany-lions,western-michigan-broncos,nebraska-cornhuskers,boise-state-broncos,baylor-bears,florida-state-seminoles,oklahoma-state-cowboys,west-virginia-mountaineers,florida-gators,virginia-tech-hokies,lsu-tigers,washington-state-cougars,south-florida-bulls,utah-utes
mandy-mitchell,2016,10,alabama-crimson-tide,clemson-tigers,michigan-wolverines,washington-huskies,louisville-cardinals,ohio-state-buckeyes,texas-am-aggies,wisconsin-badgers,florida-gators,oklahoma-sooners,auburn-tigers,nebraska-cornhuskers,west-virginia-mountaineers,virginia-tech-hokies,north-carolina-tar-heels,florida-state-seminoles,baylor-bears,oklahoma-state-cowboys,colorado-buffaloes,penn-state-nittany-lions,lsu-tigers,western-michigan-broncos,utah-utes,washington-state-cougars,boise-state-broncos
marc-weiszer,2016,10,alabama-crimson-tide,michigan-wolverines,clemson-tigers,washington-huskies,louisville-cardinals,ohio-state-buckeyes,texas-am-aggies,wisconsin-badgers,oklahoma-sooners,nebraska-cornhuskers,florida-gators,auburn-tigers,baylor-bears,lsu-tigers,florida-state-seminoles,utah-utes,west-virginia-mountaineers,north-carolina-tar-heels,western-michigan-broncos,penn-state-nittany-lions,colorado-buffaloes,virginia-tech-hokies,boise-state-broncos,oklahoma-state-cowboys,washington-state-cougars
marq-burnett,2016,10,alabama-crimson-tide,michigan-wolverines,washington-huskies,clemson-tigers,louisville-cardinals,ohio-state-buckeyes,texas-am-aggies,wisconsin-badgers,florida-gators,nebraska-cornhuskers,baylor-bears,west-virginia-mountaineers,auburn-tigers,oklahoma-sooners,lsu-tigers,western-michigan-broncos,virginia-tech-hokies,colorado-buffaloes,north-carolina-tar-heels,penn-state-nittany-lions,troy-trojans,utah-utes,oklahoma-state-cowboys,boise-state-broncos,florida-state-seminoles
matt-charboneau,2016,10,alabama-crimson-tide,clemson-tigers,michigan-wolverines,washington-huskies,louisville-cardinals,ohio-state-buckeyes,wisconsin-badgers,oklahoma-sooners,florida-gators,texas-am-aggies,lsu-tigers,baylor-bears,nebraska-cornhuskers,oklahoma-state-cowboys,florida-state-seminoles,auburn-tigers,western-michigan-broncos,west-virginia-mountaineers,colorado-buffaloes,utah-utes,north-carolina-tar-heels,boise-state-broncos,houston-cougars,penn-state-nittany-lions,virginia-tech-hokies
