aaron-mcmann,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,oklahoma-sooners,lsu-tigers,ohio-state-buckeyes,notre-dame-fighting-irish,florida-gators,texas-longhorns,auburn-tigers,michigan-wolverines,penn-state-nittany-lions,texas-am-aggies,utah-utes,ucf-knights,wisconsin-badgers,oregon-ducks,washington-state-cougars,washington-huskies,iowa-hawkeyes,michigan-state-spartans,usc-trojans,virginia-cavaliers,maryland-terrapins,boise-state-broncos
adam-zucker,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,oklahoma-sooners,ohio-state-buckeyes,lsu-tigers,utah-utes,notre-dame-fighting-irish,auburn-tigers,michigan-state-spartans,michigan-wolverines,penn-state-nittany-lions,oregon-ducks,florida-gators,iowa-hawkeyes,texas-am-aggies,texas-longhorns,wisconsin-badgers,north-carolina-tar-heels,usc-trojans,ucf-knights,maryland-terrapins,boise-state-broncos,washington-state-cougars,army-west-point-black-knights
alex-schiffer,2019,3,clemson-tigers,lsu-tigers,alabama-crimson-tide,oklahoma-sooners,georgia-bulldogs,ohio-state-buckeyes,notre-dame-fighting-irish,auburn-tigers,michigan-wolverines,texas-longhorns,florida-gators,penn-state-nittany-lions,utah-utes,texas-am-aggies,oregon-ducks,wisconsin-badgers,ucf-knights,michigan-state-spartans,iowa-hawkeyes,washington-state-cougars,washington-huskies,boise-state-broncos,iowa-state-cyclones,maryland-terrapins,usc-trojans
andy-greder,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,oklahoma-sooners,lsu-tigers,notre-dame-fighting-irish,auburn-tigers,ohio-state-buckeyes,texas-longhorns,oregon-ducks,florida-gators,texas-am-aggies,penn-state-nittany-lions,michigan-wolverines,utah-utes,iowa-hawkeyes,washington-state-cougars,michigan-state-spartans,wisconsin-badgers,ucf-knights,boise-state-broncos,army-west-point-black-knights,california-golden-bears,washington-huskies,mississippi-state-bulldogs
audrey-dahlgren,2019,3,clemson-tigers,alabama-crimson-tide,oklahoma-sooners,georgia-bulldogs,lsu-tigers,ohio-state-buckeyes,texas-longhorns,auburn-tigers,texas-am-aggies,florida-gators,michigan-state-spartans,utah-utes,notre-dame-fighting-irish,oregon-ducks,penn-state-nittany-lions,wisconsin-badgers,michigan-wolverines,washington-huskies,ucf-knights,iowa-hawkeyes,washington-state-cougars,maryland-terrapins,boise-state-broncos,syracuse-orange,minnesota-golden-gophers
bob-asmussen,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,lsu-tigers,oklahoma-sooners,florida-gators,auburn-tigers,notre-dame-fighting-irish,texas-longhorns,texas-am-aggies,ucf-knights,penn-state-nittany-lions,michigan-wolverines,oregon-ducks,utah-utes,michigan-state-spartans,iowa-hawkeyes,washington-state-cougars,wisconsin-badgers,usc-trojans,boise-state-broncos,mississippi-state-bulldogs,iowa-state-cyclones,army-west-point-black-knights
brett-mcmurphy,2019,3,clemson-tigers,georgia-bulldogs,alabama-crimson-tide,lsu-tigers,oklahoma-sooners,ohio-state-buckeyes,auburn-tigers,notre-dame-fighting-irish,utah-utes,penn-state-nittany-lions,florida-gators,texas-longhorns,texas-am-aggies,michigan-wolverines,wisconsin-badgers,california-golden-bears,oregon-ducks,mississippi-state-bulldogs,michigan-state-spartans,memphis-tigers,virginia-cavaliers,boise-state-broncos,iowa-hawkeyes,washington-state-cougars,ucf-knights
brian-howell,2019,3,clemson-tigers,alabama-crimson-tide,oklahoma-sooners,georgia-bulldogs,ohio-state-buckeyes,lsu-tigers,michigan-wolverines,notre-dame-fighting-irish,florida-gators,utah-utes,auburn-tigers,michigan-state-spartans,texas-longhorns,texas-am-aggies,oregon-ducks,ucf-knights,wisconsin-badgers,penn-state-nittany-lions,washington-huskies,washington-state-cougars,virginia-cavaliers,iowa-hawkeyes,iowa-state-cyclones,boise-state-broncos,maryland-terrapins
brooks-kubena,2019,3,clemson-tigers,alabama-crimson-tide,lsu-tigers,ohio-state-buckeyes,georgia-bulldogs,oklahoma-sooners,notre-dame-fighting-irish,utah-utes,auburn-tigers,washington-state-cougars,wisconsin-badgers,penn-state-nittany-lions,texas-longhorns,texas-am-aggies,michigan-wolverines,florida-gators,oregon-ducks,ucf-knights,michigan-state-spartans,washington-huskies,iowa-hawkeyes,iowa-state-cyclones,usc-trojans,oklahoma-state-cowboys,boise-state-broncos
bryce-miller,2019,3,clemson-tigers,alabama-crimson-tide,ohio-state-buckeyes,oklahoma-sooners,georgia-bulldogs,lsu-tigers,notre-dame-fighting-irish,penn-state-nittany-lions,texas-longhorns,florida-gators,texas-am-aggies,wisconsin-badgers,utah-utes,auburn-tigers,iowa-hawkeyes,ucf-knights,oregon-ducks,michigan-wolverines,maryland-terrapins,washington-state-cougars,michigan-state-spartans,mississippi-state-bulldogs,usc-trojans,iowa-state-cyclones,virginia-cavaliers
