Year,League,Removed-Players,RP-Ranking,Original-Players,Original-Rankings,New-Players,New-Rankings
2014,AL,"('Hernandez', 'Altuve')","(12, 13)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz', 'Donaldson', 'Cabrera', 'Gordon', 'Kluber')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Bautista', 'Cano', 'Donaldson', 'Cruz', 'Cabrera', 'Kluber', 'Gordon')","(1, 2, 3, 4, 6, 5, 8, 7, 9, 11, 10)"
2014,AL,"('Altuve', 'Jones')","(13, 14)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz', 'Donaldson', 'Cabrera', 'Gordon', 'Kluber')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Bautista', 'Cano', 'Donaldson', 'Cruz', 'Cabrera', 'Gordon', 'Kluber')","(1, 2, 3, 4, 6, 5, 8, 7, 9, 10, 11)"
2012,NL,"('Chapman', 'Phillips')","(12, 13)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright', 'Kimbrel', 'Ramirez', 'Bruce', 'Holliday')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche', 'Kimbrel', 'Ramirez', 'Bruce', 'Holliday')","(1, 2, 3, 4, 5, 7, 6, 8, 9, 10, 11)"
2012,NL,"('Chapman', 'Dickey')","(12, 14)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright', 'Kimbrel', 'Ramirez', 'Bruce', 'Holliday')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche', 'Kimbrel', 'Ramirez', 'Bruce', 'Holliday')","(1, 2, 3, 4, 5, 7, 6, 8, 9, 10, 11)"
2012,NL,"('Phillips', 'Dickey')","(13, 14)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright', 'Kimbrel', 'Ramirez', 'Bruce', 'Holliday')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche', 'Kimbrel', 'Ramirez', 'Bruce', 'Holliday')","(1, 2, 3, 4, 5, 7, 6, 8, 9, 10, 11)"
2014,AL,"('Hernandez', 'Jones')","(12, 14)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz', 'Donaldson', 'Cabrera', 'Gordon', 'Kluber')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Donaldson', 'Cruz', 'Cabrera', 'Kluber', 'Altuve')","(1, 2, 3, 4, 5, 6, 8, 7, 9, 11, 13)"
2023,NL,"('Harper', 'Snell')","(12, 13)","('AcunaJr', 'Betts', 'Freeman', 'Olson', 'Carroll', 'Soto', 'Riley', 'Arraez', 'Lindor', 'Bellinger', 'Contreras')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","('AcunaJr', 'Betts', 'Freeman', 'Olson', 'Carroll', 'Soto', 'Arraez', 'Riley', 'Lindor', 'Bellinger', 'Contreras')","(1, 2, 3, 4, 5, 6, 8, 7, 9, 10, 11)"
2023,NL,"('Harper', 'Kim')","(12, 14)","('AcunaJr', 'Betts', 'Freeman', 'Olson', 'Carroll', 'Soto', 'Riley', 'Arraez', 'Lindor', 'Bellinger', 'Contreras')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","('AcunaJr', 'Betts', 'Freeman', 'Olson', 'Carroll', 'Soto', 'Arraez', 'Riley', 'Lindor', 'Bellinger', 'Contreras')","(1, 2, 3, 4, 5, 6, 8, 7, 9, 10, 11)"
2013,AL,"('Scherzer', 'Encarnacion')","(12, 14)","('Cabrera', 'Trout', 'DavisC', 'Donaldson', 'Cano', 'Longoria', 'Beltre', 'Pedroia', 'Machado', 'Ortiz', 'Kipnis')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","('Cabrera', 'Trout', 'DavisC', 'Donaldson', 'Cano', 'Longoria', 'Pedroia', 'Beltre', 'Machado', 'Ortiz', 'Kipnis')","(1, 2, 3, 4, 5, 6, 8, 7, 9, 10, 11)"
2013,AL,"('Scherzer', 'Jones')","(12, 13)","('Cabrera', 'Trout', 'DavisC', 'Donaldson', 'Cano', 'Longoria', 'Beltre', 'Pedroia', 'Machado', 'Ortiz', 'Kipnis')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","('Cabrera', 'Trout', 'DavisC', 'Donaldson', 'Cano', 'Longoria', 'Pedroia', 'Beltre', 'Machado', 'Ortiz', 'Kipnis')","(1, 2, 3, 4, 5, 6, 8, 7, 9, 10, 11)"
