Year,League,Removed-Players,RP-Ranking,Original-Players,Original-Rankings,New-Players,New-Rankings
2014,AL,"('Altuve',)","(13,)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz', 'Donaldson', 'Cabrera', 'Gordon')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Bautista', 'Cano', 'Donaldson', 'Cruz', 'Cabrera', 'Kluber')","(1, 2, 3, 4, 6, 5, 8, 7, 9, 11)"
2012,NL,"('Holliday',)","(11,)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright', 'Kimbrel', 'Ramirez', 'Bruce')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche', 'Kimbrel', 'Ramirez', 'Bruce')","(1, 2, 3, 4, 5, 7, 6, 8, 9, 10)"
2012,NL,"('Chapman',)","(12,)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright', 'Kimbrel', 'Ramirez', 'Bruce')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche', 'Kimbrel', 'Ramirez', 'Bruce')","(1, 2, 3, 4, 5, 7, 6, 8, 9, 10)"
2012,NL,"('Phillips',)","(13,)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright', 'Kimbrel', 'Ramirez', 'Bruce')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche', 'Kimbrel', 'Ramirez', 'Bruce')","(1, 2, 3, 4, 5, 7, 6, 8, 9, 10)"
2012,NL,"('Dickey',)","(14,)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright', 'Kimbrel', 'Ramirez', 'Bruce')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche', 'Kimbrel', 'Ramirez', 'Bruce')","(1, 2, 3, 4, 5, 7, 6, 8, 9, 10)"
2023,NL,"('Harper',)","(12,)","('AcunaJr', 'Betts', 'Freeman', 'Olson', 'Carroll', 'Soto', 'Riley', 'Arraez', 'Lindor', 'Bellinger')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)","('AcunaJr', 'Betts', 'Freeman', 'Olson', 'Carroll', 'Soto', 'Arraez', 'Riley', 'Lindor', 'Bellinger')","(1, 2, 3, 4, 5, 6, 8, 7, 9, 10)"
2014,AL,"('Jones',)","(14,)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz', 'Donaldson', 'Cabrera', 'Gordon')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Donaldson', 'Cruz', 'Cabrera', 'Gordon')","(1, 2, 3, 4, 5, 6, 8, 7, 9, 10)"
2013,AL,"('Scherzer',)","(12,)","('Cabrera', 'Trout', 'DavisC', 'Donaldson', 'Cano', 'Longoria', 'Beltre', 'Pedroia', 'Machado', 'Ortiz')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)","('Cabrera', 'Trout', 'DavisC', 'Donaldson', 'Cano', 'Longoria', 'Pedroia', 'Beltre', 'Machado', 'Ortiz')","(1, 2, 3, 4, 5, 6, 8, 7, 9, 10)"
2014,AL,"('Kluber',)","(11,)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz', 'Donaldson', 'Cabrera', 'Gordon')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Donaldson', 'Cruz', 'Cabrera', 'Gordon')","(1, 2, 3, 4, 5, 6, 8, 7, 9, 10)"
2014,NL,"('Peralta',)","(14,)","('Kershaw', 'Stanton', 'McCutchen', 'Lucroy', 'Rendon', 'Posey', 'Gonzalez', 'Wainwright', 'Harrison', 'Rizzo')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)","('Kershaw', 'Stanton', 'McCutchen', 'Lucroy', 'Rendon', 'Posey', 'Gonzalez', 'Harrison', 'Wainwright', 'Rizzo')","(1, 2, 3, 4, 5, 6, 7, 9, 8, 10)"
