Year,League,Removed-Players,RP-Ranking,Original-Players,Original-Rankings,New-Players,New-Rankings
2020,AL,"('Rendon', 'Verdugo')","(10, 12)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber', 'Trout', 'Cruz', 'Anderson', 'Lowe', 'Voit')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout', 'Bieber', 'Cruz', 'Anderson', 'Lowe', 'Voit')","(1, 2, 3, 5, 4, 6, 7, 8, 9)"
2014,AL,"('Gordon', 'Altuve')","(10, 13)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz', 'Donaldson', 'Cabrera')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Bautista', 'Cano', 'Donaldson', 'Cruz', 'Cabrera')","(1, 2, 3, 4, 6, 5, 8, 7, 9)"
2014,AL,"('Kluber', 'Altuve')","(11, 13)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz', 'Donaldson', 'Cabrera')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Bautista', 'Cano', 'Donaldson', 'Cruz', 'Cabrera')","(1, 2, 3, 4, 6, 5, 8, 7, 9)"
2014,AL,"('Hernandez', 'Altuve')","(12, 13)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz', 'Donaldson', 'Cabrera')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Bautista', 'Cano', 'Donaldson', 'Cruz', 'Cabrera')","(1, 2, 3, 4, 6, 5, 8, 7, 9)"
2014,AL,"('Altuve', 'Jones')","(13, 14)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz', 'Donaldson', 'Cabrera')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Bautista', 'Cano', 'Donaldson', 'Cruz', 'Cabrera')","(1, 2, 3, 4, 6, 5, 8, 7, 9)"
2016,AL,"('Lindor', 'Seager')","(10, 12)","('Trout', 'Betts', 'Altuve', 'Donaldson', 'Machado', 'Ortiz', 'Beltre', 'Cano', 'Cabrera')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Trout', 'Betts', 'Altuve', 'Donaldson', 'Ortiz', 'Machado', 'Beltre', 'Cano', 'Cabrera')","(1, 2, 3, 4, 6, 5, 7, 8, 9)"
2016,AL,"('Lindor', 'Dozier')","(10, 13)","('Trout', 'Betts', 'Altuve', 'Donaldson', 'Machado', 'Ortiz', 'Beltre', 'Cano', 'Cabrera')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Trout', 'Betts', 'Altuve', 'Donaldson', 'Ortiz', 'Machado', 'Beltre', 'Cano', 'Cabrera')","(1, 2, 3, 4, 6, 5, 7, 8, 9)"
2022,AL,"('Verlander', 'Arraez')","(10, 13)","('Judge', 'Ohtani', 'Alvarez', 'Ramirez', 'Altuve', 'Gimenez', 'Rodriguez', 'Trout', 'Bogaerts')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Judge', 'Ohtani', 'Alvarez', 'Ramirez', 'Gimenez', 'Altuve', 'Rodriguez', 'Trout', 'Bogaerts')","(1, 2, 3, 4, 6, 5, 7, 8, 9)"
2012,NL,"('Holliday', 'Phillips')","(11, 13)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright', 'Kimbrel', 'Ramirez')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche', 'Kimbrel', 'Ramirez')","(1, 2, 3, 4, 5, 7, 6, 8, 9)"
2012,NL,"('Phillips', 'Dickey')","(13, 14)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright', 'Kimbrel', 'Ramirez')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche', 'Kimbrel', 'Ramirez')","(1, 2, 3, 4, 5, 7, 6, 8, 9)"
