Year,League,Removed-Players,RP-Ranking,Original-Players,Original-Rankings,New-Players,New-Rankings
2020,AL,"('Voit',)","(9,)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber', 'Trout', 'Cruz', 'Anderson', 'Lowe')","(1, 2, 3, 4, 5, 6, 7, 8)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout', 'Bieber', 'Cruz', 'Anderson', 'Lowe')","(1, 2, 3, 5, 4, 6, 7, 8)"
2014,AL,"('Altuve',)","(13,)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz', 'Donaldson')","(1, 2, 3, 4, 5, 6, 7, 8)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Bautista', 'Cano', 'Donaldson', 'Cruz')","(1, 2, 3, 4, 6, 5, 8, 7)"
2012,NL,"('Bruce',)","(10,)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright', 'Kimbrel')","(1, 2, 3, 4, 5, 6, 7, 8)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche', 'Kimbrel')","(1, 2, 3, 4, 5, 7, 6, 8)"
2012,NL,"('Holliday',)","(11,)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright', 'Kimbrel')","(1, 2, 3, 4, 5, 6, 7, 8)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche', 'Kimbrel')","(1, 2, 3, 4, 5, 7, 6, 8)"
2012,NL,"('Chapman',)","(12,)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright', 'Kimbrel')","(1, 2, 3, 4, 5, 6, 7, 8)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche', 'Kimbrel')","(1, 2, 3, 4, 5, 7, 6, 8)"
2012,NL,"('Phillips',)","(13,)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright', 'Kimbrel')","(1, 2, 3, 4, 5, 6, 7, 8)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche', 'Kimbrel')","(1, 2, 3, 4, 5, 7, 6, 8)"
2012,NL,"('Dickey',)","(14,)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright', 'Kimbrel')","(1, 2, 3, 4, 5, 6, 7, 8)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche', 'Kimbrel')","(1, 2, 3, 4, 5, 7, 6, 8)"
2014,AL,"('Kluber',)","(11,)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz', 'Donaldson')","(1, 2, 3, 4, 5, 6, 7, 8)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Donaldson', 'Cruz')","(1, 2, 3, 4, 5, 6, 8, 7)"
2014,AL,"('Jones',)","(14,)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz', 'Donaldson')","(1, 2, 3, 4, 5, 6, 7, 8)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Donaldson', 'Cruz')","(1, 2, 3, 4, 5, 6, 8, 7)"
2023,NL,"('Bellinger',)","(10,)","('AcunaJr', 'Betts', 'Freeman', 'Olson', 'Carroll', 'Soto', 'Riley', 'Arraez')","(1, 2, 3, 4, 5, 6, 7, 8)","('AcunaJr', 'Betts', 'Freeman', 'Olson', 'Carroll', 'Soto', 'Arraez', 'Riley')","(1, 2, 3, 4, 5, 6, 8, 7)"
2015,AL,"('Altuve',)","(10,)","('Donaldson', 'Trout', 'Cain', 'Machado', 'Keuchel', 'Cruz', 'Beltre', 'Bautista')","(1, 2, 3, 4, 5, 6, 7, 8)","('Donaldson', 'Trout', 'Cain', 'Machado', 'Keuchel', 'Cruz', 'Bautista', 'Beltre')","(1, 2, 3, 4, 5, 6, 8, 7)"
2023,NL,"('Harper',)","(12,)","('AcunaJr', 'Betts', 'Freeman', 'Olson', 'Carroll', 'Soto', 'Riley', 'Arraez')","(1, 2, 3, 4, 5, 6, 7, 8)","('AcunaJr', 'Betts', 'Freeman', 'Olson', 'Carroll', 'Soto', 'Arraez', 'Riley')","(1, 2, 3, 4, 5, 6, 8, 7)"
2013,AL,"('Scherzer',)","(12,)","('Cabrera', 'Trout', 'DavisC', 'Donaldson', 'Cano', 'Longoria', 'Beltre', 'Pedroia')","(1, 2, 3, 4, 5, 6, 7, 8)","('Cabrera', 'Trout', 'DavisC', 'Donaldson', 'Cano', 'Longoria', 'Pedroia', 'Beltre')","(1, 2, 3, 4, 5, 6, 8, 7)"
2014,NL,"('Rizzo',)","(10,)","('Kershaw', 'Stanton', 'McCutchen', 'Lucroy', 'Rendon', 'Posey', 'Gonzalez', 'Wainwright')","(1, 2, 3, 4, 5, 6, 7, 8)","('Kershaw', 'Stanton', 'McCutchen', 'Lucroy', 'Rendon', 'Posey', 'Gonzalez', 'Harrison')","(1, 2, 3, 4, 5, 6, 7, 9)"
2014,NL,"('Pence',)","(11,)","('Kershaw', 'Stanton', 'McCutchen', 'Lucroy', 'Rendon', 'Posey', 'Gonzalez', 'Wainwright')","(1, 2, 3, 4, 5, 6, 7, 8)","('Kershaw', 'Stanton', 'McCutchen', 'Lucroy', 'Rendon', 'Posey', 'Gonzalez', 'Harrison')","(1, 2, 3, 4, 5, 6, 7, 9)"
2014,NL,"('Peralta',)","(14,)","('Kershaw', 'Stanton', 'McCutchen', 'Lucroy', 'Rendon', 'Posey', 'Gonzalez', 'Wainwright')","(1, 2, 3, 4, 5, 6, 7, 8)","('Kershaw', 'Stanton', 'McCutchen', 'Lucroy', 'Rendon', 'Posey', 'Gonzalez', 'Harrison')","(1, 2, 3, 4, 5, 6, 7, 9)"
2012,AL,"('Rodney',)","(13,)","('Cabrera', 'Trout', 'Beltre', 'Cano', 'Hamilton', 'Jones', 'Jeter', 'Verlander')","(1, 2, 3, 4, 5, 6, 7, 8)","('Cabrera', 'Trout', 'Beltre', 'Cano', 'Hamilton', 'Jones', 'Jeter', 'Fielder')","(1, 2, 3, 4, 5, 6, 7, 9)"
2012,AL,"('Johnson',)","(14,)","('Cabrera', 'Trout', 'Beltre', 'Cano', 'Hamilton', 'Jones', 'Jeter', 'Verlander')","(1, 2, 3, 4, 5, 6, 7, 8)","('Cabrera', 'Trout', 'Beltre', 'Cano', 'Hamilton', 'Jones', 'Jeter', 'Fielder')","(1, 2, 3, 4, 5, 6, 7, 9)"
2012,AL,"('Encarnacion',)","(11,)","('Cabrera', 'Trout', 'Beltre', 'Cano', 'Hamilton', 'Jones', 'Jeter', 'Verlander')","(1, 2, 3, 4, 5, 6, 7, 8)","('Cabrera', 'Trout', 'Beltre', 'Cano', 'Hamilton', 'Jones', 'Jeter', 'Fielder')","(1, 2, 3, 4, 5, 6, 7, 9)"
