Year,League,Removed-Players,RP-Ranking,Original-Players,Original-Rankings,New-Players,New-Rankings
2020,AL,"('Voit',)","(9,)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber', 'Trout', 'Cruz', 'Anderson')","(1, 2, 3, 4, 5, 6, 7)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout', 'Bieber', 'Cruz', 'Anderson')","(1, 2, 3, 5, 4, 6, 7)"
2014,AL,"('Altuve',)","(13,)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz')","(1, 2, 3, 4, 5, 6, 7)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Bautista', 'Cano', 'Donaldson')","(1, 2, 3, 4, 6, 5, 8)"
2016,AL,"('Cano',)","(8,)","('Trout', 'Betts', 'Altuve', 'Donaldson', 'Machado', 'Ortiz', 'Beltre')","(1, 2, 3, 4, 5, 6, 7)","('Trout', 'Betts', 'Altuve', 'Donaldson', 'Ortiz', 'Machado', 'Beltre')","(1, 2, 3, 4, 6, 5, 7)"
2012,NL,"('Kimbrel',)","(8,)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(1, 2, 3, 4, 5, 6, 7)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(1, 2, 3, 4, 5, 7, 6)"
2012,NL,"('Bruce',)","(10,)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(1, 2, 3, 4, 5, 6, 7)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(1, 2, 3, 4, 5, 7, 6)"
2012,NL,"('Holliday',)","(11,)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(1, 2, 3, 4, 5, 6, 7)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(1, 2, 3, 4, 5, 7, 6)"
2012,NL,"('Chapman',)","(12,)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(1, 2, 3, 4, 5, 6, 7)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(1, 2, 3, 4, 5, 7, 6)"
2012,NL,"('Phillips',)","(13,)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(1, 2, 3, 4, 5, 6, 7)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(1, 2, 3, 4, 5, 7, 6)"
2012,NL,"('Dickey',)","(14,)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(1, 2, 3, 4, 5, 6, 7)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(1, 2, 3, 4, 5, 7, 6)"
2020,AL,"('Lowe',)","(8,)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber', 'Trout', 'Cruz', 'Anderson')","(1, 2, 3, 4, 5, 6, 7)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber', 'Trout', 'Anderson', 'Cruz')","(1, 2, 3, 4, 5, 7, 6)"
2013,AL,"('Scherzer',)","(12,)","('Cabrera', 'Trout', 'DavisC', 'Donaldson', 'Cano', 'Longoria', 'Beltre')","(1, 2, 3, 4, 5, 6, 7)","('Cabrera', 'Trout', 'DavisC', 'Donaldson', 'Cano', 'Longoria', 'Pedroia')","(1, 2, 3, 4, 5, 6, 8)"
2014,AL,"('Kluber',)","(11,)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz')","(1, 2, 3, 4, 5, 6, 7)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Donaldson')","(1, 2, 3, 4, 5, 6, 8)"
2014,AL,"('Jones',)","(14,)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz')","(1, 2, 3, 4, 5, 6, 7)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Donaldson')","(1, 2, 3, 4, 5, 6, 8)"
2015,AL,"('Altuve',)","(10,)","('Donaldson', 'Trout', 'Cain', 'Machado', 'Keuchel', 'Cruz', 'Beltre')","(1, 2, 3, 4, 5, 6, 7)","('Donaldson', 'Trout', 'Cain', 'Machado', 'Keuchel', 'Cruz', 'Bautista')","(1, 2, 3, 4, 5, 6, 8)"
2023,NL,"('Bellinger',)","(10,)","('AcunaJr', 'Betts', 'Freeman', 'Olson', 'Carroll', 'Soto', 'Riley')","(1, 2, 3, 4, 5, 6, 7)","('AcunaJr', 'Betts', 'Freeman', 'Olson', 'Carroll', 'Soto', 'Arraez')","(1, 2, 3, 4, 5, 6, 8)"
2023,NL,"('Harper',)","(12,)","('AcunaJr', 'Betts', 'Freeman', 'Olson', 'Carroll', 'Soto', 'Riley')","(1, 2, 3, 4, 5, 6, 7)","('AcunaJr', 'Betts', 'Freeman', 'Olson', 'Carroll', 'Soto', 'Arraez')","(1, 2, 3, 4, 5, 6, 8)"
