Year,League,Removed-Players,RP-Ranking,Original-Players,Original-Rankings,New-Players,New-Rankings
2020,AL,"('Cruz', 'Ryu')","(6, 14)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber', 'Trout')","(1, 2, 3, 4, 5)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout', 'Bieber')","(1, 2, 3, 5, 4)"
2020,AL,"('Lowe', 'Verdugo')","(8, 12)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber', 'Trout')","(1, 2, 3, 4, 5)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout', 'Bieber')","(1, 2, 3, 5, 4)"
2020,AL,"('Anderson', 'Verdugo')","(7, 12)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber', 'Trout')","(1, 2, 3, 4, 5)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout', 'Bieber')","(1, 2, 3, 5, 4)"
2020,AL,"('Anderson', 'Hernandez')","(7, 11)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber', 'Trout')","(1, 2, 3, 4, 5)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout', 'Bieber')","(1, 2, 3, 5, 4)"
2020,AL,"('Anderson', 'Rendon')","(7, 10)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber', 'Trout')","(1, 2, 3, 4, 5)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout', 'Bieber')","(1, 2, 3, 5, 4)"
2020,AL,"('Anderson', 'Voit')","(7, 9)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber', 'Trout')","(1, 2, 3, 4, 5)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout', 'Bieber')","(1, 2, 3, 5, 4)"
2020,AL,"('Anderson', 'Lowe')","(7, 8)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber', 'Trout')","(1, 2, 3, 4, 5)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout', 'Bieber')","(1, 2, 3, 5, 4)"
2020,AL,"('Lowe', 'Voit')","(8, 9)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber', 'Trout')","(1, 2, 3, 4, 5)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout', 'Bieber')","(1, 2, 3, 5, 4)"
2020,AL,"('Cruz', 'Hendriks')","(6, 13)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber', 'Trout')","(1, 2, 3, 4, 5)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout', 'Bieber')","(1, 2, 3, 5, 4)"
2020,AL,"('Cruz', 'Verdugo')","(6, 12)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber', 'Trout')","(1, 2, 3, 4, 5)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout', 'Bieber')","(1, 2, 3, 5, 4)"
2020,AL,"('Cruz', 'Hernandez')","(6, 11)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber', 'Trout')","(1, 2, 3, 4, 5)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout', 'Bieber')","(1, 2, 3, 5, 4)"
2020,AL,"('Cruz', 'Rendon')","(6, 10)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber', 'Trout')","(1, 2, 3, 4, 5)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout', 'Bieber')","(1, 2, 3, 5, 4)"
2020,AL,"('Cruz', 'Voit')","(6, 9)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber', 'Trout')","(1, 2, 3, 4, 5)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout', 'Bieber')","(1, 2, 3, 5, 4)"
