Year,League,Removed-Players,RP-Ranking,Original-Players,Original-Rankings,New-Players,New-Rankings
2017,NL,"('Blackmon', 'Rendon')","(5, 6)","('Stanton', 'Votto', 'Goldschmidt', 'Arenado')","(1, 2, 3, 4)","('Votto', 'Stanton', 'Goldschmidt', 'Arenado')","(2, 1, 3, 4)"
2017,NL,"('Blackmon', 'Bellinger')","(5, 9)","('Stanton', 'Votto', 'Goldschmidt', 'Arenado')","(1, 2, 3, 4)","('Votto', 'Stanton', 'Goldschmidt', 'Arenado')","(2, 1, 3, 4)"
2017,NL,"('Blackmon', 'Scherzer')","(5, 10)","('Stanton', 'Votto', 'Goldschmidt', 'Arenado')","(1, 2, 3, 4)","('Votto', 'Stanton', 'Goldschmidt', 'Arenado')","(2, 1, 3, 4)"
2017,NL,"('Blackmon', 'Pham')","(5, 11)","('Stanton', 'Votto', 'Goldschmidt', 'Arenado')","(1, 2, 3, 4)","('Votto', 'Stanton', 'Goldschmidt', 'Arenado')","(2, 1, 3, 4)"
2017,NL,"('Blackmon', 'Harper')","(5, 12)","('Stanton', 'Votto', 'Goldschmidt', 'Arenado')","(1, 2, 3, 4)","('Votto', 'Stanton', 'Goldschmidt', 'Arenado')","(2, 1, 3, 4)"
2017,NL,"('Blackmon', 'Rizzo')","(5, 13)","('Stanton', 'Votto', 'Goldschmidt', 'Arenado')","(1, 2, 3, 4)","('Votto', 'Stanton', 'Goldschmidt', 'Arenado')","(2, 1, 3, 4)"
2017,NL,"('Blackmon', 'Martinez')","(5, 14)","('Stanton', 'Votto', 'Goldschmidt', 'Arenado')","(1, 2, 3, 4)","('Votto', 'Stanton', 'Goldschmidt', 'Arenado')","(2, 1, 3, 4)"
2017,NL,"('Blackmon', 'Turner')","(5, 8)","('Stanton', 'Votto', 'Goldschmidt', 'Arenado')","(1, 2, 3, 4)","('Votto', 'Stanton', 'Goldschmidt', 'Arenado')","(2, 1, 3, 4)"
2020,AL,"('Lowe', 'Verdugo')","(8, 12)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber')","(1, 2, 3, 4)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout')","(1, 2, 3, 5)"
2020,AL,"('Anderson', 'Ryu')","(7, 14)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber')","(1, 2, 3, 4)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout')","(1, 2, 3, 5)"
2020,AL,"('Lowe', 'Voit')","(8, 9)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber')","(1, 2, 3, 4)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout')","(1, 2, 3, 5)"
2020,AL,"('Lowe', 'Rendon')","(8, 10)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber')","(1, 2, 3, 4)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout')","(1, 2, 3, 5)"
2020,AL,"('Voit', 'Hendriks')","(9, 13)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber')","(1, 2, 3, 4)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout')","(1, 2, 3, 5)"
2020,AL,"('Voit', 'Rendon')","(9, 10)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber')","(1, 2, 3, 4)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout')","(1, 2, 3, 5)"
2020,AL,"('Voit', 'Hernandez')","(9, 11)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber')","(1, 2, 3, 4)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout')","(1, 2, 3, 5)"
2020,AL,"('Voit', 'Verdugo')","(9, 12)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber')","(1, 2, 3, 4)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout')","(1, 2, 3, 5)"
2020,AL,"('Anderson', 'Verdugo')","(7, 12)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber')","(1, 2, 3, 4)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout')","(1, 2, 3, 5)"
2020,AL,"('Voit', 'Ryu')","(9, 14)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber')","(1, 2, 3, 4)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout')","(1, 2, 3, 5)"
2020,AL,"('Anderson', 'Hendriks')","(7, 13)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber')","(1, 2, 3, 4)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout')","(1, 2, 3, 5)"
2020,AL,"('Anderson', 'Lowe')","(7, 8)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber')","(1, 2, 3, 4)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout')","(1, 2, 3, 5)"
2020,AL,"('Anderson', 'Hernandez')","(7, 11)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber')","(1, 2, 3, 4)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout')","(1, 2, 3, 5)"
2020,AL,"('Anderson', 'Rendon')","(7, 10)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber')","(1, 2, 3, 4)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout')","(1, 2, 3, 5)"
2020,AL,"('Anderson', 'Voit')","(7, 9)","('Abreu', 'Ramirez', 'LeMahieu', 'Bieber')","(1, 2, 3, 4)","('Abreu', 'Ramirez', 'LeMahieu', 'Trout')","(1, 2, 3, 5)"
