`Year,League,Removed-Players,RP-Ranking,Original-Range,New-Ranking,New-Range,Original-Ranking
2017,NL,"('Goldschmidt', 'Arenado')","(3, 4)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Goldschmidt', 'Blackmon')","(3, 5)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Goldschmidt', 'Rendon')","(3, 6)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Goldschmidt', 'Turner')","(3, 8)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Goldschmidt', 'Bellinger')","(3, 9)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Goldschmidt', 'Scherzer')","(3, 10)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Goldschmidt', 'Pham')","(3, 11)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Goldschmidt', 'Harper')","(3, 12)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Goldschmidt', 'Rizzo')","(3, 13)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Goldschmidt', 'Martinez')","(3, 14)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Goldschmidt', 'Ozuna')","(3, 15)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Goldschmidt', 'Jansen')","(3, 16)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Goldschmidt', 'Seager')","(3, 17)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Goldschmidt', 'Kershaw')","(3, 18)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Goldschmidt', 'Murphy')","(3, 19)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Goldschmidt', 'Zimmerman')","(3, 20)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Goldschmidt', 'Greinke')","(3, 21)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Goldschmidt', 'Bradley')","(3, 22)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Arenado', 'Blackmon')","(4, 5)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Blackmon', 'Rendon')","(5, 6)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Blackmon', 'Turner')","(5, 8)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Blackmon', 'Bellinger')","(5, 9)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Blackmon', 'Scherzer')","(5, 10)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Blackmon', 'Pham')","(5, 11)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Blackmon', 'Harper')","(5, 12)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Blackmon', 'Rizzo')","(5, 13)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Blackmon', 'Martinez')","(5, 14)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Blackmon', 'Ozuna')","(5, 15)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Blackmon', 'Jansen')","(5, 16)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Blackmon', 'Seager')","(5, 17)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Blackmon', 'Kershaw')","(5, 18)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Blackmon', 'Murphy')","(5, 19)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Blackmon', 'Zimmerman')","(5, 20)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Blackmon', 'Greinke')","(5, 21)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Blackmon', 'Bradley')","(5, 22)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
