Year,League,Removed-Player,RP-Ranking,Official-Range-2-to-3,New-Ranking,New-Range-2-to-3,Original-Ranking
2012,AL,Cabrera,1,"('Trout', 'Beltre')","(2, 3)","('Beltre', 'Cano')","(3, 4)"
2012,NL,Posey,1,"('Braun', 'McCutchen')","(2, 3)","('McCutchen', 'Molina')","(3, 4)"
2013,AL,Cabrera,1,"('Trout', 'DavisC')","(2, 3)","('DavisC', 'Donaldson')","(3, 4)"
2013,NL,McCutchen,1,"('Goldschmidt', 'Molina')","(2, 3)","('Molina', 'Carpenter')","(3, 4)"
2014,AL,Trout,1,"('Martinez', 'Brantley')","(2, 3)","('Brantley', 'Abreu')","(3, 4)"
2014,NL,Kershaw,1,"('Stanton', 'McCutchen')","(2, 3)","('McCutchen', 'Lucroy')","(3, 4)"
2015,AL,Donaldson,1,"('Trout', 'Cain')","(2, 3)","('Cain', 'Machado')","(3, 4)"
2015,NL,Harper,1,"('Goldschmidt', 'Votto')","(2, 3)","('Votto', 'Rizzo')","(3, 4)"
2016,AL,Trout,1,"('Betts', 'Altuve')","(2, 3)","('Altuve', 'Donaldson')","(3, 4)"
2016,NL,Bryant,1,"('Murphy', 'Seager')","(2, 3)","('Seager', 'Rizzo')","(3, 4)"
2017,AL,Altuve,1,"('Judge', 'Ramirez')","(2, 3)","('Ramirez', 'Trout')","(3, 4)"
2017,NL,Stanton,1,"('Votto', 'Goldschmidt')","(2, 3)","('Goldschmidt', 'Arenado')","(3, 4)"
2018,AL,Betts,1,"('Trout', 'Ramirez')","(2, 3)","('Ramirez', 'Martinez')","(3, 4)"
2018,NL,Yelich,1,"('Baez', 'Arenado')","(2, 3)","('Arenado', 'Freeman')","(3, 4)"
2019,AL,Trout,1,"('Bregman', 'Semien')","(2, 3)","('Semien', 'LeMahieu')","(3, 4)"
2019,NL,Bellinger,1,"('Yelich', 'Rendon')","(2, 3)","('Rendon', 'Marte')","(3, 4)"
2020,AL,Abreu,1,"('Ramirez', 'LeMahieu')","(2, 3)","('LeMahieu', 'Bieber')","(3, 4)"
2020,NL,Freeman,1,"('Betts', 'Machado')","(2, 3)","('Machado', 'Tatis')","(3, 4)"
2021,AL,Ohtani,1,"('GuerreroJr', 'Semien')","(2, 3)","('Semien', 'Judge')","(3, 4)"
2021,NL,Harper,1,"('Soto', 'Tatis')","(2, 3)","('Tatis', 'Crawford')","(3, 4)"
2022,AL,Judge,1,"('Ohtani', 'Alvarez')","(2, 3)","('Alvarez', 'Ramirez')","(3, 4)"
2022,NL,Goldschmidt,1,"('Machado', 'Arenado')","(2, 3)","('Arenado', 'Freeman')","(3, 4)"
2023,AL,Ohtani,1,"('Seager', 'Semien')","(2, 3)","('Semien', 'Rodriguez')","(3, 4)"
2023,NL,AcunaJr,1,"('Betts', 'Freeman')","(2, 3)","('Freeman', 'Olson')","(3, 4)"
