Year,League,Removed-Players,RP-Ranking,Original-Range,New-Ranking,New-Range,Original-Ranking
2012,NL,"('Posey', 'Braun')","(1, 2)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(1, 2, 3, 5, 4)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Kimbrel')","(1, 8)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Ramirez')","(1, 9)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Bruce')","(1, 10)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Holliday')","(1, 11)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Chapman')","(1, 12)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Phillips')","(1, 13)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Dickey')","(1, 14)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Votto')","(1, 15)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Kershaw')","(1, 16)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Desmond')","(1, 17)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Bourn')","(1, 18)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Craig')","(1, 19)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Medlen')","(1, 20)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Soriano')","(1, 21)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Gonzalez')","(1, 22)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Prado')","(1, 23)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Stanton')","(1, 24)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Zimmerman')","(1, 25)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Hill')","(1, 26)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Beltran')","(1, 27)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Ruiz')","(1, 28)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Heyward')","(1, 29)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Harper')","(1, 30)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Cueto')","(1, 31)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Pence')","(1, 32)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Montero')","(1, 33)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Pagan')","(1, 34)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Posey', 'Jones')","(1, 35)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Braun', 'Kimbrel')","(2, 8)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Braun', 'Ramirez')","(2, 9)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Braun', 'Bruce')","(2, 10)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Braun', 'Holliday')","(2, 11)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Braun', 'Chapman')","(2, 12)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Braun', 'Phillips')","(2, 13)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Braun', 'Dickey')","(2, 14)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Braun', 'Votto')","(2, 15)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Braun', 'Kershaw')","(2, 16)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
