Year,League,Removed-Players,RP-Ranking,Original-Players,Original-Rankings,New-Players,New-Rankings
2022,NL,"('Goldschmidt', 'Urias')","(1, 14)","('Arenado', 'Freeman', 'Betts', 'Riley', 'Realmuto')","(3, 4, 5, 6, 7)","('Freeman', 'Arenado', 'Betts', 'Riley', 'Realmuto')","(4, 3, 5, 6, 7)"
2022,NL,"('Goldschmidt', 'HarrisII')","(1, 13)","('Arenado', 'Freeman', 'Betts', 'Riley', 'Realmuto')","(3, 4, 5, 6, 7)","('Freeman', 'Arenado', 'Betts', 'Riley', 'Realmuto')","(4, 3, 5, 6, 7)"
2022,NL,"('Goldschmidt', 'Swanson')","(1, 12)","('Arenado', 'Freeman', 'Betts', 'Riley', 'Realmuto')","(3, 4, 5, 6, 7)","('Freeman', 'Arenado', 'Betts', 'Riley', 'Realmuto')","(4, 3, 5, 6, 7)"
2022,NL,"('Goldschmidt', 'Turner')","(1, 11)","('Arenado', 'Freeman', 'Betts', 'Riley', 'Realmuto')","(3, 4, 5, 6, 7)","('Freeman', 'Arenado', 'Betts', 'Riley', 'Realmuto')","(4, 3, 5, 6, 7)"
2022,NL,"('Goldschmidt', 'Alcantara')","(1, 10)","('Arenado', 'Freeman', 'Betts', 'Riley', 'Realmuto')","(3, 4, 5, 6, 7)","('Freeman', 'Arenado', 'Betts', 'Riley', 'Realmuto')","(4, 3, 5, 6, 7)"
2022,NL,"('Goldschmidt', 'Lindor')","(1, 9)","('Arenado', 'Freeman', 'Betts', 'Riley', 'Realmuto')","(3, 4, 5, 6, 7)","('Freeman', 'Arenado', 'Betts', 'Riley', 'Realmuto')","(4, 3, 5, 6, 7)"
2022,NL,"('Goldschmidt', 'Alonso')","(1, 8)","('Arenado', 'Freeman', 'Betts', 'Riley', 'Realmuto')","(3, 4, 5, 6, 7)","('Freeman', 'Arenado', 'Betts', 'Riley', 'Realmuto')","(4, 3, 5, 6, 7)"
2022,NL,"('Goldschmidt', 'Machado')","(1, 2)","('Arenado', 'Freeman', 'Betts', 'Riley', 'Realmuto')","(3, 4, 5, 6, 7)","('Freeman', 'Arenado', 'Betts', 'Riley', 'Realmuto')","(4, 3, 5, 6, 7)"
2020,AL,"('Ramirez', 'Lowe')","(2, 8)","('LeMahieu', 'Bieber', 'Trout', 'Cruz', 'Anderson')","(3, 4, 5, 6, 7)","('LeMahieu', 'Trout', 'Bieber', 'Anderson', 'Cruz')","(3, 5, 4, 7, 6)"
2020,AL,"('Abreu', 'Lowe')","(1, 8)","('LeMahieu', 'Bieber', 'Trout', 'Cruz', 'Anderson')","(3, 4, 5, 6, 7)","('LeMahieu', 'Trout', 'Bieber', 'Anderson', 'Cruz')","(3, 5, 4, 7, 6)"
