Year,League,Removed-Players,RP-Ranking,Original-Players,Original-Rankings,New-Players,New-Rankings
2022,NL,"('Goldschmidt',)","(1,)","('Arenado', 'Freeman', 'Realmuto')","(3, 4, 7)","('Freeman', 'Arenado', 'Realmuto')","(4, 3, 7)"
2020,AL,"('Voit',)","(9,)","('LeMahieu', 'Bieber', 'Anderson')","(3, 4, 7)","('LeMahieu', 'Trout', 'Anderson')","(3, 5, 7)"
2020,AL,"('Cruz',)","(6,)","('LeMahieu', 'Bieber', 'Anderson')","(3, 4, 7)","('LeMahieu', 'Trout', 'Anderson')","(3, 5, 7)"
2020,AL,"('Ramirez',)","(2,)","('LeMahieu', 'Bieber', 'Anderson')","(3, 4, 7)","('LeMahieu', 'Trout', 'Anderson')","(3, 5, 7)"
2020,AL,"('Abreu',)","(1,)","('LeMahieu', 'Bieber', 'Anderson')","(3, 4, 7)","('LeMahieu', 'Trout', 'Anderson')","(3, 5, 7)"
2014,AL,"('Kluber',)","(11,)","('Brantley', 'Abreu', 'Cruz')","(3, 4, 7)","('Brantley', 'Abreu', 'Donaldson')","(3, 4, 8)"
2014,AL,"('Altuve',)","(13,)","('Brantley', 'Abreu', 'Cruz')","(3, 4, 7)","('Brantley', 'Abreu', 'Donaldson')","(3, 4, 8)"
2023,NL,"('Bellinger',)","(10,)","('Freeman', 'Olson', 'Riley')","(3, 4, 7)","('Freeman', 'Olson', 'Arraez')","(3, 4, 8)"
2023,NL,"('Carroll',)","(5,)","('Freeman', 'Olson', 'Riley')","(3, 4, 7)","('Freeman', 'Olson', 'Arraez')","(3, 4, 8)"
2015,AL,"('Altuve',)","(10,)","('Cain', 'Machado', 'Beltre')","(3, 4, 7)","('Cain', 'Machado', 'Bautista')","(3, 4, 8)"
2015,AL,"('Cruz',)","(6,)","('Cain', 'Machado', 'Beltre')","(3, 4, 7)","('Cain', 'Machado', 'Bautista')","(3, 4, 8)"
2014,AL,"('Jones',)","(14,)","('Brantley', 'Abreu', 'Cruz')","(3, 4, 7)","('Brantley', 'Abreu', 'Donaldson')","(3, 4, 8)"
2023,NL,"('Harper',)","(12,)","('Freeman', 'Olson', 'Riley')","(3, 4, 7)","('Freeman', 'Olson', 'Arraez')","(3, 4, 8)"
2014,AL,"('Bautista',)","(6,)","('Brantley', 'Abreu', 'Cruz')","(3, 4, 7)","('Brantley', 'Abreu', 'Donaldson')","(3, 4, 8)"
2014,AL,"('Cano',)","(5,)","('Brantley', 'Abreu', 'Cruz')","(3, 4, 7)","('Brantley', 'Abreu', 'Donaldson')","(3, 4, 8)"
2014,AL,"('Martinez',)","(2,)","('Brantley', 'Abreu', 'Cruz')","(3, 4, 7)","('Brantley', 'Abreu', 'Donaldson')","(3, 4, 8)"
2014,AL,"('Trout',)","(1,)","('Brantley', 'Abreu', 'Cruz')","(3, 4, 7)","('Brantley', 'Abreu', 'Donaldson')","(3, 4, 8)"
2013,AL,"('Scherzer',)","(12,)","('DavisC', 'Donaldson', 'Beltre')","(3, 4, 7)","('DavisC', 'Donaldson', 'Pedroia')","(3, 4, 8)"
2012,NL,"('Braun',)","(2,)","('McCutchen', 'Molina', 'Wright')","(3, 4, 7)","('McCutchen', 'Molina', 'LaRoche')","(3, 4, 6)"
2012,NL,"('Dickey',)","(14,)","('McCutchen', 'Molina', 'Wright')","(3, 4, 7)","('McCutchen', 'Molina', 'LaRoche')","(3, 4, 6)"
2012,NL,"('Phillips',)","(13,)","('McCutchen', 'Molina', 'Wright')","(3, 4, 7)","('McCutchen', 'Molina', 'LaRoche')","(3, 4, 6)"
2020,AL,"('Lowe',)","(8,)","('LeMahieu', 'Bieber', 'Anderson')","(3, 4, 7)","('LeMahieu', 'Bieber', 'Cruz')","(3, 4, 6)"
2012,NL,"('Chapman',)","(12,)","('McCutchen', 'Molina', 'Wright')","(3, 4, 7)","('McCutchen', 'Molina', 'LaRoche')","(3, 4, 6)"
2012,NL,"('Holliday',)","(11,)","('McCutchen', 'Molina', 'Wright')","(3, 4, 7)","('McCutchen', 'Molina', 'LaRoche')","(3, 4, 6)"
2012,NL,"('Bruce',)","(10,)","('McCutchen', 'Molina', 'Wright')","(3, 4, 7)","('McCutchen', 'Molina', 'LaRoche')","(3, 4, 6)"
2012,NL,"('Kimbrel',)","(8,)","('McCutchen', 'Molina', 'Wright')","(3, 4, 7)","('McCutchen', 'Molina', 'LaRoche')","(3, 4, 6)"
2012,NL,"('Posey',)","(1,)","('McCutchen', 'Molina', 'Wright')","(3, 4, 7)","('McCutchen', 'Molina', 'LaRoche')","(3, 4, 6)"
