Season,League,Official Borda,Dowdall,Ranks-Dowdall
2012,NL,"Posey, Braun, McCutchen, Molina, Headley","Posey, Braun, Molina, McCutchen, Headley","1, 2, 4, 3, 5"
2013,NL,"McCutchen, Goldschmidt, Molina, Carpenter, Freeman","McCutchen, Goldschmidt, Molina, Carpenter, Kershaw","1, 2, 3, 4, 7"
2015,AL,"Donaldson, Trout, Cain, Machado, Keuchel","Donaldson, Trout, Cain, Machado, Cruz","1, 2, 3, 4, 6"
2015,NL,"Harper, Goldschmidt, Votto, Rizzo, McCutchen","Harper, Goldschmidt, Votto, Rizzo, Arrieta","1, 2, 3, 4, 6"
2016,AL,"Trout, Betts, Altuve, Donaldson, Machado","Trout, Betts, Altuve, Donaldson, Ortiz","1, 2, 3, 4, 6"
2016,NL,"Bryant, Murphy, Seager, Rizzo, Arenado","Bryant, Murphy, Seager, Arenado, Rizzo","1, 2, 3, 5, 4"
2018,AL,"Betts, Trout, Ramirez, Martinez, Bregman","Betts, Trout, Martinez, Ramirez, Bregman","1, 2, 4, 3, 5"
2018,NL,"Yelich, Baez, Arenado, Freeman, DeGrom","Yelich, Baez, Arenado, DeGrom, Freeman","1, 2, 3, 5, 4"
2020,AL,"Abreu, Ramirez, LeMahieu, Bieber, Trout","Abreu, Ramirez, LeMahieu, Trout, Bieber","1, 2, 3, 5, 4"
2022,AL,"Judge, Ohtani, Alvarez, Ramirez, Altuve","Judge, Ohtani, Alvarez, Ramirez, Gimenez","1, 2, 3, 4, 6"
