Player,Borda Points
Ohtani,30
GuerreroJr,14.833333333333332
Semien,9.4
Judge,6.055952380952382
Correa,5.745634920634921
Ramirez,4.790476190476191
Perez,4.310714285714286
Mullins,3.6369047619047623
Olson,3.5107142857142857
Lowe,1.6817460317460318
Devers,1.4761904761904765
Bogaerts,0.5222222222222223
Bichette,0.4361111111111111
Abreu,0.2361111111111111
Cole,0.225
Altuve,0.2111111111111111
Ray,0.14285714285714285
Eovaldi,0.14285714285714285
Hernandez,0.1111111111111111
Zunino,0.1
Meadows,0.1
Haniger,0.1
Tucker,0.1
