Year,League,Borda Winner,Condorcet Winner,Indicator
2012,AL,Cabrera,Cabrera,0
2012,NL,Posey,Posey,0
2013,AL,Cabrera,Cabrera,0
2013,NL,McCutchen,McCutchen,0
2014,AL,Trout,Trout,0
2014,NL,Kershaw,Kershaw,0
2015,AL,Donaldson,Donaldson,0
2015,NL,Harper,Harper,0
2016,AL,Trout,Trout,0
2016,NL,Bryant,Bryant,0
2017,AL,Altuve,Altuve,0
2017,NL,Stanton,,1
2018,AL,Betts,Betts,0
2018,NL,Yelich,Yelich,0
2019,AL,Trout,Trout,0
2019,NL,Bellinger,Bellinger,0
2020,AL,Abreu,Abreu,0
2020,NL,Freeman,Freeman,0
2021,AL,Ohtani,Ohtani,0
2021,NL,Harper,Harper,0
2022,AL,Judge,Judge,0
2022,NL,Goldschmidt,Goldschmidt,0
2023,AL,Ohtani,Ohtani,0
2023,NL,AcunaJr,AcunaJr,0
