Year,League,Combo,ab,ab-a,ab-b,bc,bc-b,bc-c,ca,ca-c,ca-a
2012,AL,"Cano, Cespedes, Wieters",(Cano Cespedes),8,2,(Cespedes Wieters),1,0,(Wieters Cano),1,0
2012,AL,"Cano, Hamilton, Wieters",(Cano Hamilton),18,6,(Hamilton Wieters),1,0,(Wieters Cano),1,0
2012,AL,"Cano, Johnson, Jones",(Cano Johnson),1,2,(Johnson Jones),1,2,(Jones Cano),4,17
2012,AL,"Cano, Johnson, Reddick",(Cano Johnson),1,2,(Johnson Reddick),0,2,(Reddick Cano),1,3
2012,AL,"Cespedes, Fielder, Reddick",(Cespedes Fielder),3,4,(Fielder Reddick),1,2,(Reddick Cespedes),0,1
2012,AL,"Cespedes, Fielder, Rodney",(Cespedes Fielder),3,4,(Fielder Rodney),0,4,(Rodney Cespedes),1,4
2012,AL,"Cespedes, Fielder, Wieters",(Cespedes Fielder),3,4,(Fielder Wieters),0,1,(Wieters Cespedes),0,1
2012,AL,"Cespedes, Johnson, Reddick",(Cespedes Johnson),0,2,(Johnson Reddick),0,2,(Reddick Cespedes),0,1
2012,AL,"Cespedes, Jones, Wieters",(Cespedes Jones),1,11,(Jones Wieters),0,1,(Wieters Cespedes),0,1
2012,AL,"Cespedes, Rios, Rodney",(Cespedes Rios),0,3,(Rios Rodney),0,1,(Rodney Cespedes),1,4
2012,AL,"Cespedes, Soriano, Verlander",(Cespedes Soriano),2,0,(Soriano Verlander),1,0,(Verlander Cespedes),4,2
2012,AL,"Encarnacion, Jeter, Weaver",(Encarnacion Jeter),1,5,(Jeter Weaver),0,1,(Weaver Encarnacion),0,1
2012,AL,"Encarnacion, Price, Zobrist",(Encarnacion Price),0,2,(Price Zobrist),0,1,(Zobrist Encarnacion),0,2
2012,AL,"Encarnacion, Pujols, Rodney",(Encarnacion Pujols),1,0,(Pujols Rodney),1,0,(Rodney Encarnacion),4,0
2012,AL,"Fielder, Hamilton, Price",(Fielder Hamilton),5,14,(Hamilton Price),1,4,(Price Fielder),1,2
2012,AL,"Fielder, Hernandez, Mauer",(Fielder Hernandez),0,1,(Hernandez Mauer),0,1,(Mauer Fielder),1,2
2012,AL,"Fielder, Jeter, Price",(Fielder Jeter),1,6,(Jeter Price),0,2,(Price Fielder),1,2
2012,AL,"Fielder, Jones, Price",(Fielder Jones),5,11,(Jones Price),0,3,(Price Fielder),1,2
2012,AL,"Fielder, Pujols, Rodney",(Fielder Pujols),2,1,(Pujols Rodney),1,0,(Rodney Fielder),4,0
2012,AL,"Hamilton, Johnson, Reddick",(Hamilton Johnson),1,3,(Johnson Reddick),0,2,(Reddick Hamilton),2,3
2012,AL,"Hamilton, Jones, Wieters",(Hamilton Jones),10,14,(Jones Wieters),0,1,(Wieters Hamilton),0,1
2012,AL,"Hamilton, Price, Zobrist",(Hamilton Price),1,4,(Price Zobrist),0,1,(Zobrist Hamilton),1,2
2012,AL,"Hamilton, Soriano, Verlander",(Hamilton Soriano),2,0,(Soriano Verlander),1,0,(Verlander Hamilton),8,4
2012,AL,"Jeter, Johnson, Reddick",(Jeter Johnson),1,2,(Johnson Reddick),0,2,(Reddick Jeter),1,3
2012,AL,"Jeter, Soriano, Verlander",(Jeter Soriano),2,0,(Soriano Verlander),1,0,(Verlander Jeter),3,2
2012,AL,"Johnson, Jones, Wieters",(Johnson Jones),1,2,(Jones Wieters),0,1,(Wieters Johnson),0,1
2012,AL,"Johnson, Reddick, Rodney",(Johnson Reddick),0,2,(Reddick Rodney),0,2,(Rodney Johnson),0,1
2012,AL,"Jones, Price, Zobrist",(Jones Price),0,3,(Price Zobrist),0,1,(Zobrist Jones),0,1
2012,NL,"Bourn, Kimbrel, Ramirez",(Bourn Kimbrel),1,0,(Kimbrel Ramirez),3,1,(Ramirez Bourn),2,0
2012,NL,"Bourn, Kimbrel, Wright",(Bourn Kimbrel),1,0,(Kimbrel Wright),8,3,(Wright Bourn),2,0
2012,NL,"Bruce, Gonzalez, Holliday",(Bruce Gonzalez),0,1,(Gonzalez Holliday),0,1,(Holliday Bruce),0,4
2012,NL,"Bruce, Gonzalez, Kimbrel",(Bruce Gonzalez),0,1,(Gonzalez Kimbrel),0,1,(Kimbrel Bruce),0,3
2012,NL,"Bruce, Gonzalez, Wright",(Bruce Gonzalez),0,1,(Gonzalez Wright),0,1,(Wright Bruce),1,5
2012,NL,"Bruce, Gonzalez, Zimmerman",(Bruce Gonzalez),0,1,(Gonzalez Zimmerman),0,1,(Zimmerman Bruce),0,1
2012,NL,"Bruce, Headley, LaRoche",(Bruce Headley),5,2,(Headley LaRoche),9,8,(LaRoche Bruce),4,3
2012,NL,"Bruce, Headley, Phillips",(Bruce Headley),5,2,(Headley Phillips),3,0,(Phillips Bruce),1,0
2012,NL,"Bruce, Holliday, Phillips",(Bruce Holliday),4,0,(Holliday Phillips),2,0,(Phillips Bruce),1,0
2012,NL,"Bruce, Kimbrel, Medlen",(Bruce Kimbrel),3,0,(Kimbrel Medlen),1,0,(Medlen Bruce),1,0
2012,NL,"Bruce, Kimbrel, Phillips",(Bruce Kimbrel),3,0,(Kimbrel Phillips),3,0,(Phillips Bruce),1,0
2012,NL,"Bruce, Molina, Zimmerman",(Bruce Molina),1,7,(Molina Zimmerman),0,1,(Zimmerman Bruce),0,1
2012,NL,"Bruce, Phillips, Zimmerman",(Bruce Phillips),0,1,(Phillips Zimmerman),0,1,(Zimmerman Bruce),0,1
2012,NL,"Chapman, Craig, Ramirez",(Chapman Craig),2,0,(Craig Ramirez),2,0,(Ramirez Chapman),1,0
