PlayerA,PlayerB,A>B,B>A
Bruce,Carpenter,0,30
Bruce,Choo,10,9
Bruce,Craig,10,2
Bruce,Cuddyer,10,2
Bruce,Freeman,0,30
Bruce,Goldschmidt,0,30
Bruce,Gomez,9,13
Bruce,Gonzalez,10,0
Bruce,Holliday,10,1
Bruce,Kershaw,3,24
Bruce,Kimbrel,8,6
Bruce,Martin,10,1
Bruce,McCutchen,0,30
Bruce,Molina,1,29
Bruce,Pence,10,4
Bruce,Posey,10,1
Bruce,Puig,10,3
Bruce,Ramirez,7,14
Bruce,Simmons,8,5
Bruce,Tulowitzki,10,3
Bruce,Votto,4,24
Bruce,Wainwright,10,1
Bruce,Werth,10,8
Carpenter,Choo,29,1
Carpenter,Craig,30,0
Carpenter,Cuddyer,30,0
Carpenter,Freeman,24,6
Carpenter,Goldschmidt,7,23
Carpenter,Gomez,28,2
Carpenter,Gonzalez,30,0
Carpenter,Holliday,30,0
Carpenter,Kershaw,21,9
Carpenter,Kimbrel,30,0
Carpenter,Martin,30,0
Carpenter,McCutchen,1,29
Carpenter,Molina,12,18
Carpenter,Pence,30,0
Carpenter,Posey,29,1
Carpenter,Puig,30,0
Carpenter,Ramirez,27,3
Carpenter,Simmons,30,0
Carpenter,Tulowitzki,30,0
Carpenter,Votto,16,14
Carpenter,Wainwright,30,0
Carpenter,Werth,30,0
Choo,Craig,10,1
Choo,Cuddyer,10,2
Choo,Freeman,0,30
Choo,Goldschmidt,0,30
Choo,Gomez,4,13
Choo,Gonzalez,10,2
Choo,Holliday,9,1
Choo,Kershaw,2,25
Choo,Kimbrel,9,8
Choo,Martin,10,1
Choo,McCutchen,0,30
Choo,Molina,2,28
Choo,Pence,10,2
Choo,Posey,10,1
Choo,Puig,10,3
Choo,Ramirez,10,14
Choo,Simmons,9,5
Choo,Tulowitzki,10,3
Choo,Votto,2,27
Choo,Wainwright,9,1
Choo,Werth,7,11
Craig,Cuddyer,2,3
Craig,Freeman,0,30
Craig,Goldschmidt,0,30
Craig,Gomez,1,15
Craig,Gonzalez,2,2
Craig,Holliday,2,1
Craig,Kershaw,0,26
Craig,Kimbrel,0,8
Craig,Martin,2,0
Craig,McCutchen,0,30
Craig,Molina,0,30
Craig,Pence,2,4
Craig,Posey,2,1
Craig,Puig,2,3
Craig,Ramirez,2,15
Craig,Simmons,2,6
Craig,Tulowitzki,2,3
Craig,Votto,2,27
Craig,Wainwright,2,1
Craig,Werth,2,11
Cuddyer,Freeman,0,30
Cuddyer,Goldschmidt,0,30
Cuddyer,Gomez,2,15
Cuddyer,Gonzalez,3,2
Cuddyer,Holliday,3,1
Cuddyer,Kershaw,0,26
Cuddyer,Kimbrel,3,8
Cuddyer,Martin,3,1
Cuddyer,McCutchen,0,30
Cuddyer,Molina,0,30
Cuddyer,Pence,3,4
Cuddyer,Posey,3,1
Cuddyer,Puig,3,3
Cuddyer,Ramirez,1,16
Cuddyer,Simmons,3,6
Cuddyer,Tulowitzki,3,3
Cuddyer,Votto,0,27
Cuddyer,Wainwright,3,1
Cuddyer,Werth,2,11
Freeman,Goldschmidt,2,28
Freeman,Gomez,27,3
Freeman,Gonzalez,30,0
Freeman,Holliday,30,0
Freeman,Kershaw,16,14
Freeman,Kimbrel,29,1
Freeman,Martin,30,0
Freeman,McCutchen,0,30
Freeman,Molina,5,25
Freeman,Pence,30,0
Freeman,Posey,30,0
Freeman,Puig,30,0
Freeman,Ramirez,26,4
Freeman,Simmons,30,0
Freeman,Tulowitzki,30,0
Freeman,Votto,14,16
Freeman,Wainwright,29,1
Freeman,Werth,30,0
Goldschmidt,Gomez,30,0
Goldschmidt,Gonzalez,30,0
Goldschmidt,Holliday,30,0
Goldschmidt,Kershaw,28,2
Goldschmidt,Kimbrel,29,1
Goldschmidt,Martin,30,0
Goldschmidt,McCutchen,0,30
Goldschmidt,Molina,17,13
Goldschmidt,Pence,30,0
Goldschmidt,Posey,30,0
Goldschmidt,Puig,30,0
Goldschmidt,Ramirez,28,2
Goldschmidt,Simmons,30,0
Goldschmidt,Tulowitzki,30,0
Goldschmidt,Votto,29,1
Goldschmidt,Wainwright,30,0
Goldschmidt,Werth,30,0
Gomez,Gonzalez,15,2
Gomez,Holliday,15,1
Gomez,Kershaw,2,26
Gomez,Kimbrel,13,8
Gomez,Martin,15,1
Gomez,McCutchen,0,30
Gomez,Molina,2,28
Gomez,Pence,15,2
Gomez,Posey,15,0
Gomez,Puig,14,3
Gomez,Ramirez,12,14
Gomez,Simmons,13,5
Gomez,Tulowitzki,15,1
Gomez,Votto,2,27
Gomez,Wainwright,15,0
Gomez,Werth,14,8
Gonzalez,Holliday,2,1
Gonzalez,Kershaw,1,26
Gonzalez,Kimbrel,2,7
Gonzalez,Martin,2,1
Gonzalez,McCutchen,0,30
Gonzalez,Molina,0,30
Gonzalez,Pence,2,4
Gonzalez,Posey,2,1
Gonzalez,Puig,2,3
Gonzalez,Ramirez,2,16
Gonzalez,Simmons,2,6
Gonzalez,Tulowitzki,2,3
Gonzalez,Votto,0,27
Gonzalez,Wainwright,2,1
Gonzalez,Werth,1,10
Holliday,Kershaw,0,26
Holliday,Kimbrel,1,8
Holliday,Martin,1,1
Holliday,McCutchen,0,30
Holliday,Molina,0,30
Holliday,Pence,1,4
Holliday,Posey,1,1
Holliday,Puig,1,3
Holliday,Ramirez,1,16
Holliday,Simmons,1,6
Holliday,Tulowitzki,1,3
Holliday,Votto,0,27
Holliday,Wainwright,1,1
Holliday,Werth,0,11
Kershaw,Kimbrel,24,4
Kershaw,Martin,26,0
Kershaw,McCutchen,0,30
Kershaw,Molina,12,18
Kershaw,Pence,26,1
Kershaw,Posey,26,0
Kershaw,Puig,25,2
Kershaw,Ramirez,21,8
Kershaw,Simmons,26,1
Kershaw,Tulowitzki,26,0
Kershaw,Votto,16,14
Kershaw,Wainwright,26,0
Kershaw,Werth,26,3
Kimbrel,Martin,8,0
Kimbrel,McCutchen,0,30
Kimbrel,Molina,0,30
Kimbrel,Pence,8,3
Kimbrel,Posey,8,1
Kimbrel,Puig,7,3
Kimbrel,Ramirez,5,14
Kimbrel,Simmons,8,6
Kimbrel,Tulowitzki,8,3
Kimbrel,Votto,4,25
Kimbrel,Wainwright,8,1
Kimbrel,Werth,8,9
Martin,McCutchen,0,30
Martin,Molina,0,30
Martin,Pence,1,4
Martin,Posey,1,1
Martin,Puig,1,3
Martin,Ramirez,0,16
Martin,Simmons,1,6
Martin,Tulowitzki,1,3
Martin,Votto,1,27
Martin,Wainwright,1,1
Martin,Werth,1,11
McCutchen,Molina,28,2
McCutchen,Pence,30,0
McCutchen,Posey,30,0
McCutchen,Puig,30,0
McCutchen,Ramirez,30,0
McCutchen,Simmons,30,0
McCutchen,Tulowitzki,30,0
McCutchen,Votto,30,0
McCutchen,Wainwright,30,0
McCutchen,Werth,30,0
Molina,Pence,30,0
Molina,Posey,30,0
Molina,Puig,29,1
Molina,Ramirez,28,2
Molina,Simmons,29,1
Molina,Tulowitzki,30,0
Molina,Votto,24,6
Molina,Wainwright,30,0
Molina,Werth,30,0
Pence,Posey,4,1
Pence,Puig,4,3
Pence,Ramirez,3,15
Pence,Simmons,4,6
Pence,Tulowitzki,4,2
Pence,Votto,0,27
Pence,Wainwright,4,1
Pence,Werth,4,10
Posey,Puig,1,3
Posey,Ramirez,1,16
Posey,Simmons,1,6
Posey,Tulowitzki,1,3
Posey,Votto,0,27
Posey,Wainwright,1,1
Posey,Werth,1,10
Puig,Ramirez,0,16
Puig,Simmons,3,5
Puig,Tulowitzki,3,3
Puig,Votto,1,26
Puig,Wainwright,3,1
Puig,Werth,3,10
Ramirez,Simmons,15,3
Ramirez,Tulowitzki,15,2
Ramirez,Votto,4,24
Ramirez,Wainwright,16,1
Ramirez,Werth,15,8
Simmons,Tulowitzki,6,3
Simmons,Votto,1,27
Simmons,Wainwright,6,1
Simmons,Werth,6,10
Tulowitzki,Votto,0,27
Tulowitzki,Wainwright,3,1
Tulowitzki,Werth,3,10
Votto,Wainwright,27,0
Votto,Werth,26,1
Wainwright,Werth,1,11
