PlayerA,PlayerB,A>B,B>A
Abreu,Anderson,30,0
Abreu,Bieber,30,0
Abreu,Bogaerts,30,0
Abreu,Buxton,30,0
Abreu,Cruz,30,0
Abreu,Fletcher,30,0
Abreu,Hendriks,30,0
Abreu,Hernandez,30,0
Abreu,Keuchel,30,0
Abreu,LeMahieu,28,2
Abreu,Lewis,30,0
Abreu,Lowe,30,0
Abreu,Perez,30,0
Abreu,Ramirez,22,8
Abreu,Rendon,30,0
Abreu,Rosario,30,0
Abreu,Ryu,30,0
Abreu,Springer,30,0
Abreu,Trout,30,0
Abreu,Verdugo,30,0
Abreu,Voit,30,0
Anderson,Bieber,7,23
Anderson,Bogaerts,30,0
Anderson,Buxton,30,0
Anderson,Cruz,14,16
Anderson,Fletcher,30,0
Anderson,Hendriks,29,1
Anderson,Hernandez,30,0
Anderson,Keuchel,30,0
Anderson,LeMahieu,2,28
Anderson,Lewis,30,0
Anderson,Lowe,17,13
Anderson,Perez,30,0
Anderson,Ramirez,1,29
Anderson,Rendon,26,4
Anderson,Rosario,30,0
Anderson,Ryu,29,1
Anderson,Springer,30,0
Anderson,Trout,8,22
Anderson,Verdugo,30,0
Anderson,Voit,22,8
Bieber,Bogaerts,28,1
Bieber,Buxton,28,0
Bieber,Cruz,24,5
Bieber,Fletcher,28,0
Bieber,Hendriks,28,0
Bieber,Hernandez,28,0
Bieber,Keuchel,28,0
Bieber,LeMahieu,5,25
Bieber,Lewis,28,0
Bieber,Lowe,24,6
Bieber,Perez,28,1
Bieber,Ramirez,1,29
Bieber,Rendon,27,2
Bieber,Rosario,28,0
Bieber,Ryu,28,0
Bieber,Springer,28,1
Bieber,Trout,14,16
Bieber,Verdugo,28,1
Bieber,Voit,27,3
Bogaerts,Buxton,1,1
Bogaerts,Cruz,0,29
Bogaerts,Fletcher,1,1
Bogaerts,Hendriks,1,3
Bogaerts,Hernandez,1,7
Bogaerts,Keuchel,1,1
Bogaerts,LeMahieu,0,30
Bogaerts,Lewis,1,1
Bogaerts,Lowe,0,29
Bogaerts,Perez,1,1
Bogaerts,Ramirez,0,30
Bogaerts,Rendon,1,15
Bogaerts,Rosario,1,1
Bogaerts,Ryu,1,2
Bogaerts,Springer,1,2
Bogaerts,Trout,0,30
Bogaerts,Verdugo,0,1
Bogaerts,Voit,0,27
Buxton,Cruz,0,29
Buxton,Fletcher,1,1
Buxton,Hendriks,1,3
Buxton,Hernandez,1,7
Buxton,Keuchel,1,0
Buxton,LeMahieu,0,30
Buxton,Lewis,1,1
Buxton,Lowe,0,29
Buxton,Perez,1,1
Buxton,Ramirez,0,30
Buxton,Rendon,1,15
Buxton,Rosario,1,1
Buxton,Ryu,1,2
Buxton,Springer,1,2
Buxton,Trout,0,30
Buxton,Verdugo,1,1
Buxton,Voit,1,27
Cruz,Fletcher,29,0
Cruz,Hendriks,29,0
Cruz,Hernandez,29,0
Cruz,Keuchel,29,0
Cruz,LeMahieu,2,28
Cruz,Lewis,29,0
Cruz,Lowe,20,10
Cruz,Perez,29,1
Cruz,Ramirez,0,30
Cruz,Rendon,25,5
Cruz,Rosario,29,0
Cruz,Ryu,29,0
Cruz,Springer,29,1
Cruz,Trout,9,21
Cruz,Verdugo,28,1
Cruz,Voit,23,7
Fletcher,Hendriks,1,3
Fletcher,Hernandez,1,7
Fletcher,Keuchel,1,1
Fletcher,LeMahieu,0,30
Fletcher,Lewis,1,1
Fletcher,Lowe,0,29
Fletcher,Perez,1,1
Fletcher,Ramirez,0,30
Fletcher,Rendon,1,15
Fletcher,Rosario,1,1
Fletcher,Ryu,1,2
Fletcher,Springer,1,2
Fletcher,Trout,0,30
Fletcher,Verdugo,1,1
Fletcher,Voit,0,27
Hendriks,Hernandez,2,7
Hendriks,Keuchel,3,1
Hendriks,LeMahieu,0,30
Hendriks,Lewis,3,1
Hendriks,Lowe,0,29
Hendriks,Perez,3,1
Hendriks,Ramirez,0,30
Hendriks,Rendon,3,15
Hendriks,Rosario,3,1
Hendriks,Ryu,3,2
Hendriks,Springer,3,2
Hendriks,Trout,0,30
Hendriks,Verdugo,3,1
Hendriks,Voit,1,27
Hernandez,Keuchel,7,1
Hernandez,LeMahieu,0,30
Hernandez,Lewis,7,1
Hernandez,Lowe,0,29
Hernandez,Perez,7,1
Hernandez,Ramirez,0,30
Hernandez,Rendon,7,15
Hernandez,Rosario,7,1
Hernandez,Ryu,7,2
Hernandez,Springer,7,2
Hernandez,Trout,0,30
Hernandez,Verdugo,7,1
Hernandez,Voit,1,27
Keuchel,LeMahieu,0,30
Keuchel,Lewis,1,1
Keuchel,Lowe,0,29
Keuchel,Perez,1,1
Keuchel,Ramirez,0,30
Keuchel,Rendon,1,15
Keuchel,Rosario,1,1
Keuchel,Ryu,1,2
Keuchel,Springer,1,2
Keuchel,Trout,0,30
Keuchel,Verdugo,1,1
Keuchel,Voit,1,27
LeMahieu,Lewis,30,0
LeMahieu,Lowe,27,3
LeMahieu,Perez,30,0
LeMahieu,Ramirez,5,25
LeMahieu,Rendon,29,1
LeMahieu,Rosario,30,0
LeMahieu,Ryu,30,0
LeMahieu,Springer,30,0
LeMahieu,Trout,24,6
LeMahieu,Verdugo,30,0
LeMahieu,Voit,28,2
Lewis,Lowe,0,29
Lewis,Perez,1,1
Lewis,Ramirez,0,30
Lewis,Rendon,1,15
Lewis,Rosario,1,1
Lewis,Ryu,1,2
Lewis,Springer,1,2
Lewis,Trout,0,30
Lewis,Verdugo,1,1
Lewis,Voit,0,27
Lowe,Perez,29,0
Lowe,Ramirez,0,30
Lowe,Rendon,23,7
Lowe,Rosario,29,0
Lowe,Ryu,28,2
Lowe,Springer,29,0
Lowe,Trout,5,25
Lowe,Verdugo,28,1
Lowe,Voit,17,13
Perez,Ramirez,0,30
Perez,Rendon,0,15
Perez,Rosario,1,1
Perez,Ryu,1,2
Perez,Springer,0,2
Perez,Trout,0,30
