PlayerA,PlayerB,A>B,B>A
Abreu,Betts,0,0
Abreu,Bogaerts,0,1
Abreu,Bregman,0,2
Abreu,Chapman,0,0
Abreu,Cole,0,1
Abreu,Cruz,0,1
Abreu,Devers,0,2
Abreu,Kepler,0,0
Abreu,LeMahieu,0,2
Abreu,Lindor,0,0
Abreu,Martinez,0,0
Abreu,Meadows,0,0
Abreu,Moncada,0,0
Abreu,Morton,0,0
Abreu,Olson,0,0
Abreu,Polanco,0,0
Abreu,Rosario,1,0
Abreu,Santana,0,0
Abreu,Semien,0,2
Abreu,Soler,0,0
Abreu,Springer,0,1
Abreu,Torres,1,0
Abreu,Trout,0,2
Abreu,Verlander,1,1
Betts,Bogaerts,3,16
Betts,Bregman,0,20
Betts,Chapman,11,8
Betts,Cole,3,6
Betts,Cruz,3,7
Betts,Devers,3,3
Betts,Kepler,0,0
Betts,LeMahieu,4,15
Betts,Lindor,0,0
Betts,Martinez,0,0
Betts,Meadows,1,2
Betts,Moncada,1,0
Betts,Morton,0,0
Betts,Olson,1,0
Betts,Polanco,2,2
Betts,Rosario,1,0
Betts,Santana,2,1
Betts,Semien,0,20
Betts,Soler,0,0
Betts,Springer,8,8
Betts,Torres,0,0
Betts,Trout,0,20
Betts,Verlander,4,5
Bogaerts,Bregman,0,28
Bogaerts,Chapman,21,4
Bogaerts,Cole,6,6
Bogaerts,Cruz,9,4
Bogaerts,Devers,8,2
Bogaerts,Kepler,1,0
Bogaerts,LeMahieu,9,18
Bogaerts,Lindor,2,2
Bogaerts,Martinez,1,0
Bogaerts,Meadows,4,2
Bogaerts,Moncada,1,0
Bogaerts,Morton,1,0
Bogaerts,Olson,1,0
Bogaerts,Polanco,6,0
Bogaerts,Rosario,2,0
Bogaerts,Santana,4,0
Bogaerts,Semien,2,26
Bogaerts,Soler,1,0
Bogaerts,Springer,15,4
Bogaerts,Torres,1,1
Bogaerts,Trout,0,28
Bogaerts,Verlander,7,5
Bregman,Chapman,26,0
Bregman,Cole,13,0
Bregman,Cruz,15,0
Bregman,Devers,11,0
Bregman,Kepler,1,0
Bregman,LeMahieu,29,0
Bregman,Lindor,4,0
Bregman,Martinez,1,0
Bregman,Meadows,7,0
Bregman,Moncada,1,0
Bregman,Morton,1,0
