PlayerA,PlayerB,A>B,B>A
AcunaJr,Albies,2,0
AcunaJr,Alonso,1,0
AcunaJr,Arraez,22,0
AcunaJr,Bellinger,17,0
AcunaJr,Betts,30,0
AcunaJr,Carroll,30,0
AcunaJr,Castellanos,1,0
AcunaJr,Contreras,12,0
AcunaJr,Freeman,30,0
AcunaJr,Friedl,1,0
AcunaJr,Gallen,1,0
AcunaJr,Harper,12,0
AcunaJr,Kim,5,0
AcunaJr,Lindor,16,0
AcunaJr,Olson,30,0
AcunaJr,Ozuna,1,0
AcunaJr,Riley,21,0
AcunaJr,Schwarber,2,0
AcunaJr,Snell,4,0
AcunaJr,Soto,26,0
AcunaJr,Swanson,2,0
AcunaJr,Tatis,1,0
AcunaJr,Walker,1,0
AcunaJr,Webb,1,0
AcunaJr,Williams,1,0
Albies,Alonso,0,0
Albies,Arraez,0,1
Albies,Bellinger,1,1
Albies,Betts,0,2
Albies,Carroll,0,2
Albies,Castellanos,0,0
Albies,Contreras,0,0
Albies,Freeman,0,2
Albies,Friedl,0,0
Albies,Gallen,0,0
Albies,Harper,0,0
Albies,Kim,0,0
Albies,Lindor,0,1
Albies,Olson,0,2
Albies,Ozuna,0,0
Albies,Riley,1,1
Albies,Schwarber,0,0
Albies,Snell,0,0
Albies,Soto,0,2
Albies,Swanson,0,0
Albies,Tatis,0,0
Albies,Walker,0,0
Albies,Webb,0,0
Albies,Williams,0,0
Alonso,Arraez,1,0
Alonso,Bellinger,0,1
Alonso,Betts,0,1
Alonso,Carroll,0,1
Alonso,Castellanos,0,0
Alonso,Contreras,0,0
Alonso,Freeman,0,1
Alonso,Friedl,0,0
Alonso,Gallen,0,0
Alonso,Harper,0,0
Alonso,Kim,0,0
Alonso,Lindor,0,0
Alonso,Olson,0,1
Alonso,Ozuna,0,0
Alonso,Riley,0,0
Alonso,Schwarber,1,0
Alonso,Snell,0,0
Alonso,Soto,0,1
Alonso,Swanson,0,0
Alonso,Tatis,0,0
Alonso,Walker,0,0
Alonso,Webb,0,0
Alonso,Williams,0,0
Arraez,Bellinger,8,6
Arraez,Betts,0,22
Arraez,Carroll,2,20
Arraez,Castellanos,1,0
Arraez,Contreras,5,5
Arraez,Freeman,0,22
Arraez,Friedl,1,0
Arraez,Gallen,0,0
Arraez,Harper,4,6
Arraez,Kim,3,0
Arraez,Lindor,4,6
Arraez,Olson,0,22
Arraez,Ozuna,0,0
Arraez,Riley,5,8
Arraez,Schwarber,2,0
Arraez,Snell,0,1
Arraez,Soto,7,11
Arraez,Swanson,0,0
Arraez,Tatis,0,1
Arraez,Walker,1,0
Arraez,Webb,0,0
Arraez,Williams,1,0
Bellinger,Betts,0,17
Bellinger,Carroll,2,15
Bellinger,Castellanos,1,0
Bellinger,Contreras,3,3
Bellinger,Freeman,0,17
Bellinger,Friedl,1,0
Bellinger,Gallen,0,0
Bellinger,Harper,3,4
Bellinger,Kim,1,0
Bellinger,Lindor,1,5
Bellinger,Olson,0,17
Bellinger,Ozuna,0,0
Bellinger,Riley,3,6
Bellinger,Schwarber,2,0
Bellinger,Snell,0,1
Bellinger,Soto,5,9
Bellinger,Swanson,0,0
Bellinger,Tatis,0,1
Bellinger,Walker,1,0
Bellinger,Webb,0,0
Bellinger,Williams,1,0
Betts,Carroll,30,0
Betts,Castellanos,1,0
Betts,Contreras,12,0
Betts,Freeman,30,0
Betts,Friedl,1,0
Betts,Gallen,1,0
Betts,Harper,12,0
Betts,Kim,5,0
Betts,Lindor,16,0
Betts,Olson,30,0
Betts,Ozuna,1,0
Betts,Riley,21,0
Betts,Schwarber,2,0
Betts,Snell,4,0
Betts,Soto,26,0
Betts,Swanson,2,0
Betts,Tatis,1,0
Betts,Walker,1,0
Betts,Webb,1,0
Betts,Williams,1,0
Carroll,Castellanos,1,0
Carroll,Contreras,11,1
Carroll,Freeman,0,30
Carroll,Friedl,1,0
Carroll,Gallen,1,0
Carroll,Harper,12,0
Carroll,Kim,5,0
Carroll,Lindor,15,1
Carroll,Olson,0,30
Carroll,Ozuna,1,0
Carroll,Riley,18,3
Carroll,Schwarber,2,0
Carroll,Snell,3,1
Carroll,Soto,22,4
Carroll,Swanson,2,0
Carroll,Tatis,0,1
Carroll,Walker,1,0
Carroll,Webb,1,0
Carroll,Williams,1,0
Castellanos,Contreras,0,0
Castellanos,Freeman,0,1
Castellanos,Friedl,0,0
Castellanos,Gallen,0,0
Castellanos,Harper,0,0
Castellanos,Kim,0,0
Castellanos,Lindor,0,0
Castellanos,Olson,0,1
Castellanos,Ozuna,0,0
Castellanos,Riley,0,1
Castellanos,Schwarber,0,0
Castellanos,Snell,0,0
Castellanos,Soto,0,1
Castellanos,Swanson,0,0
Castellanos,Tatis,0,0
Castellanos,Walker,0,0
Castellanos,Webb,0,0
Castellanos,Williams,0,0
Contreras,Freeman,0,12
Contreras,Friedl,0,0
Contreras,Gallen,1,0
Contreras,Harper,1,4
Contreras,Kim,1,0
Contreras,Lindor,4,3
Contreras,Olson,0,12
Contreras,Ozuna,0,0
Contreras,Riley,6,1
Contreras,Schwarber,0,0
Contreras,Snell,0,0
Contreras,Soto,3,6
Contreras,Swanson,0,0
Contreras,Tatis,0,0
Contreras,Walker,1,0
Contreras,Webb,0,0
Contreras,Williams,1,0
Freeman,Friedl,1,0
Freeman,Gallen,1,0
Freeman,Harper,12,0
Freeman,Kim,5,0
Freeman,Lindor,16,0
Freeman,Olson,17,13
Freeman,Ozuna,1,0
Freeman,Riley,21,0
Freeman,Schwarber,2,0
Freeman,Snell,4,0
Freeman,Soto,26,0
Freeman,Swanson,2,0
Freeman,Tatis,1,0
Freeman,Walker,1,0
Freeman,Webb,1,0
Freeman,Williams,1,0
Friedl,Gallen,0,0
Friedl,Harper,0,1
Friedl,Kim,0,0
Friedl,Lindor,0,0
Friedl,Olson,0,1
Friedl,Ozuna,0,0
Friedl,Riley,0,0
Friedl,Schwarber,0,0
Friedl,Snell,0,0
Friedl,Soto,0,1
Friedl,Swanson,0,0
Friedl,Tatis,0,0
Friedl,Walker,0,0
Friedl,Webb,0,0
Friedl,Williams,0,0
Gallen,Harper,0,0
Gallen,Kim,0,0
Gallen,Lindor,0,1
Gallen,Olson,0,1
Gallen,Ozuna,0,0
Gallen,Riley,0,1
Gallen,Schwarber,0,0
Gallen,Snell,0,0
Gallen,Soto,0,1
Gallen,Swanson,0,0
Gallen,Tatis,0,0
Gallen,Walker,0,0
Gallen,Webb,0,0
Gallen,Williams,0,0
Harper,Kim,1,0
Harper,Lindor,1,2
Harper,Olson,0,12
Harper,Ozuna,1,0
Harper,Riley,1,4
Harper,Schwarber,1,0
Harper,Snell,0,1
Harper,Soto,1,9
Harper,Swanson,2,0
Harper,Tatis,0,0
Harper,Walker,1,0
Harper,Webb,0,0
Harper,Williams,0,0
Kim,Lindor,0,3
Kim,Olson,0,5
Kim,Ozuna,0,0
Kim,Riley,0,5
Kim,Schwarber,0,0
