Season,Week,Removed-Teams,RT-Ranking,Original-Teams,Original-Rankings,New-Teams,New-Rankings
2022,10,"('kansas-state-wildcats',)","(13,)","('georgia-bulldogs', 'ohio-state-buckeyes', 'tennessee-volunteers')","(1, 2, 3)","('georgia-bulldogs', 'tennessee-volunteers', 'ohio-state-buckeyes')","(1, 3, 2)"
2022,10,"('utah-utes',)","(12,)","('georgia-bulldogs', 'ohio-state-buckeyes', 'tennessee-volunteers')","(1, 2, 3)","('georgia-bulldogs', 'tennessee-volunteers', 'ohio-state-buckeyes')","(1, 3, 2)"
2022,10,"('ole-miss-rebels',)","(11,)","('georgia-bulldogs', 'ohio-state-buckeyes', 'tennessee-volunteers')","(1, 2, 3)","('georgia-bulldogs', 'tennessee-volunteers', 'ohio-state-buckeyes')","(1, 3, 2)"
2022,10,"('ucla-bruins',)","(10,)","('georgia-bulldogs', 'ohio-state-buckeyes', 'tennessee-volunteers')","(1, 2, 3)","('georgia-bulldogs', 'tennessee-volunteers', 'ohio-state-buckeyes')","(1, 3, 2)"
2022,10,"('usc-trojans',)","(9,)","('georgia-bulldogs', 'ohio-state-buckeyes', 'tennessee-volunteers')","(1, 2, 3)","('georgia-bulldogs', 'tennessee-volunteers', 'ohio-state-buckeyes')","(1, 3, 2)"
2022,10,"('oregon-ducks',)","(8,)","('georgia-bulldogs', 'ohio-state-buckeyes', 'tennessee-volunteers')","(1, 2, 3)","('georgia-bulldogs', 'tennessee-volunteers', 'ohio-state-buckeyes')","(1, 3, 2)"
2022,10,"('tcu-horned-frogs',)","(7,)","('georgia-bulldogs', 'ohio-state-buckeyes', 'tennessee-volunteers')","(1, 2, 3)","('georgia-bulldogs', 'tennessee-volunteers', 'ohio-state-buckeyes')","(1, 3, 2)"
2022,10,"('alabama-crimson-tide',)","(6,)","('georgia-bulldogs', 'ohio-state-buckeyes', 'tennessee-volunteers')","(1, 2, 3)","('georgia-bulldogs', 'tennessee-volunteers', 'ohio-state-buckeyes')","(1, 3, 2)"
2022,10,"('michigan-wolverines',)","(4,)","('georgia-bulldogs', 'ohio-state-buckeyes', 'tennessee-volunteers')","(1, 2, 3)","('georgia-bulldogs', 'tennessee-volunteers', 'ohio-state-buckeyes')","(1, 3, 2)"
2021,11,"('oklahoma-sooners',)","(4,)","('georgia-bulldogs', 'cincinnati-bearcats', 'alabama-crimson-tide')","(1, 2, 3)","('georgia-bulldogs', 'alabama-crimson-tide', 'cincinnati-bearcats')","(1, 3, 2)"
2016,2,"('ohio-state-buckeyes',)","(4,)","('alabama-crimson-tide', 'clemson-tigers', 'florida-state-seminoles')","(1, 2, 3)","('alabama-crimson-tide', 'florida-state-seminoles', 'clemson-tigers')","(1, 3, 2)"
2014,7,"('baylor-bears',)","(5,)","('florida-state-seminoles', 'auburn-tigers', 'mississippi-state-bulldogs')","(1, 2, 3)","('florida-state-seminoles', 'auburn-tigers', 'ole-miss-rebels')","(1, 2, 4)"
2019,7,"('texas-longhorns',)","(11,)","('alabama-crimson-tide', 'clemson-tigers', 'ohio-state-buckeyes')","(1, 2, 3)","('alabama-crimson-tide', 'clemson-tigers', 'georgia-bulldogs')","(1, 2, 4)"
2023,1,"('lsu-tigers',)","(5,)","('georgia-bulldogs', 'michigan-wolverines', 'ohio-state-buckeyes')","(1, 2, 3)","('georgia-bulldogs', 'michigan-wolverines', 'alabama-crimson-tide')","(1, 2, 4)"
2019,7,"('oregon-ducks',)","(13,)","('alabama-crimson-tide', 'clemson-tigers', 'ohio-state-buckeyes')","(1, 2, 3)","('alabama-crimson-tide', 'clemson-tigers', 'georgia-bulldogs')","(1, 2, 4)"
2019,7,"('auburn-tigers',)","(12,)","('alabama-crimson-tide', 'clemson-tigers', 'ohio-state-buckeyes')","(1, 2, 3)","('alabama-crimson-tide', 'clemson-tigers', 'georgia-bulldogs')","(1, 2, 4)"
2019,7,"('penn-state-nittany-lions',)","(10,)","('alabama-crimson-tide', 'clemson-tigers', 'ohio-state-buckeyes')","(1, 2, 3)","('alabama-crimson-tide', 'clemson-tigers', 'georgia-bulldogs')","(1, 2, 4)"
2014,7,"('michigan-state-spartans',)","(8,)","('florida-state-seminoles', 'auburn-tigers', 'mississippi-state-bulldogs')","(1, 2, 3)","('florida-state-seminoles', 'auburn-tigers', 'ole-miss-rebels')","(1, 2, 4)"
2019,7,"('notre-dame-fighting-irish',)","(9,)","('alabama-crimson-tide', 'clemson-tigers', 'ohio-state-buckeyes')","(1, 2, 3)","('alabama-crimson-tide', 'clemson-tigers', 'georgia-bulldogs')","(1, 2, 4)"
2019,7,"('wisconsin-badgers',)","(8,)","('alabama-crimson-tide', 'clemson-tigers', 'ohio-state-buckeyes')","(1, 2, 3)","('alabama-crimson-tide', 'clemson-tigers', 'georgia-bulldogs')","(1, 2, 4)"
2015,7,"('alabama-crimson-tide',)","(10,)","('ohio-state-buckeyes', 'baylor-bears', 'tcu-horned-frogs')","(1, 2, 3)","('ohio-state-buckeyes', 'baylor-bears', 'utah-utes')","(1, 2, 4)"
2015,7,"('michigan-state-spartans',)","(7,)","('ohio-state-buckeyes', 'baylor-bears', 'tcu-horned-frogs')","(1, 2, 3)","('ohio-state-buckeyes', 'baylor-bears', 'utah-utes')","(1, 2, 4)"
2015,7,"('lsu-tigers',)","(6,)","('ohio-state-buckeyes', 'baylor-bears', 'tcu-horned-frogs')","(1, 2, 3)","('ohio-state-buckeyes', 'baylor-bears', 'utah-utes')","(1, 2, 4)"
2015,7,"('clemson-tigers',)","(5,)","('ohio-state-buckeyes', 'baylor-bears', 'tcu-horned-frogs')","(1, 2, 3)","('ohio-state-buckeyes', 'baylor-bears', 'utah-utes')","(1, 2, 4)"
2015,4,"('alabama-crimson-tide',)","(12,)","('ohio-state-buckeyes', 'michigan-state-spartans', 'ole-miss-rebels')","(1, 2, 3)","('ohio-state-buckeyes', 'michigan-state-spartans', 'tcu-horned-frogs')","(1, 2, 4)"
2015,4,"('ucla-bruins',)","(9,)","('ohio-state-buckeyes', 'michigan-state-spartans', 'ole-miss-rebels')","(1, 2, 3)","('ohio-state-buckeyes', 'michigan-state-spartans', 'tcu-horned-frogs')","(1, 2, 4)"
2015,4,"('lsu-tigers',)","(8,)","('ohio-state-buckeyes', 'michigan-state-spartans', 'ole-miss-rebels')","(1, 2, 3)","('ohio-state-buckeyes', 'michigan-state-spartans', 'tcu-horned-frogs')","(1, 2, 4)"
2015,4,"('notre-dame-fighting-irish',)","(6,)","('ohio-state-buckeyes', 'michigan-state-spartans', 'ole-miss-rebels')","(1, 2, 3)","('ohio-state-buckeyes', 'michigan-state-spartans', 'tcu-horned-frogs')","(1, 2, 4)"
2014,7,"('georgia-bulldogs',)","(13,)","('florida-state-seminoles', 'auburn-tigers', 'mississippi-state-bulldogs')","(1, 2, 3)","('florida-state-seminoles', 'auburn-tigers', 'ole-miss-rebels')","(1, 2, 4)"
2014,7,"('arizona-wildcats',)","(10,)","('florida-state-seminoles', 'auburn-tigers', 'mississippi-state-bulldogs')","(1, 2, 3)","('florida-state-seminoles', 'auburn-tigers', 'ole-miss-rebels')","(1, 2, 4)"
2014,7,"('tcu-horned-frogs',)","(9,)","('florida-state-seminoles', 'auburn-tigers', 'mississippi-state-bulldogs')","(1, 2, 3)","('florida-state-seminoles', 'auburn-tigers', 'ole-miss-rebels')","(1, 2, 4)"
2023,4,"('ohio-state-buckeyes',)","(6,)","('georgia-bulldogs', 'michigan-wolverines', 'texas-longhorns')","(1, 2, 3)","('georgia-bulldogs', 'michigan-wolverines', 'florida-state-seminoles')","(1, 2, 4)"
