Season,Week,Removed-Teams,RT-Ranking,Original-Teams,Original-Rankings,New-Teams,New-Rankings
2014,15,"('oregon-ducks',)","(3,)","('alabama-crimson-tide', 'florida-state-seminoles')","(1, 2)","('florida-state-seminoles', 'alabama-crimson-tide')","(2, 1)"
2019,10,"('ohio-state-buckeyes',)","(3,)","('lsu-tigers', 'alabama-crimson-tide')","(1, 2)","('alabama-crimson-tide', 'lsu-tigers')","(2, 1)"
2016,2,"('ohio-state-buckeyes',)","(4,)","('alabama-crimson-tide', 'clemson-tigers')","(1, 2)","('alabama-crimson-tide', 'florida-state-seminoles')","(1, 3)"
2021,11,"('oklahoma-sooners',)","(4,)","('georgia-bulldogs', 'cincinnati-bearcats')","(1, 2)","('georgia-bulldogs', 'alabama-crimson-tide')","(1, 3)"
2022,10,"('michigan-wolverines',)","(4,)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('alabama-crimson-tide',)","(6,)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('tcu-horned-frogs',)","(7,)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('oregon-ducks',)","(8,)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('usc-trojans',)","(9,)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('ucla-bruins',)","(10,)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('ole-miss-rebels',)","(11,)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('utah-utes',)","(12,)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
