Season,Week,Removed-Teams,RT-Ranking,Original-Teams,Original-Rankings,New-Teams,New-Rankings
2014,15,"('oregon-ducks', 'tcu-horned-frogs')","(3, 4)","('alabama-crimson-tide',)","(1,)","('florida-state-seminoles',)","(2,)"
2014,15,"('oregon-ducks', 'baylor-bears')","(3, 5)","('alabama-crimson-tide',)","(1,)","('florida-state-seminoles',)","(2,)"
2019,11,"('ohio-state-buckeyes', 'penn-state-nittany-lions')","(3, 5)","('lsu-tigers',)","(1,)","('alabama-crimson-tide',)","(2,)"
2019,10,"('ohio-state-buckeyes', 'auburn-tigers')","(3, 11)","('lsu-tigers',)","(1,)","('alabama-crimson-tide',)","(2,)"
2019,10,"('ohio-state-buckeyes', 'oklahoma-sooners')","(3, 10)","('lsu-tigers',)","(1,)","('alabama-crimson-tide',)","(2,)"
2019,10,"('ohio-state-buckeyes', 'utah-utes')","(3, 9)","('lsu-tigers',)","(1,)","('alabama-crimson-tide',)","(2,)"
2019,10,"('ohio-state-buckeyes', 'georgia-bulldogs')","(3, 8)","('lsu-tigers',)","(1,)","('alabama-crimson-tide',)","(2,)"
2019,10,"('ohio-state-buckeyes', 'oregon-ducks')","(3, 7)","('lsu-tigers',)","(1,)","('alabama-crimson-tide',)","(2,)"
2019,10,"('ohio-state-buckeyes', 'florida-gators')","(3, 6)","('lsu-tigers',)","(1,)","('alabama-crimson-tide',)","(2,)"
2019,10,"('ohio-state-buckeyes', 'penn-state-nittany-lions')","(3, 5)","('lsu-tigers',)","(1,)","('alabama-crimson-tide',)","(2,)"
2019,10,"('ohio-state-buckeyes', 'clemson-tigers')","(3, 4)","('lsu-tigers',)","(1,)","('alabama-crimson-tide',)","(2,)"
2014,15,"('oregon-ducks', 'wisconsin-badgers')","(3, 11)","('alabama-crimson-tide',)","(1,)","('florida-state-seminoles',)","(2,)"
2014,15,"('oregon-ducks', 'mississippi-state-bulldogs')","(3, 10)","('alabama-crimson-tide',)","(1,)","('florida-state-seminoles',)","(2,)"
2014,15,"('oregon-ducks', 'kansas-state-wildcats')","(3, 9)","('alabama-crimson-tide',)","(1,)","('florida-state-seminoles',)","(2,)"
2014,15,"('oregon-ducks', 'arizona-wildcats')","(3, 8)","('alabama-crimson-tide',)","(1,)","('florida-state-seminoles',)","(2,)"
2014,15,"('oregon-ducks', 'michigan-state-spartans')","(3, 7)","('alabama-crimson-tide',)","(1,)","('florida-state-seminoles',)","(2,)"
2014,15,"('oregon-ducks', 'ohio-state-buckeyes')","(3, 6)","('alabama-crimson-tide',)","(1,)","('florida-state-seminoles',)","(2,)"
2022,6,"('ohio-state-buckeyes', 'clemson-tigers')","(3, 5)","('alabama-crimson-tide',)","(1,)","('georgia-bulldogs',)","(2,)"
