Season,Week,Official Borda Teams,Borda-Top1 Teams,Borda-Top1 Rankings,Borda-Top3 Teams,Borda-Top3 Rankings,Borda-Top5 Teams,Borda-Top5 Rankings,Borda-Top10 Teams,Borda-Top10 Rankings,Dowdall Teams,Dowdall Rankings
2014,1,"florida-state-seminoles, alabama-crimson-tide, oregon-ducks","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, alabama-crimson-tide, oklahoma-sooners","1, 2, 4","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, alabama-crimson-tide, oklahoma-sooners","1, 2, 4"
2014,2,"florida-state-seminoles, alabama-crimson-tide, oregon-ducks","florida-state-seminoles, oregon-ducks, georgia-bulldogs","1, 3, 6","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 3, 2","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 3, 2"
2014,3,"florida-state-seminoles, oregon-ducks, alabama-crimson-tide","florida-state-seminoles, oregon-ducks, texas-am-aggies","1, 2, 7","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3"
2014,4,"florida-state-seminoles, oregon-ducks, alabama-crimson-tide","florida-state-seminoles, oregon-ducks, texas-am-aggies","1, 2, 6","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3"
2014,5,"florida-state-seminoles, oregon-ducks, alabama-crimson-tide","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3"
2014,6,"florida-state-seminoles, oregon-ducks, alabama-crimson-tide","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 3, 2","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3","florida-state-seminoles, oregon-ducks, alabama-crimson-tide","1, 2, 3"
2014,7,"florida-state-seminoles, auburn-tigers, mississippi-state-bulldogs","florida-state-seminoles, auburn-tigers, mississippi-state-bulldogs","1, 2, 3","florida-state-seminoles, auburn-tigers, mississippi-state-bulldogs","1, 2, 3","florida-state-seminoles, auburn-tigers, mississippi-state-bulldogs","1, 2, 3","florida-state-seminoles, auburn-tigers, mississippi-state-bulldogs","1, 2, 3","florida-state-seminoles, auburn-tigers, mississippi-state-bulldogs","1, 2, 3"
2014,8,"mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","1, 2, 3"
2014,9,"mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels","1, 2, 3"
2014,10,"mississippi-state-bulldogs, florida-state-seminoles, alabama-crimson-tide","mississippi-state-bulldogs, florida-state-seminoles, auburn-tigers","1, 2, 4","mississippi-state-bulldogs, florida-state-seminoles, alabama-crimson-tide","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, alabama-crimson-tide","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, alabama-crimson-tide","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, alabama-crimson-tide","1, 2, 3"
2014,11,"mississippi-state-bulldogs, florida-state-seminoles, auburn-tigers","mississippi-state-bulldogs, florida-state-seminoles, oregon-ducks","1, 2, 5","mississippi-state-bulldogs, florida-state-seminoles, auburn-tigers","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, auburn-tigers","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, auburn-tigers","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, auburn-tigers","1, 2, 3"
2014,12,"mississippi-state-bulldogs, florida-state-seminoles, oregon-ducks","mississippi-state-bulldogs, florida-state-seminoles, oregon-ducks","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, alabama-crimson-tide","1, 2, 4","mississippi-state-bulldogs, florida-state-seminoles, oregon-ducks","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, oregon-ducks","1, 2, 3","mississippi-state-bulldogs, florida-state-seminoles, oregon-ducks","1, 2, 3"
2014,13,"florida-state-seminoles, alabama-crimson-tide, oregon-ducks","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3"
2014,14,"florida-state-seminoles, alabama-crimson-tide, oregon-ducks","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3","florida-state-seminoles, alabama-crimson-tide, oregon-ducks","1, 2, 3"
