Season,Week,Highest Diff Ranking
2022,6,1
2019,11,1
2014,15,1
2019,10,1
2024,3,2
2016,5,2
2016,7,2
2016,8,2
2022,10,2
2017,1,2
2021,14,2
2021,13,2
2021,11,2
2021,10,2
2021,9,2
2021,8,2
2021,7,2
2017,16,2
2018,4,2
2018,5,2
2018,6,2
2018,7,2
2021,1,2
2020,11,2
2020,4,2
2020,3,2
2020,2,2
2014,2,2
2016,4,2
2016,2,2
2022,5,2
2014,6,2
2023,5,2
2015,3,2
2023,2,2
2023,3,2
2023,4,2
2015,4,2
2015,5,2
2015,6,2
2015,7,2
2015,8,2
2017,11,3
2018,1,3
2018,2,3
2018,3,3
2014,3,3
2014,11,3
2023,13,3
2021,4,3
2020,17,3
2014,10,3
2020,7,3
2020,5,3
2023,15,3
2018,16,3
2023,16,3
2024,2,3
2019,3,3
2023,8,3
2021,5,3
2019,4,3
2017,12,3
2016,1,3
2015,14,3
2016,3,3
2022,16,3
2021,6,3
2016,13,3
2014,4,3
2019,6,3
2016,16,3
2017,2,3
2015,1,3
2017,10,3
2021,15,3
2021,3,4
2023,12,4
2022,8,4
2020,6,4
2022,9,4
2022,11,4
2023,1,4
2022,14,4
2020,1,4
2023,6,4
2022,12,4
2024,5,4
2017,5,4
2017,13,4
2014,16,4
2017,7,4
2017,6,4
2014,9,4
2018,12,4
2017,4,4
2016,15,4
2016,14,4
2015,13,4
2014,7,4
2014,5,4
2018,11,4
2018,8,4
2014,12,4
2014,14,5
2014,1,5
2014,17,5
2022,7,5
2016,6,5
2020,15,5
2015,16,5
2020,13,5
2019,14,5
2014,8,5
2020,14,5
2023,14,5
2018,15,5
2019,17,5
2020,10,5
2020,12,5
2014,13,6
2015,15,6
2022,15,6
2019,7,6
2022,4,6
2022,3,6
2015,10,6
2017,15,6
2015,9,6
2019,16,6
2021,12,6
2019,1,6
2018,14,6
2023,7,6
2018,13,6
2018,10,6
2015,11,7
2023,9,7
2023,11,7
2024,1,7
2022,13,7
2023,10,7
2017,3,7
2021,2,7
2020,8,7
2020,9,7
2020,16,7
2018,9,7
2017,9,7
2019,2,7
2024,4,7
2022,1,7
2022,2,7
2016,12,7
2019,8,7
2021,16,8
2019,15,8
2016,9,8
2019,12,8
2019,5,8
2017,8,8
2016,10,9
2015,12,9
2016,11,9
2017,14,9
2019,13,12
2019,9,12
