Season,Week,Official Borda,Borda-Top1,Borda-Top3,Borda-Top5,Borda-Top10,Dowdall
2014,1,"florida-state-seminoles, alabama-crimson-tide, oregon-ducks, oklahoma-sooners, ohio-state-buckeyes","florida-state-seminoles, alabama-crimson-tide, oregon-ducks, oklahoma-sooners, auburn-tigers","florida-state-seminoles, alabama-crimson-tide, oklahoma-sooners, oregon-ducks, ohio-state-buckeyes","florida-state-seminoles, alabama-crimson-tide, oregon-ducks, oklahoma-sooners, ohio-state-buckeyes","florida-state-seminoles, alabama-crimson-tide, oregon-ducks, oklahoma-sooners, ohio-state-buckeyes","florida-state-seminoles, alabama-crimson-tide, oklahoma-sooners, oregon-ducks, ohio-state-buckeyes"
2014,2,"florida-state-seminoles, alabama-crimson-tide, oregon-ducks, oklahoma-sooners, auburn-tigers","florida-state-seminoles, oregon-ducks, georgia-bulldogs, texas-am-aggies, oklahoma-sooners","florida-state-seminoles, alabama-crimson-tide, oregon-ducks, oklahoma-sooners, auburn-tigers","florida-state-seminoles, oregon-ducks, alabama-crimson-tide, oklahoma-sooners, auburn-tigers","florida-state-seminoles, alabama-crimson-tide, oregon-ducks, oklahoma-sooners, auburn-tigers","florida-state-seminoles, oregon-ducks, alabama-crimson-tide, oklahoma-sooners, auburn-tigers"
2014,3,"florida-state-seminoles, oregon-ducks, alabama-crimson-tide, oklahoma-sooners, auburn-tigers","florida-state-seminoles, oregon-ducks, texas-am-aggies, oklahoma-sooners, alabama-crimson-tide","florida-state-seminoles, oregon-ducks, alabama-crimson-tide, oklahoma-sooners, texas-am-aggies","florida-state-seminoles, oregon-ducks, alabama-crimson-tide, oklahoma-sooners, auburn-tigers","florida-state-seminoles, oregon-ducks, alabama-crimson-tide, oklahoma-sooners, auburn-tigers","florida-state-seminoles, oregon-ducks, alabama-crimson-tide, oklahoma-sooners, auburn-tigers"
2014,4,"florida-state-seminoles, oregon-ducks, alabama-crimson-tide, oklahoma-sooners, auburn-tigers","florida-state-seminoles, oregon-ducks, texas-am-aggies, oklahoma-sooners, alabama-crimson-tide","florida-state-seminoles, oregon-ducks, alabama-crimson-tide, oklahoma-sooners, texas-am-aggies","florida-state-seminoles, oregon-ducks, alabama-crimson-tide, oklahoma-sooners, auburn-tigers","florida-state-seminoles, oregon-ducks, alabama-crimson-tide, oklahoma-sooners, auburn-tigers","florida-state-seminoles, oregon-ducks, alabama-crimson-tide, oklahoma-sooners, auburn-tigers"
2014,5,"florida-state-seminoles, oregon-ducks, alabama-crimson-tide, oklahoma-sooners, auburn-tigers","florida-state-seminoles, oregon-ducks, alabama-crimson-tide, texas-am-aggies, oklahoma-sooners","florida-state-seminoles, oregon-ducks, alabama-crimson-tide, oklahoma-sooners, texas-am-aggies","florida-state-seminoles, oregon-ducks, alabama-crimson-tide, oklahoma-sooners, auburn-tigers","florida-state-seminoles, oregon-ducks, alabama-crimson-tide, oklahoma-sooners, auburn-tigers","florida-state-seminoles, oregon-ducks, alabama-crimson-tide, oklahoma-sooners, texas-am-aggies"
2014,6,"florida-state-seminoles, oregon-ducks, alabama-crimson-tide, oklahoma-sooners, auburn-tigers","florida-state-seminoles, alabama-crimson-tide, oregon-ducks, oklahoma-sooners, auburn-tigers","florida-state-seminoles, oregon-ducks, alabama-crimson-tide, oklahoma-sooners, auburn-tigers","florida-state-seminoles, oregon-ducks, alabama-crimson-tide, oklahoma-sooners, auburn-tigers","florida-state-seminoles, oregon-ducks, alabama-crimson-tide, oklahoma-sooners, auburn-tigers","florida-state-seminoles, oregon-ducks, alabama-crimson-tide, oklahoma-sooners, auburn-tigers"
2014,7,"florida-state-seminoles, auburn-tigers, mississippi-state-bulldogs, ole-miss-rebels, baylor-bears","florida-state-seminoles, auburn-tigers, mississippi-state-bulldogs, arizona-wildcats, baylor-bears","florida-state-seminoles, auburn-tigers, mississippi-state-bulldogs, ole-miss-rebels, baylor-bears","florida-state-seminoles, auburn-tigers, mississippi-state-bulldogs, ole-miss-rebels, baylor-bears","florida-state-seminoles, auburn-tigers, mississippi-state-bulldogs, ole-miss-rebels, baylor-bears","florida-state-seminoles, auburn-tigers, mississippi-state-bulldogs, ole-miss-rebels, baylor-bears"
2014,8,"mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels, baylor-bears, notre-dame-fighting-irish","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels, baylor-bears, auburn-tigers","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels, baylor-bears, auburn-tigers","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels, baylor-bears, notre-dame-fighting-irish","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels, baylor-bears, notre-dame-fighting-irish","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels, baylor-bears, notre-dame-fighting-irish"
2014,9,"mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels, alabama-crimson-tide, auburn-tigers","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels, auburn-tigers, michigan-state-spartans","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels, auburn-tigers, michigan-state-spartans","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels, auburn-tigers, alabama-crimson-tide","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels, alabama-crimson-tide, auburn-tigers","mississippi-state-bulldogs, florida-state-seminoles, ole-miss-rebels, auburn-tigers, alabama-crimson-tide"
2014,10,"mississippi-state-bulldogs, florida-state-seminoles, alabama-crimson-tide, auburn-tigers, oregon-ducks","mississippi-state-bulldogs, florida-state-seminoles, auburn-tigers, alabama-crimson-tide, oregon-ducks","mississippi-state-bulldogs, florida-state-seminoles, alabama-crimson-tide, auburn-tigers, oregon-ducks","mississippi-state-bulldogs, florida-state-seminoles, alabama-crimson-tide, auburn-tigers, oregon-ducks","mississippi-state-bulldogs, florida-state-seminoles, alabama-crimson-tide, auburn-tigers, oregon-ducks","mississippi-state-bulldogs, florida-state-seminoles, alabama-crimson-tide, auburn-tigers, oregon-ducks"
2014,11,"mississippi-state-bulldogs, florida-state-seminoles, auburn-tigers, alabama-crimson-tide, oregon-ducks","mississippi-state-bulldogs, florida-state-seminoles, oregon-ducks, auburn-tigers, tcu-horned-frogs","mississippi-state-bulldogs, florida-state-seminoles, auburn-tigers, alabama-crimson-tide, oregon-ducks","mississippi-state-bulldogs, florida-state-seminoles, auburn-tigers, alabama-crimson-tide, oregon-ducks","mississippi-state-bulldogs, florida-state-seminoles, auburn-tigers, alabama-crimson-tide, oregon-ducks","mississippi-state-bulldogs, florida-state-seminoles, auburn-tigers, alabama-crimson-tide, oregon-ducks"
2014,12,"mississippi-state-bulldogs, florida-state-seminoles, oregon-ducks, alabama-crimson-tide, tcu-horned-frogs","mississippi-state-bulldogs, florida-state-seminoles, oregon-ducks, tcu-horned-frogs, alabama-crimson-tide","mississippi-state-bulldogs, florida-state-seminoles, alabama-crimson-tide, oregon-ducks, tcu-horned-frogs","mississippi-state-bulldogs, florida-state-seminoles, oregon-ducks, alabama-crimson-tide, tcu-horned-frogs","mississippi-state-bulldogs, florida-state-seminoles, oregon-ducks, alabama-crimson-tide, tcu-horned-frogs","mississippi-state-bulldogs, florida-state-seminoles, oregon-ducks, alabama-crimson-tide, tcu-horned-frogs"
2014,13,"florida-state-seminoles, alabama-crimson-tide, oregon-ducks, mississippi-state-bulldogs, tcu-horned-frogs","florida-state-seminoles, alabama-crimson-tide, oregon-ducks, mississippi-state-bulldogs, tcu-horned-frogs","florida-state-seminoles, alabama-crimson-tide, oregon-ducks, mississippi-state-bulldogs, tcu-horned-frogs","florida-state-seminoles, alabama-crimson-tide, oregon-ducks, mississippi-state-bulldogs, tcu-horned-frogs","florida-state-seminoles, alabama-crimson-tide, oregon-ducks, mississippi-state-bulldogs, tcu-horned-frogs","florida-state-seminoles, alabama-crimson-tide, oregon-ducks, mississippi-state-bulldogs, tcu-horned-frogs"
2014,14,"florida-state-seminoles, alabama-crimson-tide, oregon-ducks, mississippi-state-bulldogs, baylor-bears","florida-state-seminoles, alabama-crimson-tide, oregon-ducks, mississippi-state-bulldogs, tcu-horned-frogs","florida-state-seminoles, alabama-crimson-tide, oregon-ducks, mississippi-state-bulldogs, tcu-horned-frogs","florida-state-seminoles, alabama-crimson-tide, oregon-ducks, mississippi-state-bulldogs, tcu-horned-frogs","florida-state-seminoles, alabama-crimson-tide, oregon-ducks, mississippi-state-bulldogs, baylor-bears","florida-state-seminoles, alabama-crimson-tide, oregon-ducks, mississippi-state-bulldogs, tcu-horned-frogs"
2014,15,"alabama-crimson-tide, florida-state-seminoles, oregon-ducks, tcu-horned-frogs, baylor-bears","florida-state-seminoles, alabama-crimson-tide, oregon-ducks, tcu-horned-frogs, baylor-bears","alabama-crimson-tide, florida-state-seminoles, oregon-ducks, tcu-horned-frogs, baylor-bears","alabama-crimson-tide, florida-state-seminoles, oregon-ducks, tcu-horned-frogs, baylor-bears","alabama-crimson-tide, florida-state-seminoles, oregon-ducks, tcu-horned-frogs, baylor-bears","florida-state-seminoles, alabama-crimson-tide, oregon-ducks, tcu-horned-frogs, baylor-bears"
2014,16,"alabama-crimson-tide, florida-state-seminoles, oregon-ducks, baylor-bears, ohio-state-buckeyes","alabama-crimson-tide, florida-state-seminoles, oregon-ducks, tcu-horned-frogs, baylor-bears","alabama-crimson-tide, florida-state-seminoles, oregon-ducks, tcu-horned-frogs, baylor-bears","alabama-crimson-tide, florida-state-seminoles, oregon-ducks, baylor-bears, ohio-state-buckeyes","alabama-crimson-tide, florida-state-seminoles, oregon-ducks, baylor-bears, ohio-state-buckeyes","alabama-crimson-tide, florida-state-seminoles, oregon-ducks, baylor-bears, ohio-state-buckeyes"
2014,17,"ohio-state-buckeyes, oregon-ducks, tcu-horned-frogs, alabama-crimson-tide, michigan-state-spartans","ohio-state-buckeyes, oregon-ducks, tcu-horned-frogs, alabama-crimson-tide, florida-state-seminoles","ohio-state-buckeyes, oregon-ducks, tcu-horned-frogs, alabama-crimson-tide, florida-state-seminoles","ohio-state-buckeyes, oregon-ducks, tcu-horned-frogs, alabama-crimson-tide, florida-state-seminoles","ohio-state-buckeyes, oregon-ducks, tcu-horned-frogs, alabama-crimson-tide, michigan-state-spartans","ohio-state-buckeyes, oregon-ducks, tcu-horned-frogs, alabama-crimson-tide, florida-state-seminoles"
2015,1,"ohio-state-buckeyes, tcu-horned-frogs, alabama-crimson-tide, baylor-bears, michigan-state-spartans","ohio-state-buckeyes, tcu-horned-frogs, auburn-tigers, michigan-state-spartans, baylor-bears","ohio-state-buckeyes, tcu-horned-frogs, alabama-crimson-tide, auburn-tigers, baylor-bears","ohio-state-buckeyes, tcu-horned-frogs, alabama-crimson-tide, baylor-bears, auburn-tigers","ohio-state-buckeyes, tcu-horned-frogs, alabama-crimson-tide, baylor-bears, michigan-state-spartans","ohio-state-buckeyes, tcu-horned-frogs, alabama-crimson-tide, baylor-bears, michigan-state-spartans"
2015,3,"ohio-state-buckeyes, alabama-crimson-tide, tcu-horned-frogs, michigan-state-spartans, baylor-bears","ohio-state-buckeyes, michigan-state-spartans, alabama-crimson-tide, tcu-horned-frogs, usc-trojans","ohio-state-buckeyes, alabama-crimson-tide, tcu-horned-frogs, michigan-state-spartans, baylor-bears","ohio-state-buckeyes, alabama-crimson-tide, tcu-horned-frogs, michigan-state-spartans, baylor-bears","ohio-state-buckeyes, alabama-crimson-tide, tcu-horned-frogs, michigan-state-spartans, baylor-bears","ohio-state-buckeyes, alabama-crimson-tide, tcu-horned-frogs, michigan-state-spartans, baylor-bears"
