Season,Week,Team,Original/Official Rank,Calculated Rank,Original/Official points,Calculated points
2014,week10,colorado-state-rams,26,26,9,29
2014,week10,usc-trojans,27,27,1,22
2014,week10,wisconsin-badgers,28,28,1,14
2014,week10,stanford-cardinal,29,29,2,9
2014,week10,louisville-cardinals,30,30,4,8
2014,week10,missouri-tigers,31,31,4,7
2014,week11,usc-trojans,27,27,50,48
2014,week11,missouri-tigers,28,28,48,42
2014,week12,mississippi-state-bulldogs,1,1,1488,1463
2014,week12,florida-state-seminoles,2,2,1446,1422
2014,week12,oregon-ducks,3,3,1334,1312
2014,week12,alabama-crimson-tide,4,4,1326,1303
2014,week12,tcu-horned-frogs,5,5,1273,1252
2014,week12,baylor-bears,6,6,1193,1173
2014,week12,arizona-state-sun-devils,7,7,1142,1123
2014,week12,ohio-state-buckeyes,8,8,1086,1068
2014,week12,auburn-tigers,9,9,981,964
2014,week12,ole-miss-rebels,10,10,948,932
2014,week12,nebraska-cornhuskers,11,11,830,815
2014,week12,michigan-state-spartans,12,12,782,770
2014,week12,kansas-state-wildcats,13,13,742,733
2014,week12,ucla-bruins,14,14,691,677
2014,week12,notre-dame-fighting-irish,15,15,630,619
2014,week12,georgia-bulldogs,16,16,622,609
2014,week12,arizona-wildcats,17,17,471,463
2014,week12,clemson-tigers,18,18,457,447
2014,week12,duke-blue-devils,19,19,431,426
2014,week12,lsu-tigers,20,20,429,422
2014,week12,marshall-thundering-herd,21,21,297,291
2014,week12,wisconsin-badgers,22,22,225,221
2014,week12,colorado-state-rams,23,23,128,126
2014,week12,georgia-tech-yellow-jackets,24,24,127,124
2014,week12,oklahoma-sooners,26,26,85,84
2014,week13,florida-state-seminoles,1,1,1476,1451
2014,week13,alabama-crimson-tide,2,2,1439,1415
2014,week13,oregon-ducks,3,3,1385,1362
2014,week13,mississippi-state-bulldogs,4,4,1289,1267
2014,week13,tcu-horned-frogs,5,5,1237,1216
2014,week13,baylor-bears,6,6,1232,1212
2014,week13,ohio-state-buckeyes,7,7,1167,1148
2014,week13,ole-miss-rebels,8,8,1064,1046
2014,week13,georgia-bulldogs,9,9,948,932
2014,week13,michigan-state-spartans,10,10,941,924
2014,week13,ucla-bruins,11,11,876,862
2014,week13,kansas-state-wildcats,12,12,868,853
2014,week13,arizona-state-sun-devils,13,13,720,709
2014,week13,wisconsin-badgers,14,14,707,695
2014,week13,arizona-wildcats,15,15,695,682
2014,week13,auburn-tigers,16,16,531,522
2014,week13,georgia-tech-yellow-jackets,17,17,523,513
2014,week13,marshall-thundering-herd,18,18,383,375
2014,week13,missouri-tigers,19,19,376,369
2014,week13,utah-utes,20,20,349,344
