Teams,Borda Points
mississippi-state-bulldogs,1486
florida-state-seminoles,1453
alabama-crimson-tide,1290
auburn-tigers,1267
oregon-ducks,1199
notre-dame-fighting-irish,1161
ole-miss-rebels,1095
michigan-state-spartans,1086
georgia-bulldogs,1074
tcu-horned-frogs,1030
kansas-state-wildcats,930
baylor-bears,840
ohio-state-buckeyes,680
arizona-wildcats,678
arizona-state-sun-devils,670
lsu-tigers,587
nebraska-cornhuskers,547
utah-utes,536
oklahoma-sooners,451
west-virginia-mountaineers,404
clemson-tigers,309
marshall-thundering-herd,228
duke-blue-devils,159
ucla-bruins,144
colorado-state-rams,41
usc-trojans,31
wisconsin-badgers,22
stanford-cardinal,14
louisville-cardinals,12
missouri-tigers,10
north-dakota-state-bison,5
oklahoma-state-cowboys,3
