Teams,Borda Points
mississippi-state-bulldogs,1463
florida-state-seminoles,1422
oregon-ducks,1312
alabama-crimson-tide,1303
tcu-horned-frogs,1252
baylor-bears,1173
arizona-state-sun-devils,1124
ohio-state-buckeyes,1070
auburn-tigers,980
ole-miss-rebels,949
michigan-state-spartans,803
kansas-state-wildcats,773
ucla-bruins,724
notre-dame-fighting-irish,669
georgia-bulldogs,657
arizona-wildcats,516
clemson-tigers,500
duke-blue-devils,481
lsu-tigers,469
marshall-thundering-herd,340
wisconsin-badgers,270
colorado-state-rams,165
georgia-tech-yellow-jackets,164
texas-am-aggies,108
utah-utes,107
oklahoma-sooners,103
missouri-tigers,88
usc-trojans,59
minnesota-golden-gophers,38
louisville-cardinals,16
west-virginia-mountaineers,7
stanford-cardinal,5
miami-fl-hurricanes,2
georgia-southern-eagles,2
boise-state-broncos,2
