Teams,Borda Points
florida-state-seminoles,1451
alabama-crimson-tide,1415
oregon-ducks,1362
mississippi-state-bulldogs,1267
tcu-horned-frogs,1217
baylor-bears,1212
ohio-state-buckeyes,1148
ole-miss-rebels,1058
georgia-bulldogs,961
ucla-bruins,907
kansas-state-wildcats,894
arizona-state-sun-devils,758
wisconsin-badgers,751
arizona-wildcats,731
auburn-tigers,580
georgia-tech-yellow-jackets,571
marshall-thundering-herd,428
missouri-tigers,425
utah-utes,399
nebraska-cornhuskers,338
colorado-state-rams,329
oklahoma-sooners,246
usc-trojans,240
duke-blue-devils,112
notre-dame-fighting-irish,97
clemson-tigers,67
boise-state-broncos,43
louisville-cardinals,38
lsu-tigers,35
minnesota-golden-gophers,16
west-virginia-mountaineers,9
miami-fl-hurricanes,4
texas-am-aggies,4
arkansas-razorbacks,3
