Teams,Borda Points
florida-state-seminoles,1433
alabama-crimson-tide,1421
oregon-ducks,1370
mississippi-state-bulldogs,1279
baylor-bears,1214
tcu-horned-frogs,1212
ohio-state-buckeyes,1144
georgia-bulldogs,985
ucla-bruins,982
michigan-state-spartans,953
kansas-state-wildcats,883
arizona-wildcats,793
arizona-state-sun-devils,778
wisconsin-badgers,752
auburn-tigers,595
georgia-tech-yellow-jackets,577
missouri-tigers,528
ole-miss-rebels,414
marshall-thundering-herd,391
oklahoma-sooners,388
minnesota-golden-gophers,264
clemson-tigers,235
louisville-cardinals,232
boise-state-broncos,128
arkansas-razorbacks,50
lsu-tigers,43
utah-utes,21
nebraska-cornhuskers,20
duke-blue-devils,11
usc-trojans,9
memphis-tigers,6
west-virginia-mountaineers,3
texas-am-aggies,2
ucf-knights,2
