Teams,Borda Points
alabama-crimson-tide,1427
florida-state-seminoles,1412
oregon-ducks,1403
baylor-bears,1245
ohio-state-buckeyes,1241
tcu-horned-frogs,1235
michigan-state-spartans,1087
mississippi-state-bulldogs,1053
ole-miss-rebels,962
kansas-state-wildcats,879
georgia-tech-yellow-jackets,872
arizona-wildcats,826
ucla-bruins,687
arizona-state-sun-devils,632
missouri-tigers,630
wisconsin-badgers,574
clemson-tigers,556
auburn-tigers,493
louisville-cardinals,456
boise-state-broncos,415
lsu-tigers,263
utah-utes,171
usc-trojans,148
nebraska-cornhuskers,98
minnesota-golden-gophers,76
oklahoma-sooners,67
marshall-thundering-herd,51
memphis-tigers,47
duke-blue-devils,43
colorado-state-rams,19
northern-illinois-huskies,17
air-force-falcons,10
cincinnati-bearcats,8
ucf-knights,6
west-virginia-mountaineers,5
stanford-cardinal,2
