Teams,Borda Points
florida-state-seminoles,1496
alabama-crimson-tide,1361
oregon-ducks,1334
oklahoma-sooners,1324
ohio-state-buckeyes,1207
auburn-tigers,1198
ucla-bruins,1106
michigan-state-spartans,1080
south-carolina-gamecocks,1015
baylor-bears,966
stanford-cardinal,885
georgia-bulldogs,843
lsu-tigers,776
wisconsin-badgers,637
usc-trojans,627
clemson-tigers,536
notre-dame-fighting-irish,445
ole-miss-rebels,425
arizona-state-sun-devils,357
kansas-state-wildcats,242
texas-am-aggies,238
nebraska-cornhuskers,227
north-carolina-tar-heels,194
missouri-tigers,134
washington-huskies,132
ucf-knights,94
texas-longhorns,87
florida-gators,87
duke-blue-devils,72
iowa-hawkeyes,69
louisville-cardinals,48
marshall-thundering-herd,42
oklahoma-state-cowboys,37
virginia-tech-hokies,26
tcu-horned-frogs,23
mississippi-state-bulldogs,22
michigan-wolverines,20
miami-fl-hurricanes,16
cincinnati-bearcats,15
boise-state-broncos,10
oregon-state-beavers,10
northwestern-wildcats,9
byu-cougars,9
penn-state-nittany-lions,5
navy-midshipmen,2
vanderbilt-commodores,2
utah-state-aggies,1
louisiana-lafayette-ragin-cajuns,1
nevada-wolf-pack,1
