Teams,Borda Points
florida-state-seminoles,1456
alabama-crimson-tide,1317
oregon-ducks,1314
oklahoma-sooners,1283
auburn-tigers,1186
georgia-bulldogs,1114
michigan-state-spartans,1093
ohio-state-buckeyes,982
texas-am-aggies,978
baylor-bears,962
ucla-bruins,944
lsu-tigers,926
stanford-cardinal,886
usc-trojans,729
ole-miss-rebels,525
notre-dame-fighting-irish,521
arizona-state-sun-devils,437
wisconsin-badgers,370
nebraska-cornhuskers,356
kansas-state-wildcats,330
south-carolina-gamecocks,204
north-carolina-tar-heels,202
clemson-tigers,170
missouri-tigers,153
louisville-cardinals,152
oklahoma-state-cowboys,98
duke-blue-devils,66
florida-gators,54
penn-state-nittany-lions,53
mississippi-state-bulldogs,50
michigan-wolverines,43
washington-huskies,32
tcu-horned-frogs,31
marshall-thundering-herd,22
byu-cougars,22
iowa-hawkeyes,18
virginia-tech-hokies,17
tennessee-volunteers,14
texas-tech-red-raiders,8
cincinnati-bearcats,8
west-virginia-mountaineers,7
rutgers-scarlet-knights,6
arizona-wildcats,4
north-dakota-state-bison,3
louisiana-lafayette-ragin-cajuns,2
pittsburgh-panthers,1
