Teams,Borda Points
florida-state-seminoles,1416
oregon-ducks,1405
alabama-crimson-tide,1387
oklahoma-sooners,1357
auburn-tigers,1272
texas-am-aggies,1206
baylor-bears,1149
ucla-bruins,975
notre-dame-fighting-irish,973
michigan-state-spartans,944
ole-miss-rebels,906
mississippi-state-bulldogs,848
georgia-bulldogs,788
stanford-cardinal,643
lsu-tigers,636
usc-trojans,561
wisconsin-badgers,503
byu-cougars,450
nebraska-cornhuskers,445
ohio-state-buckeyes,298
oklahoma-state-cowboys,250
east-carolina-pirates,243
kansas-state-wildcats,221
missouri-tigers,146
tcu-horned-frogs,112
arizona-state-sun-devils,97
south-carolina-gamecocks,63
clemson-tigers,52
marshall-thundering-herd,42
georgia-tech-yellow-jackets,38
west-virginia-mountaineers,24
arkansas-razorbacks,19
maryland-terrapins,6
louisville-cardinals,5
washington-huskies,3
north-dakota-state-bison,3
virginia-cavaliers,2
north-carolina-state-wolfpack,1
