Teams,Borda Points
florida-state-seminoles,1416
oregon-ducks,1405
alabama-crimson-tide,1387
oklahoma-sooners,1357
auburn-tigers,1272
texas-am-aggies,1206
baylor-bears,1149
ucla-bruins,976
notre-dame-fighting-irish,972
michigan-state-spartans,944
ole-miss-rebels,908
mississippi-state-bulldogs,848
georgia-bulldogs,789
stanford-cardinal,643
lsu-tigers,637
usc-trojans,561
wisconsin-badgers,502
byu-cougars,451
nebraska-cornhuskers,445
ohio-state-buckeyes,298
oklahoma-state-cowboys,247
east-carolina-pirates,240
kansas-state-wildcats,218
missouri-tigers,145
tcu-horned-frogs,110
arizona-state-sun-devils,97
south-carolina-gamecocks,62
clemson-tigers,53
arizona-wildcats,43
marshall-thundering-herd,42
georgia-tech-yellow-jackets,39
arkansas-razorbacks,18
maryland-terrapins,5
louisville-cardinals,4
north-dakota-state-bison,4
washington-huskies,2
virginia-cavaliers,1
north-carolina-state-wolfpack,1
