Teams,Borda Points
florida-state-seminoles,1461
auburn-tigers,1459
ole-miss-rebels,1320
mississippi-state-bulldogs,1320
baylor-bears,1258
notre-dame-fighting-irish,1186
alabama-crimson-tide,1060
michigan-state-spartans,981
tcu-horned-frogs,979
arizona-wildcats,951
oklahoma-sooners,904
oregon-ducks,888
georgia-bulldogs,854
texas-am-aggies,731
ohio-state-buckeyes,534
oklahoma-state-cowboys,527
kansas-state-wildcats,486
ucla-bruins,461
east-carolina-pirates,345
arizona-state-sun-devils,326
nebraska-cornhuskers,283
georgia-tech-yellow-jackets,236
missouri-tigers,212
utah-utes,206
stanford-cardinal,144
clemson-tigers,94
marshall-thundering-herd,78
usc-trojans,61
lsu-tigers,36
louisville-cardinals,36
byu-cougars,27
west-virginia-mountaineers,19
wisconsin-badgers,7
california-golden-bears,6
penn-state-nittany-lions,5
kentucky-wildcats,5
rutgers-scarlet-knights,4
north-dakota-state-bison,3
minnesota-golden-gophers,2
virginia-cavaliers,1
south-carolina-gamecocks,1
