Teams,Borda Points
ohio-state-buckeyes,1523
alabama-crimson-tide,1423
tcu-horned-frogs,1367
michigan-state-spartans,1355
baylor-bears,1244
usc-trojans,1151
georgia-bulldogs,1042
notre-dame-fighting-irish,1026
florida-state-seminoles,985
ucla-bruins,950
clemson-tigers,942
oregon-ducks,865
ole-miss-rebels,751
georgia-tech-yellow-jackets,751
oklahoma-sooners,746
texas-am-aggies,743
auburn-tigers,552
byu-cougars,405
arizona-wildcats,394
utah-utes,346
missouri-tigers,312
northwestern-wildcats,213
wisconsin-badgers,197
oklahoma-state-cowboys,61
temple-owls,57
west-virginia-mountaineers,47
mississippi-state-bulldogs,43
tennessee-volunteers,42
toledo-rockets,39
kansas-state-wildcats,35
arizona-state-sun-devils,28
houston-cougars,24
boise-state-broncos,24
florida-gators,17
north-carolina-state-wolfpack,16
minnesota-golden-gophers,10
arkansas-razorbacks,8
california-golden-bears,7
iowa-hawkeyes,7
miami-fl-hurricanes,4
stanford-cardinal,4
western-kentucky-hilltoppers,3
virginia-tech-hokies,3
duke-blue-devils,2
