Teams,Borda Points
ohio-state-buckeyes,1490
michigan-state-spartans,1415
tcu-horned-frogs,1345
ole-miss-rebels,1345
baylor-bears,1213
notre-dame-fighting-irish,1183
georgia-bulldogs,1162
lsu-tigers,1088
ucla-bruins,981
florida-state-seminoles,953
clemson-tigers,903
alabama-crimson-tide,882
oregon-ducks,855
texas-am-aggies,798
oklahoma-sooners,782
arizona-wildcats,489
northwestern-wildcats,470
utah-utes,441
usc-trojans,368
georgia-tech-yellow-jackets,355
stanford-cardinal,289
byu-cougars,176
wisconsin-badgers,175
oklahoma-state-cowboys,150
missouri-tigers,137
mississippi-state-bulldogs,53
west-virginia-mountaineers,48
tennessee-volunteers,46
california-golden-bears,39
arizona-state-sun-devils,26
houston-cougars,23
temple-owls,22
auburn-tigers,21
texas-tech-red-raiders,21
boise-state-broncos,18
miami-fl-hurricanes,13
iowa-hawkeyes,10
kansas-state-wildcats,8
florida-gators,7
minnesota-golden-gophers,5
north-carolina-state-wolfpack,5
virginia-tech-hokies,4
memphis-tigers,1
