Teams,Borda Points
ohio-state-buckeyes,1428
baylor-bears,1416
utah-utes,1362
tcu-horned-frogs,1338
lsu-tigers,1306
clemson-tigers,1252
michigan-state-spartans,1202
alabama-crimson-tide,1133
florida-state-seminoles,1041
stanford-cardinal,917
notre-dame-fighting-irish,898
iowa-hawkeyes,820
florida-gators,786
oklahoma-state-cowboys,735
michigan-wolverines,623
texas-am-aggies,620
oklahoma-sooners,572
memphis-tigers,558
toledo-rockets,365
california-golden-bears,363
temple-owls,256
duke-blue-devils,244
ole-miss-rebels,193
pittsburgh-panthers,92
mississippi-state-bulldogs,85
byu-cougars,25
north-carolina-tar-heels,24
ucla-bruins,23
texas-tech-red-raiders,19
georgia-bulldogs,18
western-kentucky-hilltoppers,14
utah-state-aggies,11
arizona-state-sun-devils,10
wisconsin-badgers,9
northwestern-wildcats,7
