Teams,Borda Points
ohio-state-buckeyes,1483
baylor-bears,1436
lsu-tigers,1381
tcu-horned-frogs,1362
michigan-state-spartans,1304
alabama-crimson-tide,1220
stanford-cardinal,1123
notre-dame-fighting-irish,1058
iowa-hawkeyes,995
florida-gators,928
oklahoma-state-cowboys,925
utah-utes,899
oklahoma-sooners,758
michigan-wolverines,727
memphis-tigers,721
florida-state-seminoles,631
houston-cougars,471
ole-miss-rebels,429
toledo-rockets,423
temple-owls,365
duke-blue-devils,329
pittsburgh-panthers,210
ucla-bruins,148
mississippi-state-bulldogs,135
texas-am-aggies,95
north-carolina-tar-heels,64
usc-trojans,42
byu-cougars,23
georgia-bulldogs,22
wisconsin-badgers,20
northwestern-wildcats,16
appalachian-state-mountaineers,9
california-golden-bears,8
washington-state-cougars,4
