Teams,Borda Points
alabama-crimson-tide,1525
ohio-state-buckeyes,1455
michigan-wolverines,1370
clemson-tigers,1347
wisconsin-badgers,1255
washington-huskies,1220
oklahoma-sooners,1169
penn-state-nittany-lions,1091
colorado-buffaloes,999
oklahoma-state-cowboys,873
louisville-cardinals,833
usc-trojans,818
florida-gators,710
western-michigan-broncos,706
florida-state-seminoles,670
auburn-tigers,625
nebraska-cornhuskers,606
houston-cougars,511
west-virginia-mountaineers,473
utah-utes,307
texas-am-aggies,285
washington-state-cougars,220
tennessee-volunteers,157
stanford-cardinal,106
virginia-tech-hokies,101
lsu-tigers,93
navy-midshipmen,79
north-carolina-tar-heels,66
south-florida-bulls,32
pittsburgh-panthers,26
arkansas-razorbacks,11
minnesota-golden-gophers,9
iowa-hawkeyes,8
troy-trojans,8
wyoming-cowboys,2
temple-owls,1
