Teams,Borda Points
alabama-crimson-tide,1525
ohio-state-buckeyes,1455
michigan-wolverines,1370
clemson-tigers,1347
wisconsin-badgers,1255
washington-huskies,1220
oklahoma-sooners,1169
penn-state-nittany-lions,1093
colorado-buffaloes,1005
oklahoma-state-cowboys,884
louisville-cardinals,848
usc-trojans,835
florida-gators,734
florida-state-seminoles,694
auburn-tigers,654
nebraska-cornhuskers,637
houston-cougars,532
west-virginia-mountaineers,494
boise-state-broncos,442
utah-utes,321
texas-am-aggies,299
washington-state-cougars,223
tennessee-volunteers,164
stanford-cardinal,109
virginia-tech-hokies,105
lsu-tigers,99
navy-midshipmen,83
north-carolina-tar-heels,68
south-florida-bulls,32
pittsburgh-panthers,27
arkansas-razorbacks,11
minnesota-golden-gophers,9
iowa-hawkeyes,9
troy-trojans,8
wyoming-cowboys,2
temple-owls,2
