Teams,Borda Points
alabama-crimson-tide,1525
ohio-state-buckeyes,1456
clemson-tigers,1383
washington-huskies,1298
michigan-wolverines,1264
wisconsin-badgers,1237
oklahoma-sooners,1141
penn-state-nittany-lions,1118
colorado-buffaloes,1035
usc-trojans,948
oklahoma-state-cowboys,931
florida-state-seminoles,847
western-michigan-broncos,807
west-virginia-mountaineers,726
florida-gators,471
louisville-cardinals,469
stanford-cardinal,453
auburn-tigers,424
virginia-tech-hokies,420
navy-midshipmen,388
lsu-tigers,340
iowa-hawkeyes,217
nebraska-cornhuskers,183
south-florida-bulls,170
pittsburgh-panthers,168
houston-cougars,99
boise-state-broncos,93
utah-utes,89
washington-state-cougars,35
texas-am-aggies,33
air-force-falcons,23
tennessee-volunteers,12
troy-trojans,7
miami-fl-hurricanes,6
georgia-tech-yellow-jackets,2
tulsa-golden-hurricane,1
